Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
أبن,4, الْإِبَّانُ إبَّانِهَا أَبَّنَ تَأْبِينًا,3,vowel, *أبن*	 الْإِبَّانُ وَقْتُ تَهْيِئَةِ الشَّيْءِ وَاسْتِعْدَادِهِ يُقَالُ كُلُّ الْفَوَاكِهِ فِي [إبَّانِهَا] وَهُوَ فِعْلَانٌ مِنْ أَبَّ لَهُ كَذَا إذَا تَهَيَّأَ لَهُ أَوْ فِعَّالٌ مِنْ أَبَّنَ الشَّيْءَ [تَأْبِينًا] إذَا رَقَبَهُ وَالْأَوَّلُ أَصَحُّ
أبد,12, الْأَبَدُ وَالْأَبَدِ الْأَبَدِ الْأَبَدَ آبَادِ آبَادِ آبَادِيٌّ وَأَوَابِدُ آبِدَةٌ أَبَدَ أُبُودًا وَتَأَبَّدَ,3,vowel, *أبد*	 الْأَبَدُ الدَّهْرُ الطَّوِيلُ قَالَ خَلَفُ بْنُ خَلِيفَةَ سَلَفُوا لَا يُبْعِدُ اللَّهُ إخْوَانًا لَنَا سَلَفُوا أَفْنَاهُمْ حَدَثَانُ الدَّهْرِ وَالْأَبَدِ وَقَالَ النَّابِغَةُ يَا دَارَ مَيَّةَ بِالْعَلْيَاءِ فَالسَّنَدِ أَقْوَتْ وَطَالَ عَلَيْهَا سَالِفُ الْأَبَدِ وَقَوْلُهُ  صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ   لَا صَامَ مَنْ صَامَ الْأَبَدَ يَعْنِي صَوْمَ الدَّهْرِ وَهُوَ أَنْ لَا يُفْطِرَ فِي الْأَيَّامِ الْمَنْهِيِّ عَنْهَا وَقَوْلُهُمْ كَانَ هَذَا فِي آبَادِ الدَّهْرِ أَيْ فِيمَا تَقَادَمَ مِنْهُ وَتَطَاوَلَ وَمِنْهُ قَوْلُهُ فِي السِّيَرِ قَدْ دُعُوا فِي آبَادِ الدَّهْرِ وَرُوِيَ فِي بَادِي الدَّهْرِ أَيْ فِي أَوَّلِهِ وَأَمَّا [آبَادِ]يٌّ فَتَحْرِيفٌ وَأَوَابِدُ الْوَحْشِ نُفَّرُهَا الْوَاحِدَةُ آبِدَةٌ مِنْ أَبَدَ [أُبُودًا] إذَا نَفَرَ مِنْ بَابَيْ ضَرَبَ وَطَلَبَ لِنُفُورِهَا مِنْ الْإِنْسِ أَوْ لِأَنَّهَا تَعِيشُ طَوِيلًا وَتَأَبَّدَ تَوَحَّشَ
أبر,4, أَبَرَ إبَارًا وَتَأَبَّرَ الْأَبَّارُ,3,vowel, *أبر*	 أَبَرَ النَّخْلَ أَلْقَحَهُ وَأَصْلَحَهُ [إبَارًا] وَتَأَبَّرَ قِيلَ الْأَبَّارُ نَافِعُ مَوْلَى ابْنِ عُمَرَ  رَضِيَ اللَّهُ عَنْهُ  مَا كَانَ مِنْ أبرشهر هُوَ اسْمُ مَوْضِعٍ
أبط,4, الْإِبْطُ وَتَأَبَّطَ إبْطِهِ التَّأَبُّطُ,3,vowel, *أبط*	 الْإِبْطُ بِسُكُونِ الْبَاءِ مَعْرُوفَةٌ وَهِيَ مُؤَنَّثَةٌ وَتَأَبَّطَ الشَّيْءَ جَعَلَهُ فِي إبْطِهِ وَمِنْهُ التَّأَبُّطُ فِي الصَّلَاةِ أَوْ فِي الْإِحْرَامِ وَهُوَ أَنْ يُدْخِلَ الثَّوْبَ تَحْتَ يَدِهِ الْيُمْنَى فَيُلْقِيَهُ عَلَى مَنْكِبِهِ الْأَيْسَرِ
أبق,5, أَبَقَ إبَاقًا آبِقٌ أُبَّاقٌ وَأُبَّاقُ,3,vowel, *أبق*	 أَبَقَ الْعَبْدُ هَرَبَ مِنْ بَابَيْ ضَرَبَ وَطَلَبَ [إبَاقًا] فَهُوَ آبِقٌ وَهُمْ أُبَّاقٌ وَأُبَّاقُ السَّمَكِ مَجَازٌ
أبل,1, أُبُلَّةُ,3,vowel, *أبل*	 أُبُلَّةُ الْبَصْرَةِ مَوْضِعٌ بِهَا وَهِيَ فِيمَا يُقَالُ إحْدَى جِنَانِ الْأَرْضِ
أبن,5, أَبَانٌ وَأَبَانٌ أَبَانَانِ أَبَانَيْنِ وَأُبْنَى,3,vowel, *أبن*	 أَبَانٌ ابْنُ عُثْمَانَ قَوْلُهُ ابْنُ عُثْمَانَ هُوَ إخْبَارٌ أَنَّهُ ابْنُ عُثْمَانَ وَلَيْسَ بِوَصْفٍ لَهُ وَإِثْبَاتُ الْأَلِفِ فِي مَوْضِعِ الْإِخْبَارِ لَازِمٌ بِخِلَافِ مَوْضِعِ الْوَصْفِ وَهُوَ مَصْرُوفٌ وَأَبَانٌ أَيْضًا جَبَلٌ وَيُقَالُ هُمَا أَبَانَانِ وَمِنْهُ غَارَ فَرَسُ ابْنِ عُمَرَ يَوْمَ أَبَانَيْنِ وَهُوَ مِنْ أَيَّامِ الْإِسْلَامِ وَأُبْنَى بِوَزْنِ حُبْلَى مَوْضِعٌ بِالشَّامِ أَبَهَ لَا يُؤْبَهُ لَهُ فِي ط م
أبي,8, أَبَى وَأَبَى أَبَى يَأْبَوْا الْإِبَاءُ وَالْإِيبَاءُ آبِي يَأْبَى,3,vowel, *أبي*	 [أَبَى] الْأَمْرَ لَمْ يَرْضَهُ [وَ[أَبَى]] عَلَيْهِ امْتَنَعَ وَقَدْ يُقَالُ [أَبَى] عَلَيْهِ الْأَمْرُ وَمِنْهُ قَوْلُ مُحَمَّدٍ رَحِمَهُ اللَّهُ  فِي السِّيَرِ لَمْ يَسَعْ الْمُسْلِمِينَ أَنْ [يَأْبَوْا] عَلَى أَهْلِ الْحِصْنِ مَا طَلَبُوا وَالْمَصْدَرُ الْإِبَاءُ عَلَى فِعَالٍ وَالْإِيبَاءُ فِي مَعْنَاهُ خَطَأٌ وَبِاسْمِ الْفَاعِلِ مِنْهُ لُقِّبَ [آبِي] اللَّحْمِ الْغِفَارِيِّ لِأَنَّهُ كَانَ [يَأْبَى] أَكْلَ اللَّحْمِ وَعَنْ ابْنِ الْكَلْبِيِّ كَانَ لَا يَأْكُلُ مَا ذُبِحَ عَلَى الْأَصْنَامِ وَاسْمُهُ خَلَفُ بْنُ مَالِكِ بْنِ عَبْدِ اللَّهِ وَقِيلَ عَبْدُ اللَّهِ بْنُ عَبْدِ الْمَلِكِ لَهُ صُحْبَةٌ وَرِوَايَةٌ قُتِلَ يَوْمَ حُنَيْنٍ  رَضِيَ اللَّهُ عَنْهُ   الْهَمْزَةُ مَعَ التَّاءِ
أتب,0,,3,vowel, *أتب*	 ابْنُ اللُّتْبِيَّةِ هُوَ عَبْدُ اللَّهِ عَامِلُ النَّبِيِّ  صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ  عَلَى الصَّدَقَاتِ وَيُرْوَى ابْنُ اللُّتْبِيَّةِ بِاللَّامِ وَهُوَ الصَّحِيحُ
أتم,5, الْمَأْتَمُ الْمَآتِمُ مَأْتَمِ مَأْتَمٍ وَمَأْتَمٍ,3,vowel, *أتم*	 الْمَأْتَمُ عِنْدَ الْعَرَبِ النِّسَاءُ يَجْتَمِعْنَ فِي فَرَحٍ أَوْ حُزْنٍ وَالْجَمْعُ الْمَآتِمُ وَعِنْدَ الْعَامَّةِ الْمُصِيبَةُ وَالنِّيَاحَةُ يُقَالُ كُنَّا فِي مَأْتَمِ بَنِي فُلَانٍ قَالَ ابْنُ الْأَنْبَارِيِّ هَذَا غَلَطٌ وَإِنَّمَا الصَّوَابُ فِي مَنَاحَةِ بَنِي فُلَانٍ وَأَنْشَدَ لِأَبِي عَطَاءٍ السِّنْدِيِّ فِي الْحُزْنِ عَشِيَّةَ قَامَ النَّائِحَاتُ وَشُقِّقَتْ جُيُوبٌ بِأَيْدِي مَأْتَمٍ وَخُدُودُ وَلِابْنِ مُقْبِلٍ فِي الْفَرَحِ وَمَأْتَمٍ كَالدُّمَى حُورٍ مَدَامِعُهَا لَمْ تَيْأَسْ الْعَيْشَ أَبْكَارًا وَلَا عُونَا
أتن,2, الْأَتُونُ أَتَاتِينُ,3,vowel, *أتن*	 الْأَتُونُ مَقْصُورٌ مُخَفَّفٌ عَلَى فَعُولٍ مَوْقِدُ النَّارِ وَيُقَالُ لَهُ بِالْفَارِسِيَّةِ كلخن وَهُوَ لِلْحَمَّامِ وَيُسْتَعَارُ لِمَا يُطْبَخُ فِيهِ الْآجُرُّ وَيُقَالُ لَهُ بِالْفَارِسِيَّةِ خَمَدَانِ وتونق وداشوزن وَالْجَمْعُ أَتَاتِينُ بِتَاءَيْنِ بِإِجْمَاعِ الْعَرَبِ عَنْ الْفَرَّاءِ
أتي,22, أَتَى إتْيَانًا آتٍ أُتِيَ وَأَتَى وَأَتَى إتْيَانِ أَتَى يَأْتِيهِ الْإِتْيَانِ أُتِيتَ أُتِيتُ أُوتِيتُ أُوتِيتُ وَتَأَتَّى يَتَأَتَّى وَالْأَتِيُّ وَالْأَتَاوِيُّ أَتِيٌّ أَتَاوِيًّا الْأَتِيُّ يَأْتِيكَ,3,vowel, *أتي*	 [أَتَى] الْمَكَانَ مِثْلُ جَاءَهُ وَحَضَرَهُ [إتْيَانًا] وَفِي حَدِيثِهِ عَلَيْهِ السَّلَامُ أَتَانِي آتٍ أَيْ مَلَكٌ وَفِي حَدِيثِ عَلِيٍّ  رَضِيَ اللَّهُ عَنْهُ  أُتِيَ فِي شَيْءٍ أَيْ خُوصِمَ عِنْدَهُ فِي مَعْنَى شَيْءٍ وَ[أَتَى] الْمَرْأَةَ جَامَعَهَا كِنَايَةٌ وَ[أَتَى] عَلَيْهِمْ الدَّهْرُ أَيْ أَهْلَكَهُمْ وَأَفْنَاهُمْ وَأَصْلُهُ مِنْ إتْيَانِ الْعَدُوِّ وَمِنْهُ قَوْلُهُ فِي الْقَتِيلِ [أَتَى] عَلَى نَفْسِهِ بِالْقَتْلِ يَعْنِي قَتَلَهُ بِمَرَّةٍ وَاحِدَةٍ وَطَرِيقٌ مِيتَاءٌ يَأْتِيهِ النَّاسُ كَثِيرًا وَهُوَ مِفْعَالٌ مِنْ الْإِتْيَانِ وَنَظِيرُهُ دَارٌ مِحْلَالٌ لِلَّتِي تُحَلُّ كَثِيرًا وَقَوْلُهُمْ مِنْ هَاهُنَا أُتِيتَ أَيْ مِنْ هَاهُنَا دَخَلَ عَلَيْك الْبَلَاءُ وَمِنْهُ قَوْلُ الْأَعْرَابِيِّ وَهُوَ سَلَمَةُ بْنُ صَخْرٍ الْبَيَاضِيُّ وَهَلْ أُتِيتُ إلَّا مِنْ الصَّوْمِ وَمَنْ رَوَى هَلْ أُوتِيتُ مَا أُوتِيتُ إلَّا مَنْ الصَّوْمِ فَقَدْ أَخْطَأَ مِنْ غَيْرِ وَجْهٍ عَلَى أَنَّ رِوَايَةَ الْحَدِيثِ عَنْ ابْنِ مَنْدَهْ وَأَبِي نُعَيْمٍ وَهَلْ أَصَابَنِي مَا أَصَابَنِي إلَّا فِي الصِّيَامِ وَتَأَتَّى لَهُ الْأَمْرُ أَيْ تَهَيَّأَ وَمِنْهُ هَذَا مِمَّا [يَتَأَتَّى] فِيهِ الْمَضْغُ أَيْ يُمْكِنُ وَيَسْهُلُ وَالْأَتِيُّ وَالْأَتَاوِيُّ الْغَرِيبُ وَمِنْهُ إنَّمَا هُوَ أَتِيٌّ فِينَا وَأَطَعْتُمْ [أَتَاوِيًّا] الْأَتِيُّ سَيْلٌ يَأْتِيكَ لَا تَرَى مَطَرَهُ فِي س ت الْهَمْزَةُ مَعَ الثَّاءِ
أثث,3, أُثَاثَةَ يُتَأَثَّثُ أَثَاثِ,3,vowel, *أثث*	 مِسْطَحُ بْنُ أُثَاثَةَ بِضَمِّ الْهَمْزَةِ وَفِي الْكَرْخِيِّ مَا يُتَأَثَّثُ بِهِ يُتَفَعَّلُ مِنْ أَثَاثِ الْبَيْتِ وَهَذَا مِمَّا لَمْ أَجِدْهُ
