Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
ءبب,11, الْأَبُّ وَالْأَبُّ أَبَّ يَؤُبُّ أَبًّا وَأَبَابًا وَأَبَابَةً الْأَبُّ الْأَبِّ وَالْإِبَّانُ إبَّانُ,3,vowel, *ءبب*	 الْأَبُّ الْمَرْعَى الَّذِي لَمْ يَزْرَعْهُ النَّاسُ مِمَّا تَأْكُلُهُ الدَّوَابُّ وَالْأَنْعَامُ وَيُقَالُ الْفَاكِهَةُ لِلنَّاسِ وَالْأَبُّ لِلدَّوَابِّ وَقَالَ ابْنُ فَارِسٍ قَالُوا أَبَّ الرَّجُلُ يَؤُبُّ [أَبًّا] [وَأَبَابًا] وَأَبَابَةً بِالْفَتْحِ إذَا تَهَيَّأَ لِلذَّهَابِ وَمِنْ هُنَا قِيلَ الثَّمَرَةُ الرَّطْبَةُ هِيَ الْفَاكِهَةُ وَالْيَابِسُ مِنْهَا الْأَبُّ لِأَنَّهُ يُعَدُّ زَادًا لِلشِّتَاءِ وَالسَّفَرِ فَجُعِلَ أَصْلُ الْأَبِّ الِاسْتِعْدَادَ وَالْإِبَّانُ بِكَسْرِ الْهَمْزَةِ وَالتَّشْدِيدِ الْوَقْتُ إنَّمَا يُسْتَعْمَلُ مُضَافًا فَيُقَالُ إبَّانُ الْفَاكِهَةِ أَيْ أَوَانُهَا وَوَقْتُهَا وَنُونُهُ زَائِدَةٌ مِنْ وَجْهٍ فَوَزْنُهُ فِعْلَانُ وَأَصْلِيَّةٌ مِنْ وَجْهٍ فَوَزْنُهُ فِعَّالٌ
ءبد,13, الْأَبَدُ أَبَدًا فَالْأَبَدُ آبَادٌ وَأَبَدَ يَأْبَدُ وَيَأْبُدُ أُبُودًا آبِدٌ وَأَبَدَتْ أَوَابِدُ الْأَوَابِدِ أَوَابِدُ,3,vowel, *ءبد*	 الْأَبَدُ الدَّهْرُ وَيُقَالُ الدَّهْرُ الطَّوِيلُ الَّذِي لَيْسَ بِمَحْدُودٍ قَالَ الرُّمَّانِيُّ فَإِذَا قُلْت لَا أُكَلِّمُهُ [أَبَدًا] فَالْأَبَدُ مِنْ لَدُنْ تَكَلَّمْتَ إلَى آخِرِ عُمْرِك وَجَمْعُهُ آبَادٌ مِثْلُ سَبَبٍ وَأَسْبَابٍ وَأَبَدَ الشَّيْءُ مِنْ بَابَيْ ضَرَبَ وَقَتَلَ يَأْبَدُ وَيَأْبُدُ [أُبُودًا] نَفَرَ وَتَوَحَّشَ فَهُوَ آبِدٌ عَلَى فَاعِلٍ [وَأَبَدَ]تْ الْوُحُوشُ نَفَرَتْ مِنْ الْإِنْسِ فَهِيَ أَوَابِدُ وَمِنْ هُنَا وُصِفَ الْفَرَسُ الْخَفِيفُ الَّذِي يُدْرِكُ الْوَحْشَ وَلَا يَكَادُ يَفُوتُهُ بِأَنَّهُ قَيْدُ الْأَوَابِدِ لِأَنَّهُ يَمْنَعُهَا الْمُضِيَّ وَالْخَلَاصَ مِنْ الطَّالِبِ كَمَا يَمْنَعُهَا الْقَيْدُ وَقِيلَ لِلْأَلْفَاظِ الَّتِي يَدِقُّ مَعْنَاهَا أَوَابِدُ لِبُعْدِ وُضُوحِهِ لِأَنَّهُ الْمَقْصُودُ
ءبر,14, أَبَرْت أَبْرًا وَأَبَّرْتُهُ تَأْبِيرًا وَالْأَبُورُ يُؤَبَّرُ وَالْإِبَارُ يُؤَبَّرُ الْإِبَارُ وَتَأَبَّرَ يُؤَبَّرَ يُؤَبَّرُ وَالْإِبْرَةُ إبَرٌ,3,vowel, *ءبر*	 [أَبَرْت] النَّخْلَ [أَبْرًا] مِنْ بَابَيْ ضَرَبَ وَقَتَلَ لَقَّحْته وَأَبَّرْتُهُ [تَأْبِيرًا] مُبَالَغَةٌ وَتَكْثِيرٌ وَالْأَبُورُ وِزَانُ رَسُولٍ مَا يُؤَبَّرُ بِهِ وَالْإِبَارُ وِزَانُ كِتَابٍ النَّخْلَةُ الَّتِي يُؤَبَّرُ بِطَلْعِهَا وَقِيلَ الْإِبَارُ أَيْضًا مَصْدَرٌ كَالْقِيَامِ وَالصِّيَامِ وَتَأَبَّرَ النَّخْلُ قَبْلَ أَنْ يُؤَبَّرَ قَالَ أَبُو حَاتِمٍ السِّجِسْتَانِيّ فِي كِتَابِ النَّخْلَةِ إذَا انْشَقَّ الْكَافُورُ قِيلَ شَقَّقَ النَّخْلُ وَهُوَ حِينَ يُؤَبَّرُ بِالذَّكَرِ فَيُؤْتَى بِشَمَارِيخِهِ فَتُنْفَضُ فَيَطِيرُ غُبَارُهَا وَهُوَ طَحِينُ شَمَارِيخِ الْفُحَّالِ إلَى شَمَارِيخِ الْأُنْثَى وَذَلِكَ هُوَ التَّلْقِيحُ وَالْإِبْرَةُ مَعْرُوفَةٌ وَهِيَ الْمَخِيطُ وَالْخِيَاطُ أَيْضًا وَالْجَمْعُ إبَرٌ مِثْلُ سِدْرَةٍ وَسِدَرٍ
ءبط,7, الْإِبْطُ الْإِبْطُ الْإِبْطُ إبْطُهُ آبَاطٌ وَتَأَبَّطَ إبْطِهِ,3,vowel, *ءبط*	 الْإِبْطُ مَا تَحْتَ الْجَنَاحِ وَيُذَكَّرُ وَيُؤَنَّثُ فَيُقَالُ هُوَ الْإِبْطُ وَهِيَ الْإِبْطُ وَمِنْ كَلَامِهِمْ رَفَعَ السَّوْطَ حَتَّى بَرَقَتْ إبْطُهُ وَالْجَمْعُ آبَاطٌ مِثْلُ حِمْلٍ وَأَحْمَالٍ وَيَزْعُمُ بَعْضُ الْمُتَأَخِّرِينَ أَنَّ كَسْرَ الْبَاءِ لُغَةٌ وَهُوَ غَيْرُ ثَابِتٍ لِمَا يَأْتِي فِي إبِلٍ وَتَأَبَّطَ الشَّيْءَ جَعَلَهُ تَحْتَ إبْطِهِ
ءبق,6, أَبَقَ أَبْقًا الْأَبْقُ وَالْإِبَاقُ آبِقٌ أُبَّاقٌ,3,vowel, *ءبق*	 أَبَقَ الْعَبْدُ [أَبْقًا] مِنْ بَابَيْ تَعِبَ وَقَتَلَ فِي لُغَةٍ وَالْأَكْثَرُ مِنْ بَابِ ضَرَبَ إذَا هَرَبَ مِنْ سَيِّدِهِ مِنْ غَيْرِ خَوْفٍ وَلَا كَدِّ عَمَلٍ هَكَذَا قَيَّدَهُ فِي الْعَيْنِ وَقَالَ الْأَزْهَرِيُّ الْأَبْقُ هُرُوبُ الْعَبْدِ مِنْ سَيِّدِهِ وَالْإِبَاقُ بِالْكَسْرِ اسْمٌ مِنْهُ فَهُوَ آبِقٌ وَالْجَمْعُ أُبَّاقٌ مِثْلُ كَافِرٍ وَكُفَّارٍ
ءبل,9, الْإِبِلُ أُبَيْلَةٍ وَالْإِبِلُ الْإِبِلُ آبَالٌ وَأَبِيلٌ وَالْإِبِلُ إبِلٌ الْأُبُلَّةِ,3,vowel, *ءبل*	 الْإِبِلُ اسْمُ جَمْعٍ لَا وَاحِدَ لَهَا وَهِيَ مُؤَنَّثَةٌ لِأَنَّ اسْمَ الْجَمْعِ الَّذِي لَا وَاحِدَ لَهُ مِنْ لَفْظِهِ إذَا كَانَ لِمَا لَا يَعْقِلُ يَلْزَمُهُ التَّأْنِيثُ وَتَدْخُلُهُ الْهَاءُ إذَا صُغِّرَ نَحْوُ أُبَيْلَةٍ وَغُنَيْمَةٍ وَسُمِعَ إسْكَانُ الْبَاءِ لِلتَّخْفِيفِ وَمِنْ التَّأْنِيثِ وَإِسْكَانِ الْبَاءِ قَوْلُ أَبِي النَّجْمِ وَالْإِبِلُ لَا تَصْلُحُ لِلْبُسْتَانِ وَحَنَّتْ الْإِبِلُ إلَى الْأَوْطَانِ وَالْجَمْعُ آبَالٌ وَأَبِيلٌ وَزَانُ عَبِيدٍ وَإِذَا ثُنِّيَ أَوْ جُمِعَ فَالْمُرَادُ قَطِيعَانِ أَوْ قَطِيعَاتٌ وَكَذَلِكَ أَسْمَاءُ الْجُمُوعِ نَحْوُ أَبْقَارٍ وَأَغْنَامٍ وَالْإِبِلُ بِنَاءٌ نَادِرٌ قَالَ سِيبَوَيْهِ لَمْ يَجِئْ عَلَى فِعِلٍ بِكَسْرِ الْفَاءِ وَالْعَيْنِ مِنْ الْأَسْمَاءِ إلَّا حَرْفَانِ إبِلٌ وَحِبِرٌ وَهُوَ الْقَلَحُ وَمِنْ الصِّفَاتِ إلَّا حَرْفٌ وَهِيَ امْرَأَةٌ بِلِزٌ وَهِيَ الضَّخْمَةُ وَبَعْضُ الْأَئِمَّةِ يَذْكُرُ أَلْفَاظًا غَيْرَ ذَلِكَ لَمْ يَثْبُتْ نَقْلُهَا عَنْ سِيبَوَيْهِ وَنَهْرُ الْأُبُلَّةِ بِضَمِّ الْهَمْزَةِ وَالْبَاءِ وَتَشْدِيدِ اللَّامِ مَوْضِعٌ مِنْ دِجْلَةَ بِقُرْبِ الْبَصْرَةِ نَحْوَ يَوْمٍ
بنو,2, الِابْنُ بَنُو,3,vowel, *بنو*	 الِابْنُ هَمْزَتُهُ وَصْلٌ وَأَصْلُهُ [بَنُو] وَسَيَأْتِي وَالْآبُنُوسُ بِضَمِّ الْبَاءِ خَشَبٌ مَعْرُوفٌ وَهُوَ مُعَرَّبٌ وَيُجْلَبُ مِنْ الْهِنْدِ وَاسْمُهُ بِالْعَرَبِيَّةِ سَأْسَمٍ بِهَمْزَةٍ وِزَانُ جَعْفَرٍ والْأَبْنُسُ بِحَذْفِ الْوَاوِ لُغَةٌ فِيهِ
ءبو,15, الْأَبُ أَبَوَيْنِ آبَاءٌ أُبَيْوٌ أُبَيٌّ الْأَبُّ أَبَاهُ أَبَاهُ بِأَبَاهُ أَبُوهُ أَبَاهُ بِأَبِيهِ وَالْأُبُوَّةُ الْأَبِ وَالْأَبْوَاءُ,3,vowel, *ءبو*	 الْأَبُ لَامُهُ مَحْذُوفَةٌ وَهِيَ وَاوٌ لِأَنَّهُ يُثَنَّى أَبَوَيْنِ وَالْجَمْعُ آبَاءٌ مِثْلُ سَبَبٍ وَأَسْبَابٍ وَيُطْلَقُ عَلَى الْجَدِّ مَجَازًا وَإِذَا صُغِّرَ رُدَّتْ اللَّامُ الْمَحْذُوفَةُ فَيَبْقَى أُبَيْوٌ فَتَجْتَمِعُ الْوَاوُ وَالْيَاءُ فَتُقْلَبُ الْوَاوُ يَاءً وَتُدْغَمُ فِي الْيَاءِ فَيَبْقَى أُبَيٌّ وَبِهِ سُمِّيَ وفِي لُغَةٍ قَلِيلَةٍ تُشَدَّدُ الْبَاءُ عِوَضًا مِنْ الْمَحْذُوفِ فَيُقَالُ هُوَ الْأَبُّ وَفِي لُغَةٍ يَلْزَمُهُ الْقَصْرُ مُطْلَقًا فَيُقَالُ هَذَا أَبَاهُ وَرَأَيْت أَبَاهُ وَمَرَرْت بِأَبَاهُ وَفِي لُغَةٍ وَهِيَ أَقَلُّهَا يَلْزَمُهُ النَّقْصُ مُطْلَقًا فَيُسْتَعْمَلُ اسْتِعْمَالَ يَدٍ وَدَمٍ وَعَلَى اللُّغَةِ الْمَشْهُورَةِ إذَا أُضِيفَ إلَى غَيْرِ الْيَاءِ وَهُوَ مُكَبَّرٌ أُعْرِبَ بِالْحُرُوفِ فَيُقَالُ هَذَا أَبُوهُ وَرَأَيْت أَبَاهُ وَمَرَرْت بِأَبِيهِ وَالْأُبُوَّةُ مَصْدَرٌ مِنْ الْأَبِ مِثْلُ الْأُمُومَةِ مَصْدَرٌ مِنْ الْأُمِّ وَالْأُخُوَّةُ وَالْعُمُومَةُ وَالْخُؤُولَةُ فَيُقَالُ بَيْنَهُمَا أُخُوَّةُ الرَّضَاعِ وَالْأَبْوَاءُ وَزَانُ أَفْعَالٍ مَوْضِعٌ بَيْنَ مَكَّةَ وَالْمَدِينَةِ وَيُقَالُ لَهُ وَدَّانُ
ءبي,10, أَبَى يَأْبَى إبَاءً وَإِبَاءَةً آبٍ وَأَبِيٌّ وَتَأَبَّى أَبَى يَأْبَى أَبَا,3,vowel, *ءبي*	 [[أَبَى]] الرَّجُلُ [[يَأْبَى]] إبَاءً بِالْكَسْرِ وَالْمَدِّ وَإِبَاءَةً امْتَنَعَ فَهُوَ آبٍ وَأَبِيٌّ عَلَى فَاعِلٍ وَفَعِيلٍ [وَتَأَبَّى] مِثْلُهُ وَبِنَاؤُهُ شَاذٌّ لِأَنَّ بَابَ فَعَلَ يَفْعَلُ بِفَتْحَتَيْنِ يَكُونُ حَلْقِيَّ الْعَيْنِ أَوْ اللَّامِ وَلَمْ يَأْتِ مِنْ حَلْقِيِّ الْفَاءِ إلَّا [[أَبَى]] [[يَأْبَى]] وَعَضَّ يَعَضُّ فِي لُغَةٍ وَأَثَّ الشَّعْرُ يَأَثُّ إذَا كَثُرَ وَالْتَفَّ وَرُبَّمَا جَاءَ فِي غَيْرِ ذَلِكَ قَالُوا وَدَّ يَوَدُّ فِي لُغَةٍ وَأَمَّا لُغَةُ طيئ فِي بَابِ نَسِيَ يَنْسَى إذَا قَلَبُوا وَقَالُوا نَسِيَ يَنْسَى فَهُوَ تَخْفِيفٌ أَبِيوَرْدُ بِفَتْحِ الْهَمْزَةِ وَكَسْرِ الْبَاءِ وَسُكُونِ الْيَاءِ آخِرِ الْحُرُوفِ وَفَتْحِ الْوَاوِ وَسُكُونِ الرَّاءِ الْمُهْمَلَةِ ثُمَّ دَالٍ مُهْمَلَةٍ أَيْضًا بَلَدٌ مِنْ خُرَاسَانَ وَإِلَيْهِ يُنْسَبُ بَعْضُ أَصْحَابِنَا وَيُقَالُ أَيْضًا [أَبَا] وَرْدُ وَبَاوَرْدَ
ءتم,7, أَتِمَ يَأْتِمُ وَيَأْتَمُّ أُتُومًا مَأْتَمٌ مَأْتَمٌ مَأْتَمِ,3,vowel, *ءتم*	 أَتِمَ بِالْمَكَانِ يَأْتِمُ وَيَأْتَمُّ [أُتُومًا] وَمِنْ بَابِ تَعِبَ لُغَةٌ أَقَامَ وَاسْمُ الْمَصْدَرِ وَالزَّمَانِ وَالْمَكَانِ مَأْتَمٌ عَلَى مَفْعَلٍ بِفَتْحِ الْمِيمِ وَالْعَيْنِ وَمِنْهُ قِيلَ لِلنِّسَاءِ يَجْتَمِعْنَ فِي خَيْرٍ أَوْ شَرٍّ مَأْتَمٌ مَجَازًا تَسْمِيَةً لِلْحَالِّ بِاسْمِ الْمَحَلِّ قَالَ ابْنُ قُتَيْبَةَ وَالْعَامَّةُ تَخُصُّهُ بِالْمُصِيبَةِ فَتَقُولُ كُنَّا فِي مَأْتَمِ فُلَانٍ وَالْأَجْوَدُ فِي مَنَاحَتِهِ
