Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
خرف,65," الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ'] 'خرف', الخُرْفَةُ خُرْفَةُ والمَخْرَفَةُ والمَخْرَفَةُ والمَخْرَفُ']",3,no vowel,"   *خرف* الخُرْفَةُ بالضم ما يُجْتنى من الفواكه يقال التمر خُرْفَةُ الصائم والمَخْرَفَةُ البستانُ والمَخْرَفَةُ والمَخْرَفُ _________  البيت بتمامه كأن الحصا من خلفها وأمامها إذا نجلته رجلها خذف أعسرا أيضا الطريق قال أبو كبير الهذلى فأجزته بأفل تحسب أثره نهجا أبان بذى فريغ مخرف  وفي حديث عمر رضي الله عنه "" تركتكم على مَخْرَفَةِ النَعَمِ  "" والمِخْرَفُ بالكسر ما تُجْتَنى فيه الثمارُ والخروفُ الحَمَلُ وربَّما سمِّي المُهْرُ إذا بلغ ستَّةَ أشهر أو سبعةَ أشهر خروفا حكاه الاصمعي في كتاب الفرس وأنشد لرجل من بنى الحارث ومستنة كاستنان الخرو ف قد قطع الحبل بالمرود  ولم يعرفه أبو الغيث وحكى أبو زيد الخرائف النخل اللاتي تُخْرَصُ والخَرِيفُ أحد فصول السنة تُخْتَرَفُ فيه الثمارُ أي تُجْتَنى والنسبة إليه خَرْفيٌّ _________  قبله ولقد تحين الخرق يركد علجه فوق الاكام إدامة المسترعف  في اللسان أي على مثل طريقها التى تمهدها بأخفافها  بعده دفوع الاصابع ضرح الشمو س نجلاء مؤيسة العود والخريف المطر في ذلك الوقت وقد خُرِفْنا أي أصابنا مطر الخَريفِ وخَرَفَتِ الأرضُ فهي مَخْروفَةٌ قال الكسائي يقال عاملتُهُ مُخارَفَةً من الخَريفِ كالمشاهرة من الشهر وخرافة اسم رجل من عذرة استهوته الجن فكان يحدث بما رأى فكذبوه وقالوا "" حديث خرافة "" ويروى عن النبي صلى الله عليه وسلم أنه قال "" وخرافة حق "" والراء فيه مخففة ولا تدخله الالف واللام لانه معرفة إلا أن تريد به الخرافات الموضوعة من حديث الليل وخرفت الثمار أخرفها بالضم أي اجتنيتُها والثَمرُ مَخْروفٌ وخَريفٌ والخَرَفُ بالتحريك فساد العقل من الكِبَرِ وقد خَرِفَ الرجل بالكسر فهو خرف قال أبو النجم العجلى أقبلت من عند زياد كالخرف تخط رجلاى بخط مختلف وتكتبان في الطريق لام الف وأخرفت الشاة ولدت في الخريف قال الشاعر  _________  الكميت تلقى الأمانَ على حِياضِ محمدٍ ثَوْلاءُ مُخْرِفَةٌ وذئبٌ أَطْلَسُ  قال الأموي إذا كان نِتاج الناقة في مثل الوقت الذي حَمَلتْ فيه من قابل قيل قد أَخْرَفَتْ فهي مُخْرِفٌ وأَخْرَفَ القومُ دخلوا في الخريف وخارف ويام قبيلتان من اليمن"
خزف,2, الخَزْفُ والخَزَفُ,3,no vowel, *خزف* قال ابن دريد الخَزْفُ الخَطْرُ باليد عند المشي والخَزَفُ بالتحريك الجر
خسف,64," خَسَفَ يَخْسِفُ خُسوفاً وخَسَفَ خَسْفاً {فَخَسَفْنا وخَسَفَ وخسف {لخسف نخسف وخسوف وخُسوفُ 'خسف', خَسَفَ يَخْسِفُ خُسوفاً وخَسَفَ خَسْفاً {فَخَسَفْنا وخَسَفَ وخسف {لخسف نخسف وخسوف وخُسوفُ 'خسف', خَسَفَ يَخْسِفُ خُسوفاً وخَسَفَ خَسْفاً {فَخَسَفْنا وخَسَفَ وخسف {لخسف نخسف وخسوف وخُسوفُ 'خسف', خَسَفَ يَخْسِفُ خُسوفاً وخَسَفَ خَسْفاً {فَخَسَفْنا وخَسَفَ وخسف {لخسف نخسف وخسوف وخُسوفُ 'خسف', خَسَفَ يَخْسِفُ خُسوفاً وخَسَفَ خَسْفاً {فَخَسَفْنا وخَسَفَ وخسف {لخسف نخسف وخسوف وخُسوفُ",3,no vowel, *خسف* خَسَفَ المكان  يَخْسِفُ خُسوفاً ذهَبَ في الأرض وخَسَفَ الله به الأرض خَسْفاً أي غاب به فيها ومنه قوله تعالى {فَخَسَفْنا به وبدارِهِ الأرضَ}  وخَسَفَ في الارض [[[[[وخسف]]]]] به وقرئ {لخسف بنا} على ما لم يسمَّ فاعلُه وفى حرف عبد الله {لا [[[[[نخسف]]]]] بنا} كما يقال انطلق بنا [[[[[وخسوف]]]]] العين ذَهابها في الرأس وخُسوفُ القمر كسوفه _________  بعده لا ذى تخاف ولا لذلك جزأة تُهْدى الرَعِيَّةُ ما استقام الرَيِّسُ  خسف المكان من باب جلس [[وخسف]] الله به الارض من باب ضرب قال ثعلب كسفت الشمسُ وخَسَفَ القمر هذا أجود الكلام والخَسْفُ النقصانُ يقال رضي فلانٌ بالخَسْفِ أي بالنقيصة وبات فلانُ الخَسْفَ أي جائعاً ويقال سامه الخَسْفَ وسامه خَسْفاً وخُسْفاً أيضاً بالضم أي أَوْلاهُ ذُلاً ويقال كلّفه المشقّة والذلَّ وخَسْفُ الركية مخرج مائها حكاه أو زيد والخاسف المهزول قال أبو عمرو الخَسيفُ البئر التي تحفر في حجارةٍ فلا ينقطع ماؤها كثْرةً والجمع خُسُفٌ ويقال وقعوا في أَخاسيفَ من الارض وهى اللينة
خشف,39," الخَشْفَةُ خَشَفَ يَخْشُفُ خَشْفاً وخَشَفَ خَشْفَةً خاشف 'خشف', الخَشْفَةُ خَشَفَ يَخْشُفُ خَشْفاً وخَشَفَ خَشْفَةً خاشف 'خشف', الخَشْفَةُ خَشَفَ يَخْشُفُ خَشْفاً وخَشَفَ خَشْفَةً خاشف 'خشف', الخَشْفَةُ خَشَفَ يَخْشُفُ خَشْفاً وخَشَفَ خَشْفَةً خاشف 'خشف', الخَشْفَةُ خَشَفَ يَخْشُفُ خَشْفاً وخَشَفَ خَشْفَةً خاشف",3,no vowel," *خشف* الخَشْفَةُ الحِسُّ والحركة   تقول منه خَشَفَ الإنسانُ يَخْشُفُ خَشْفاً وخَشَفَ الثلجُ في شدّة البرد تَسمع له خَشْفَةً عند المشي قال الشاعر   إذا كَبَّدَ النجمُ السماَء بشَتْوَةٍ على حينَ هَرَّ الكلب والثلج [[[[[خاشف]]]]] إنما نصب "" حين "" لانه جعل "" على "" _________  خشف من باب ضرب ونصر صوت  القطامى فضلا في الكلام وأضافه إلى جملة فتركت الجملة على إعرابها كما قال آخر على حين ألهى الناس جل أمورهم فندلا زريق المال ندل الثعالب ولانه أضيف إلى ملا يضاف إلى مثله وهو الفعل فلم يوفر حظه من الاعراب وخشفت رأسه بالحجر أي فَضَخْتُهُ والخَشيف الثلجُ والخَشوفُ من الرجال السريعُ وقال أبو عمرو الخُشَفُ من الإبل التي تسير بالليل الواحد خَشوفٌ وخاشف وخاشفة وأنشد بات يبارى ورشات كالقطا عجمجمات خشفا تحت السرى ورجل مخشف أي جرئ على الليل والخشاف الخفاش ويقال الخطاف وخشاف بالفتح اسم رجل وخشف يخشف بالضم خشوفا ذهب في الارض"
خصف,63," الخَصْفُ خًصْفَة والخَصْفَةُ خَصَفٌ وخِصافٌ وخصفة خصفة 'خصف', الخَصْفُ خًصْفَة والخَصْفَةُ خَصَفٌ وخِصافٌ وخصفة خصفة 'خصف', الخَصْفُ خًصْفَة والخَصْفَةُ خَصَفٌ وخِصافٌ وخصفة خصفة 'خصف', الخَصْفُ خًصْفَة والخَصْفَةُ خَصَفٌ وخِصافٌ وخصفة خصفة 'خصف', الخَصْفُ خًصْفَة والخَصْفَةُ خَصَفٌ وخِصافٌ وخصفة خصفة 'خصف', الخَصْفُ خًصْفَة والخَصْفَةُ خَصَفٌ وخِصافٌ وخصفة خصفة 'خصف', الخَصْفُ خًصْفَة والخَصْفَةُ خَصَفٌ وخِصافٌ وخصفة خصفة 'خصف', الخَصْفُ خًصْفَة والخَصْفَةُ خَصَفٌ وخِصافٌ وخصفة خصفة",3,no vowel," *خصف* الخَصْفُ النعلُ ذات الطِراق وكلُّ طِراقٍ منها [[[[[[[[خًصْفَة]]]]]]]] والخَصْفَةُ بالتحريك الجُلةُ التي تعْمَلُ من الخوص للتمر وجمعها خَصَفٌ وخِصافٌ [[[[[[[[وخصفة]]]]]]]] أيضا أبو حى من العرب وهو [[[[[[[[خصفة]]]]]]]] ابن قيس عيلان والأَخْصَفُ الأبيضُ الخاصرتين من الخيل والغنم وهو الذي ارتفع البلق من بطنه إلى جنبَيه والأَخْصَفُ لونٌ كلون الرماد فيه سواد وبياض قال العجاج في صفة الصُبح أبدى الصباحُ عن بَريمٍ أخْصفا    وحبلٌ أَخْصَفُ وظليمٌ أَخْصَفُ فيه سواد ٌوبياضٌ وكتيبةٌ خَصيفٌ وهو لون الحديد ويقال خُصِفَتْ من ورائها بِخَيْلٍ أي رُدِفَتْ فلهذا لم تدخلها الهاء لانها بمعنى مفعولة فلو كانت للون الحديد لقالوا خصيفة لانها بمعنى فاعلة وكل لونين اجتمعا فهو خضيف والخَصيفُ اللبنُ الحليبُ يُصَبُّ عليه الرائب فإن جُعِلَ فيه التمر والسمن فهو العوثبانى وقال   إذا ما الخصيف العوثبانى ساءنا تركناه واخترنا السديف المسرهدا وخصفت النعل خَرَزْتُها فهي نعلٌ خَصيفٌ وقوله تعالى {وَطَفِقا يَخْصِفان عَلَيهما مِنْ وَرَق الجنَّة} يقول يُلزقان بعضَه ببعض ليسترا _________  قبله حتى إذا ما ليله تكشفا  ناشرة بن مالك يرد على المخبل به عورتهما وكذلك الاختصاف ومنه قرأ الحسن {يخصفان} إلا أنه أدغم التاء في الصاد وحرك الخاء بالكسر لاجتماع الساكنين وبعضهم حول عليها حركة التاء ففتحها حكاه الاخفش والمخصف الاشفى وخصفت الناقة تَخْصِفُ خِصافاً إذا ألقتْ ولدَها وقد بلغ الشهر التاسع فهي خَصوفٌ ويقال الخَصوفُ هي التي تُنتِجُ بعد الحَوْلِ من مَضْرِبِها بشهر والجرور بشهرين وخصاف مثل قطام اسم فرس وفى المثل "" هو أجرأ من خاصى خصاف "" وذلك أن بعض الملوك  طلبه من صاحبه ليستفحله فمنعه إياه وخصاه"
خضف,7," خَضَفَ 'خضف', خَضَفَ 'خضف', خَضَفَ 'خضف', خَضَفَ",3,no vowel," *خضف* خَضَفَ بها أي ردم وأنشد الاصمعي _________  كتب مصحح المطبوعة الاولى قوله بعض الملوك هو المنذر بن امرئ القيس وقوله صاحبه هو حمل بن زيد بن عوف بن بكر بن وائل وقوله وخصاه يعنى بين يديه كما في القاموس وكتب في مادة خضب  "" وفارس خضاف وهم للجوهري وأنت تراه لم يذكره على ما في النسخ التى بين أيدينا وكذا لم نجده في مادة فرس  إنا وجدنا خلفا بئس الخلف عبدا إذا ما ناء بالجمل خضف  ومنه قبل للامة ياخضاف"
خلف,12," 'خلف', 'خلف', 'خلف', 'خلف', 'خلف', 'خلف', 'خلف', 'خلف', 'خلف', 'خلف', 'خلف', 'خلف',",3,no vowel," *خلف* الخطف الاستلاب وقد خطفه بالكسر يَخْطَفُهُ خَطفاً وهي اللغة الجيدة وفيه لغة أخرى حكاها الاخفش بالفتح يخطف وهى قليلة رديئة لا تكاد تُعْرَف وقد قرأبها يونس في قوله تعالى يخطف أبصارهم  واختطفه وتخطفه بمعنى وقرأ الحسن إلا من خطف الخطفة بالتشديد يريد اختطف فأدغم على ما نفسره في باب اللام في قتل  والخطاف طائر والخُطّافُ حديدةٌ حَجْناءُ تكون في جانبي البكرة فيها المحور وكلُّ حديدة حجنا خطاف ومخاليب السباع خَطاطيفُها قال الشاعر   إذا عَلِقِتْ قرْناً خَطاطيفُ كَفِّهِ رأى الموتَ بالعينين أسود أحمرا _________  بعده أغلق عنا بابه ثم حلف لايدخل البواب إلامن عرف  أبو زبيد الطائى يصف أسدا والخطاف بالفتح الذى في الحديث  هو الشيطان يخطف السمع يسترقه وخاطف ظله طائرٌ قال الكميت بن زيد ورَيطَةِ فِتيانٍ كخاطِفِ ظِلِّهِ جعلتُ لهم منها خِباءً مُمَدَّدا قال ابن سَلَمَةَ هو طائرٌ يقال له الرَفْرافُ إذا رأى ظلَّه في الماء أقبل إليه ليَخْطَفَهُ والخاطِفُ الذئبُ وبرقٌ خاطِفٌ لنور الأبصار ورمى الرميّةَ فَأخْطَفَها أي أخطأها قال الراجز     إذا أصاب صيده أو أخطفا    وإخطاف الحشا انطواؤه يقال فرس مخطف الحشاء بضم الميم وفتح الطاء إذا كان لاحِقَ ما خَلْفَ المَحْزِمِ من بَطْنه والخَطيفَةُ دقيقٌ يُذَرُّ على اللبن ثم يُطْبَخُ فيُلْعَقُ قال ابن الأعرابي هو الجَبولاءُ   وجملٌ خَطيفٌ أي سريع المر كانه _________  هو حديث الامام على "" نفقتك رياء وسمعة للخطاف  العماني  قبله فانقض قد فات العيون الطرفا  في اللسان "" الحبولاء "" بالحاء المهملة وهو تحريف وجاء في اللسان في مادة جبل  "" والجبولاء العصيدة وهى التى تقول لها العامة الكبولاء "" يختطف في مشيه عنقَه أي يجتذب وتلك السُرعة هي الخَطَفى بالتحريك والخطفى أيضا لقب عوف وهو جد جرير ابن عطية بن عوف الشاعر سمى بذلك لقوله وعنقا بعد الكلال خيطفى "
خظرف,1, خظرف,4,no vowel, *[خظرف]* [خظرف] البعير في سيره لغة ٌفي خَذْرَفَ إذا أسرع ووسع الخطو بالظاء المعجمة
خفف,43," الخُفُّ والخُفُّ الخِفافِ والخُفُّ الخفاف خف والخف الخفيف الخِفُّ خِفٍّ 'خفف', الخُفُّ والخُفُّ الخِفافِ والخُفُّ الخفاف خف والخف الخفيف الخِفُّ خِفٍّ 'خفف', الخُفُّ والخُفُّ الخِفافِ والخُفُّ الخفاف خف والخف الخفيف الخِفُّ خِفٍّ 'خفف', الخُفُّ والخُفُّ الخِفافِ والخُفُّ الخفاف خف والخف الخفيف الخِفُّ خِفٍّ",3,no vowel, *خفف* الخُفُّ واحد أَخْفافِ البعير والخُفُّ واحد الخِفافِ التي تُلْبَسُ والخُفُّ في الأرض أغلظُ من النعل وأما قول الراجز يحمل في سحق من [[[[الخفاف]]]] تواديا سوين من خلاف فإنما يريد به كنفا اتخذ من ساق [[[[خف]]]] [[[[والخف]]]] بالكسر [[[[الخفيف]]]] قال امرؤ القيس يَزِلُّ الغلامُ الخِفُّ عن صَهَواتِه ويُلْوي بأثوابِ العَنِيفِ المُثَقَّلِ ويقال أيضاً خرجَ فلانٌ في خِفٍّ من أصحابه أي في جماعة قليلة _________  قبله يرفعن بالليل إذا ما أسدفا أعناق جنان وهاما رجفا والتخفيف ضد التثقيل واسْتَخَفَّهُ خلاف استثقله واسْتَخَفَّ به أهانه ورجلٌ خَفيفٌ وخُفافٌ بالضم وخفاف بن ندبة  السلمى أحد غربان العرب وخف الشئ يخف خفة   صار خَفيفاً وخَفَّ القوم خُفوفاً أي قَلُّوا وقد خَفَّتْ زحمتهم وخَفَّ له في الخدمة يَخِفُّ خِفَّةً وأَخَفَّ الرجلُ أي خَفَّتْ حاله وفى الحديث إن بين أيدينا عقبة كؤودا لا يجوزها إلا المخف وأخف القوم إذا كانت دوابهم خفافا عن أبى زيد وخفان موضع وهو مأسدة ومنه قول الشاعر شرنبث أطراف البنان ضبارم هصور له في غيل خفان أشبل
خلف,59," خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف 'خلف', خلف",3,no vowel," *[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[خلف]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]* [[[[[[[[[[[[[[[[[[[[[[[[[[[[[[خلف]]]]]]]]]]]]]]]]]]]]]]]]]]]]]] نقيض قدام _________  ندبة بالضم ويفتح وخفاف صحابي  وزاد في القاموس خفا  - صحاح -  والخلف القرنُ بعد القرن يقال هؤلاء [[[[[[[[[[[[[[[[[[[[[[[[[خلف]]]]]]]]]]]]]]]]]]]]]]]]] سوء لناس لاحقين بناس أكثر منهم قال لبيد ذهب الذين يُعاشُ في أَكْنافِهِمْ وَبقيتْ في خَلْفٍ كجلد الإَجْرَبِ والخَلْفُ الردى من القول يقال "" سكت أَلْفاً ونطق خَلْفاً "" أي سكت عن ألف كلمة ثم تكلَّم بخطأ قال أبو يوسف وحدثني ابن الاعرابي قال كان أعرابي مع قوم فحبق حبقة فتشور فأشار بإبهامه نحواسته وقال إنها [[[[[[[[[[[[[[[[[[[[[[[[[خلف]]]]]]]]]]]]]]]]]]]]]]]]] نطقت خلفا والخلف أيضا الاستقاء قال الحطيئة لزغب كأولاد القطا راث خلفها على عاجزات النهض حمر حواصله يعنى راث مخلفها فوضع المصدر موضعه وقوله حواصله قال الكسائي أراد حواصل ما ذكرنا وقال الفراء الهاء ترجع إلى الزغب دون العاجزات التى فيه علامة الجمع لان كل جمع بنى على صورة الواحد ساغ فيه توهم الواحد كقول الشاعر مثل الفراخ نتفت حواصله   لان الفراخ ليس فيه علامة الجمع وهو على صورة الواحد كالكتاب والحجاب ويقال الهاء ترجع إلى النهض وهو موضع في كتف البعير فاستعاره للقطا والخلف أقصر أضلاع الجَنْب والجمع خُلوفٌ ومنه قول طرفة بن العبد وطى محال كالحنى خلوفه وأجرنة لزت بدأى منضد ويقال وراء بيتك [[[[[[[[[[[[[[[[[[[[[[[خلف]]]]]]]]]]]]]]]]]]]]]]] جيد وهو المربد   وفأْسٌ ذات خَلْفَيْنِ أي لها رأسان والخَلْفُ والخَلَفُ ما جاء من بَعْدُ يقال هو خَلْفُ سَوءٍ من أبيه وخَلَفُ صدقٍ من أبيه بالتحريك إذا قام مقامه قال الأخفش هما سواءٌ منهم من يحرِّك ومنهم من يسكِّن فيهما جميعاً إذا أضاف ومنهم من يقول [[[[[[[[[[[[[[[[[[[[[[[خلف]]]]]]]]]]]]]]]]]]]]]]] صدق بالتحريك ويسكن الآخر ويريد بذلك الفرق بينهما قال الراجز إنا وجدنا خلفا بئس الخلف  عبدا إذا ماناء بالحمل خفف وبعيرٌ أَخًلَفُ بيِّن الخَلَفِ إذا كان مائلا على شق حكاه أبو عبيد والخلف أيضا ما استخلفته من شئ _________  وهو محبس الابل  انظر ما سبق في مادة خضف  والخُلْفُ بالضم الاسمُ من الإخلاف وهو في المستقبل كالكذِب في الماضي والخِلْفُ بالكسر حَلَمَةُ ضرعِ الناقة القادمان والآخِران ويقال أيضاً هنَّ يمشين خِلْفَةً أي تذهب هذه وتجئ هذه ومنه قول زهير بها العين والارآم يمشين خِلْفَةً وأَطْلاؤُها ينْهَضْنَ من كل مَجْثِمِ ويقال أيضاً القومُ خِلْفَةٌ أي مختلفون حكاه أبو زيد وأنشد دَلْوايَ خِلْفانِ وساقِياهُما    وبنو فلان خِلْفَةٌ أي شِطْرَةٌ نصفٌ ذكورٌ ونصفٌ إناثٌ والخِلْفَةٌ اختلاف الليل والنهار ومنه قوله تعالى {وهو الذي جَعَلَ اللَيل والنَهارَ خِلْفَةً}  ويقال أخذتْه خِلْفَةٌ إذا اختلف إلى المُتَوَضَّأِ ويقال مِن أين خلفتكم أي من أين تستقون والخِلْفَةُ نبتٌ ينبتُ بعد النبات الذى يتهشهم وخلفة الشجر ثمرٌ يخرج بعد الثمر الكثير وقال أبو عبيد الخِلْفَةُ ما نبت في الصيف _________  أي إحداهما مصعدة ملاى والاخرى منحدرة فارغة أو إحداهما جديد والاخرى خلق والخلف بكسر اللام المَخاضُ وهي الحواملُ من النوق الواحدة خَلِفَةٌ والمُخْلِفُ من الإِبل الذي جاوز البازِلَ الذكرُ والأنثَى فيه سواء يقال مُخْلِفُ عام ومخلف عامين قال الجعدى أيد الكاهل جلد بازل أخلف البازل عاما أو بزل وكان أبو زيد يقول الناقة لا تكون بازلا ولكن إذا أتى عليها حول بعد البزول فهى بزول إلى أن تنيب فتدعى عند ذلك نابا والمخلفة من النوق هي الراجعُ التي ظهر لهم أنّها لَقِحَتْ ثم لم تكن كذلك ورجلٌ مِخلافٌ أي كثير الاخلاف لوعده والمخلاف أيضا لاهل اليمن واحد المخاليف وهى كورها ولكل مخلاف منها اسم يعرف به ورجل خالفة أي كثير الخِلافِ ويقال ما أدري أيُّ خالِفَةَ هو أيْ أيّ الناس هو غير مصروفٍ للتأنيث والتعريف ألا ترى أنك فسرته بالناس وفلان خالفة أهل بيته وخالِفُ أهلِ بيته أيضاً إذا كان لا خير فيه والخالِفَةُ عمودٌ من أعمدة الخباء والجمع الخوالف وقوله تعالى {رضوا بأن يكونوا مع الخَوالِفِ} أي مع النساء والخالف المستقى والخليفى بتشديد اللام الخلافة قال عمر ابن الخطاب رضى الله عنه "" لو أطيق الاذان مع الخليفى لاذنت "" والخَليفُ الطريقُ بين الجبلين قال الشاعر   فلما جَزَمْتُ به قِرْبَتي تيممت أطرقة أو خليفا  ومنه قولهم ذيخ الخليف كما يقال ذئب غضا قال الشاعر   وذفرى ككاهل ذيخ الخليف أصاب فريقة ليل فعاثا وخليفا الناقة إبطاها قال كثير كأن خليفي زورها ورحاهما بنى مكوين ثلما بعد صيدن المكا جحر الثعلب والارنب ونحوه _________  ضخر الغى  قبله وماء وردت على زَوْرَةٍ كَمَشْيِ السَبَنْتي يَراحُ الشفيفا فخضجضت صفنى في جَمِّهِ خِياضَ المُدابِرِ قِدْحاً عطوفا  كثير والخليفة السلطان الاعظم وقد يؤنّث وأنشد الفراء أَبوكَ خليفةٌ وَلَدَتْهُ أخرى وأنت خَليفَةٌ ذاك الكمال والجمع الخلائف جاءوا به على الاصل مثل كريمة وكرائم وقالوا أيضا خلفاء من أجل أنه لا يقع إلا على مذكر وفيه الهاء جمعوه على إسقاط الهاء فصار مثل ظريف وظرفاء لان فعيلة بالهاء لا تجمع على فعلاء ويقال [[[[[[[[[خلف]]]]]]]]] فلان فلاناً إذا كان خَليفَتَهُ يقال خَلَفَهُ في قومه خِلافَةً ومنه قوله تعالى {وقال موسى لأخيه هارونَ اخْلُفْني في قَومي}  وخَلَفْتُهُ أيضاً إذا جئتَ بعده وخَلَفَ فَمُ الصائم خُلوفاً أي تغيِّرتْ رائحته وخَلَفَ اللبنُ والطعامُ إذا تغيِّرَ طعمه أو رائحتُهُ وقد [[[[[[[[[خلف]]]]]]]]] فلان أي فسد حكاه يعقوب وخلفت الثوب أَخْلُفُهُ فهو خَلِيفٌ إذا بَلِيَ وَسَطُهُ فأخرجت الباليَ منه ثم لفَفته وحيٌّ خُلوفٌ أي غُيَّبٌ قال أبو زبيد أصبح البيت بيت آل بيان  مقشعرا والحى حى خلوف _________  قال ابن برى صواب إنشاده = أي لم يبق منهم أحد والخلوفُ أيضاً الحضورُ المُتَخَلِّفونَ وهو من الأضداد وأَخْلَفَ فوهُ لغة في خَلَفَ أي تغيّر وأَخْلَفْتُ الثوبَ لغةٌ في خَلَفْتُهُ إذا أصلحتَه قال الكميت يصف صائداً يَمشي بهنّ خفى الشخص مختتل كالنصل أخلف أَهْداماً بأَطْمارِ أي أَخْلَفَ موضع الخُلقان خُلقاناً ويقال لمن ذهب له مالٌ أو ولدٌ أو شئ يستعاض أخلف الله عليك أي ردَّ عليك مثل ما ذهب فإن كان قد هلك له والدٌ أو عمٌّ أو أخٌ قلت خَلَفَ اللهُ عليك بغير ألف أي كان الله خَليفَةَ والدك أو من فقدته عليك ويقال أَخْلَفَهُ ما وعده وهو أن يقول شيئاً ولا يفعله على الاستقبال وأَخْلَفَهُ أيضاً أي وجد موعده خُلْفاً قال الاعشى أثوى وقصر ليلة ليُزَوَّدا فَمَضَتْ وأَخْلَفَ من قُتَيْلَةَ موعدا أي مضت الليلة _________ =   أصبح البيت بيت آل إياس   لان أبا زبيد رثى في هذه القصيدة فروة بن إياس بن قبيصة وكان منزله بالحيرة وكان أهل الجاهلية يقولون أَخْلَفَتِ النجومُ إذا أمحلت فلم يكن فيها مطر وأَخْلَفَ فلانٌ لنفسه إذا كان قد ذهب له شئ فجعل مكانَه آخر قال ابن مقبل فأَخْلِفْ وأَتْلِفْ إنما المالُ عارَةٌ وكُلْهُ مع الدهرِ الذي هو آكِلُهُ يقول اسْتَفِدْ خَلَفَ ما أتلفت وأَخْلَفَ الرجل إذا أهوى بيده إلى سيفه ليَسُلَّهُ وأَخْلَفَ النباتُ أي أخرج الخِلْفَةَ قال الاصمعي يقال أخلفت عن البعير وذلك إذا أصاب حقبه ثيله فيحقب أي يحتبس بوله فتحول الحقب فتجعله مما يلى خصيى البعير ولا يقال ذلك في الناقة لان بولها من حيائها ولا يبلغ الحقب الحياء وأَخْلَفَ واسْتَخْلَفَ أي استقى واسْتَخْلَفَهُ أي جعله خَلِيفَتَهُ وجلست خَلْفَ فلان أي بعده والخِلافُ المُخالفَةُ وقوله تعالى {فرح المخلفون بمقعدهم خِلافِ رسولِ الله} أي مُخالَفَةَ رسول الله ويقال خَلْفَ رسولِ الله وشجرُ الخِلافِ معروفٌ وموضعُه المخلفة وأما قول الراجز يحمل في سحق من الخفاف تواديا سوين من خلاف فإنما يريد أنها من شجر مختلف وليس يعنى الشجرة التى يقال لها الخلاف لان ذلك لا يكاد يكون بالبادية وقولهم هو يخالف إلى امرأة فلانٍ أي يأتيها إذا غاب عنها ويروى قول أبى ذؤيب وخالفها في بيت نوب عواسل    بالخاء أي جاء إلى عسلها وهى ترعى وتقول [خلف] بناقته تَخْليفاً أي صَرَّ منها خِلْفاً واحدا عن يعقوب وتقول أيضا خلفت فلانا ورائي فتَخَلَّفَ عنِّي أي تأخر ويقال في خلق فلان خلفنة مثال درفسة أي الخلاف والنون زائدة"
