Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
ذرف,41, ذرف ذَرَفَ يَذْرِفُ ذَرْفاً وذَرَفَاناً ذُرُوفاً وذَرِيفاً وتَذْرَافاً ذَرَفَتْ ذَرَفَتْ ذَرَفَتِ مَذْرُوفٌ وذَرِيفٌ ذَرِيفٌ والْمَذَارِفُ مَذَارِفُ والذَّرَفَانُ ذَرِيفُ وذَرَّفَ تَذْرِيفاً وتَذْرَافاً وتَذْرِفَةً ذَرَفَتْ تَذْرِفُه ذَرَّفَ تَذْرِيفاً كذَرَفَ ذَرَّفْتُ ذَرَّفَ ذَرَفَتِ ذُرَافاً ذَارِفٌ ذَوَارِفُ الذَّوَارِفِ يَتَذَارَفُ واسْتَذْرَفَ واسْتَذْرَفَ مُسْتَذْرِفُ والذَّرْفُ والذَّرّافُ والذُّرْفَةُ,3,no vowel, *[ذرف]*	[ذرف] ذَرَفَ الدَّمْعُ  يَذْرِفُ  ذَرْفاً بالفَتْحِ  وذَرَفَاناً  مُحَرَّكةً  كما في الصِّحاحِ  وزَادَ غيرُه  ذُرُوفاً كقُعُودٍ  وذَرِيفاً كأَمِيرٍ  وتَذْرَافاً بالفَتْحِ  أَي سَالَ  [ذَرَفَ]تْ عَيْنُهُ  سَال دَمْعُهَا  ومنه حَدِيثُ العِرْباضِ  رَضِيَ اللهُ عنه  فَوَعَظَنَا مَوْعِظَةً بَلِيغَةً [ذَرَفَ]تْ منها العُيُونُ أَي جَرَى دَمْعُهَا  ويُوصَفُ به الدَّمْعُ نَفْسُه أَيضاً  [ذَرَفَ]تِ الْعَيْنُ دَمْعَهَا  أَسَالَتْهَا  كذا في سائِر النُّسَخِ  والصَّوابُ  أَسَالَتْهُ  وقيل  رَمَتْ به  والدَّمْعُ مَذْرُوفٌ  وذَرِيفٌ  قال رُؤْبَةُ  مَابَالُ عَيْنِي دَمْعُهَا ذَرِيفٌ مِنْ مَنْزِلاَتٍ خَيْمُها وُقُوفُ والْمَذَارِفُ  الْمَدَامِعُ  نَقَلَهُ الجَوْهَرِيُّ  يُقَال  سَالَتْ مَذَارِفُ عَيْنَيْهِ  والذَّرَفَانُ  مُحَرَّكَةً  الْمَشْيُ الضَّعِيفُ  نَقَلَهُ الجَوْهَرِيُّ  ومنه قَوْلُ رُؤْبَةَ  وَرَدْتُ واللَّيْلُ لَهُ سُجُوفُ بِيَعْمَلاَتٍ سَيْرُهَا ذَرِيفُ وذَرَّفَ دَمْعَهُ  تَذْرِيفاً  وتَذْرَافاً  وتَذْرِفَةً  صَبَّهُ  وكذا  [ذَرَفَ]تْ عَيْنُه الدَّمْعَ  [تَذْرِفُه]  أَي أَسَالَتْهُ  ذَرَّفَ علَى الْمِائَةِ  تَذْرِيفاً  زَادَ  كذَرَفَ  ومنه قَوْلُ عَلِيٍّ رَضِيَ اللهُ عنه  قد ذَرَّفْتُ علَى السِّتِّينَ وفي رِوَايَة  علَى الخَمْسِينَ ذَرَّفَ فُلاناً الْمَوْتَ  أَي  أَشْرَفَ به عَلَيْهِ  وأَطْلَعَهُ عليه  حَكَاهُ ابنُ الأَعْرَابِيِّ  وأَنشَدَ لِنَافِع بنِ لَقِيطٍ الفَقَعَسِيِّ    أُعْطِيكَ ذِمَّةَ وَالِدَيَّ كِلاَهُمَا  لأُذَرِّفَنْكَ الْمَوْتَ إِنْ لم تَهْرُبِ   وممّا يُسْتَدْرَكُ عليه  [ذَرَفَ]تِ العَيْنُ  ذُرَافاً  بالضَّمِّ  سَالَ دَمْعُهَا  قال ابْنُ سِيدَة  أَرى اللِّحْيَانِيَّ حَكاهُ  ولستُ منه علَى ثِقَةٍ  ودَمْعٌ ذَارِفٌ  سَائِلٌ  والجَمْعُ  ذَوَارِفُ  قال  أَعَيْنَيَّ جُودَا بِالدُّمُوعِ الذَّوَارِفِ  وَرَأَيْتُ دَمْعَهُ يَتَذَارَفُ  واسْتَذْرَفَ الشَّيْءَ  اسْتَقْطَرَهُ  واسْتَذْرَفَ الضِّرْعُ  دَعَا إِلَى أَنْ يُحْلَبَ  ويُسْتَقْطَرَ  قال يَصِف ضَرْعَاً  سَمْحٌ إِذَا هَيَّجْتَهُ مُسْتَذْرِفُ أَي  مُسْتَقْطِرٌ  كأَنَّهُ يَدْعُو إِلَى أَنْ يُسْتَقْطَرَ  والذَّرْفُ مِن حُضْرِ الخَيْلِ  اجْتِمَاعُ القَوَائِمِ  وانْبِسَاطُ اليَدَيْنِ  غيرَ أَنَّ سَنَابِكَهُ قَرِيبَةٌ مِن الأَرْضِ  والذَّرّافُ  كشَدَّادٍ  السَّرِيعُ  والذُّرْفَةُ  بالضَّمِّ  نِبْتَةٌ  كما في اللِّسَانِ 
ذعف,18, ذعف الذُّعَافُ ذُعَافُ كالذَّعْفِ ذُعُفٌ ذَعَفَهُ ذَعْفَاً مَذْعُوفٌ الذُّعَافُ ذُعْفُ ذُعَافٌ ذُعَافٍ الذَّعَفَانُ ذَعِفَ وذَعَفَ الذُّعافِ مُذْعِفٌ انْذَعَفَ,3,no vowel, *[ذعف]*	[ذعف] الذُّعَافُ  كَغُرَابٍ  السَّمُّ القاتِلُ  أَو سَمُّ سَاعَةٍ  كما قَالَهُ اللَّيْثُ  قالتْ دُرَّةُ بِنتُ أَبِي لَهَبٍ  رَضِيَ اللهُ عنها    فِيهَا ذُعَافُ الْمَوْتِ أَبْرَدُهُ  يَغْلِي بهم وأَحَرُّهُ يَجْرِي   كالذَّعْفِ  بالفَتْحِ  عن ابنِ دُرَيْدٍ  ج  ذُعُفٌ  كَكُتُبٍ  ذَعَفَهُ  كَمَنَعَهُ  ذَعْفَاً  سَقَاهُ إِيَّاهُ  نَقلهُ الجَوْهَرِيُّ  وطعَامٌ مَذْعُوفٌ  جُعِل فيه الذُّعَافُ  يُقَالُ  حَيَّةٌ ذُعْفُ اللُّعَابِ  أَي  سَرِيعَةُ الْقَتْلِ  قال الكِسَائِيُّ  مَوْتٌ ذُعَافٌ وذُؤافٌ  أَي سَرِيعٌ  يُعَجَّلُ القَتْلَ  وأَنْشَدَ قوْلَ ابنِ مُقْبِل    إِذا المُلْوِيَاتُ بالمُسُوحِ لقِينَها  سَقتْهُنَّ كَأساً مِنْ ذُعَافٍ وجَوْزَلاَ   قال ابنُ عَباد  الذَّعَفَانُ  مُحَرَّكَةً  المَوْتُ  وقد ذَعِفَ  وذَعَفَ  كَسَمِعَ  وَجَمَعَ  مِن المَوْتِ الذُّعافِ  وأَذْعَفَهُ  قَتَلَهُ قَتْلاً سَرِيعاً  عن ابنِ دُرَيْدٍ  ومَوْتٌ مُذْعِفٌ  كَمُحْسِنٍ  أَي  وَحِيٌّ  عن ابنِ عَبَّادٍ  يُقَال  عَدَا حتَّى انْذَعَفَ  أَي  انْبَهَرَ  وانْقَطَعَ فُؤَادُهُ  نَقَلَه الصَّاغَانِيُّ 
ذعلف,2, ذعلف ذَعْلَفَهُ,4,no vowel, *[ذعلف]*	[ذعلف]  ذَعْلَفَهُ  أَهْمَلَهُ الجَوْهَرِيُّ  وصاحبُ اللِّسَانِ  وقال ابنُ عَبَّادٍ  طَوَّحَ به وأَهْلَكَهُ  هكذا نَقَلَهُ الصَّاغَانِيُّ في كِتَابَيْهِ 
ذفف,75, ذفف ذَفَّ ذَفّاً وذِفَافاً وذَفَفاً الذِّفَافِ الذَّفَافُ ذَفَافاً ذَفَّ ذَفَّاً ذَفَافةٍ ذَفِيفٌ ذَفِيفٍ ذَفَّ يَذِفُّ ذَفِيفٌ ذُفَافٌ وذَفَافَةٌ وذَفافَةٌ وذَفَّ ذَفِيفَةٌ والذُّفَافُ ذِفَافٍ الذِّفافُ ذِفَاف يَسْتَذِفُّ يُسْتذفُّ الذِّفافُ ذِفَافٌ ذُفُفٌ وذَافَّهُ مُذافَّةً وذِفَافاً ذَافَّ ذَافَّ ذَافَّ -ذِفَافِي كَذَفَّفَهُ وذَفَّفَ يُذَفَّفَ وذَفْذَفَهُ وذَفْذَفَ الذُّفَافُ والذَّفُّ الذُّفُ ذُفٌّ ذُفُفٌ الذُّفَافُ والذَّفِيفُ الذَّفِيفُ مَاذَفَّ واسْتَذَفَّ ذَفَّ يَذِفُّ ذَفِيفاً وذَفِّفْ وذَفْذَفَ ذَفْذَفَ واسْتَذَفَّ والذَّفُوفُ ذِفَافٌ ذِفافٌ ذِفَافاً مُذَفَّفٌ ذَفُّ وذَفَّفَ تَذْفِيفاً والذَّفِيفُ والذَّفِيفُ ذَفَفٌ الذُّفافِ ذَفِيفٌ والذَّفِيفُ وذَفِيفٌ وذُفَافَةُ,3,no vowel, *[ذفف]*	[ذفف] ذَفَّ علَى الْجَرِيحِ ذَفّاً  وذِفَافاً  كَكِتَابٍ  وذَفَفاً  مُحَرَّكَةً  أَجْهَزَ عليه  قال ابنُ دُرَيْدٍ  وقيل  بالدَّالِ  وهو الأَصْلُ  قلتُ  وبهما رُوِيَ قَوْلُ رُؤْبَةَ يُعَاتِبُ رَجُلاً  لَمَّا رآنِي أُرْعِشَتْ أَطْرَافِي كانَ مَعَ الشَّيْبِ مِنَ الذِّفَافِ والاسْمُ الذَّفَافُ  كَسَحَابٍ  عن الهَجَرِيِّ  وأَنْشَدَ    وهَلْ أَشَرَبَنْ مِنْ مَاءِ حَلْيَةَ شَرْبَةً  تَكُونُ شِفَاءً أَو ذَفَافاً لِمَابِيَا   ذَفَّ في الأَمْرِ  [ذَفَّ]اً  أَسْرَعَ  قال ابنُ دُرَيْدٍ  وأَحْسَبُ منه اشْتِقَاقَ ذَفَافةٍ  وطَاعُونٌ ذَفِيفٌ  وَحِيٌّ  مُجْهِزٌ  ومنه الحَدِيثُ  سُلِّطَ عَلَيْهِمْ مَوْتٌ طَاعُونٍ ذَفِيفٍ يُحَرِّفُ القُلُوبَ  وقد ذَفَّ  يَذِفُّ  مِن حَدِّ ضَرَبَ  خَادِمٌ خَفِيفٌ ذَفِيفٌ  وخُفَافٌ ذُفَافٌ كغُرَابٍ  إِتْبَاعٌ  أَي سَرِيعٌ فِي الخِدْمَةِ فيه خَفَافَةٌ وذَفَافَةٌ  وقد خَفَّ فِي الخِدْمَةِ فيه خَفَافَةٌ وذَفافَةٌ  وقد خَفَّ في خِدْمَتِهِ وذَفَّ  وصَلاةٌ خَفِيفَةٌ ذَفِيفَةٌ  كأّنَّهَا صَلاةُ مُسَافِرٍ  وقد حاءَ ذلك في الحديثِ  وقيل  ليس بِإِتْبَاعٍ  كما سيأْتِي  والذُّفَافُ  كَكِتَابٍ  وغُرَابٍ  السَّمُّ القَاتِلُ  لأَنَّهُ يُجْهِزُ عَلَى مَنْ شَرِبَهُ  وعلَى الأَوَّلِ اقْتَصَرَ الجَوْهَرِيُّ  وأَنْشَدَ لأَبِي ذُؤَيْبٍ  يذكُر القَبْرَ  أَو حُفْرَةً    يَقُولُونَ لَمَّا جُشَّتِ الْبِئْرُ أَوْرِدُوا  ولَيْسَ بها أَدْنَى [ذِفَاف]ٍ لِوَارِدِ   يقول  ليس بمَكَانِ بِئْر يُسْتَقَى منها  إِنَّما هو قَبْرٌ  أَو الذِّفافُ هنا  البَلَلُ  وقال أَبو سعيد  إِنَّ معنَى  [ذِفَاف]  ليس بها شَيْءٌ مِمَّا يَسْتَذِفُّ مَن وَرَدَها  لا يُسْتذفُّ له من أَمره شيءٌ  إِنما هو البَلَلُ  وقال الأَخْفَشُ  الذِّفافُ  الشَّيْءُ اليسِيرُ  يقول  لَيْسَ بها شَيْءٌ لِوَارِدٍ ممَّا يُعيشُه  ويُقَال  ما فيه [ذِفَاف]ٌ  أَي ليس فيه مَا يُعيِشُ  ج  ذُفُفٌ  كَكُتُبٍ  وأّ[ذَفَّ]هُ إِذْفَافاً  وذَافَّهُ مُذافَّةً  وذِفَافاً  ذَافَّ عليه  و ذَافَّ له  كلُّ ذلك بالتَّشْدِيدِ  تَمَّمَهُ بِالسَّيْفِ  وفي التَّهْذِيبِ  أَجْهَزَ عَلَيْهِ  ومنه حديثُ ابنِ مَسْعُودٍ رَضيَ اللهُ عنه   أَنَّهُ ذَافَّ أَبَا جَهْلٍ يَوْمَ بَدْرٍ  ويُرْوَى بالدَّالِ  وقد تقدَّم  وقال رُؤْبَةُ  ذاكَ الذِي تَزْعُمُهُ -[ذِفَاف]ِي رَمَيْتَ بي رَمْيَكَ بِالحَذَّافِ كَ[ذَفَّ]فَهُ  [وذَفَّ]فَ عليه  ومنه حديثُ عليٍّ رَضِيَ اللهُ عنه  أَنَّه أَمَرَ يَوْمَ الجَمَلِ فَنُودِيَ أَنْ لا يُتْبَعَ مُدْبِرٌ  ولا يُقْتَلَ أَسِيرٌ  ولا يُ[ذَفَّ]فَ علَى جَرِيحٍ  [وذَفْذَفَ]هُ  وذَفْذَفَ عليه  إِذا أَجْهَزَ عليه  وأَسْرَعَ  قَتْلَهُ  نَقَلَهُ ابنُ دُرَيْدٍ  والاسْمُ مِن كُلِّ ذلك الذُّفَافُ  ورَوَى كُرَاعٌ في كُلِّ ذلك الدَّالَ  والذَّفُّ  الشَّاءُ  هذه عن كُرَاعٍ  و الذُّفُ  بِالضَّمِّ  الْقَلِيلُ مِن الْماءِ يُورَدُ عليه  ويُقَال  ماءٌ ذُفٌّ  أَي  قليلٌ  والجَمْعٌ ذُفُفٌ  و الذُّفَافُ  والذَّفِيفُ  كَغُرَابٍ وأَمِيرٍ  السَّرِيعُ الْخَفِيفُ مِن الرِّجَالِ  أَو الْخَفِيفُ علَى وَجْهِ الأَرْضِ  هكذا خَصَّهُ بعضُهم  ولذي في الصِّحاحِ  الذَّفِيفُ  السريعُ  مِثْلُ الذَّمِيلِ  وفي العُبَابِ  هو السَّيْرُ السَّرِيعُ  يُقَال  خُذُ مَاذَفَّ لَكَ  أَي تَهَيَّأَ وتَيَسَّرَ  عن ابنِ الأَعْرَابِيِّ  واسْتَذَفَّ أَمْرُهم  تَهَيَّأَ  لُغَةٌ في الدَّالِ  حَكَاهَا ابنُ بَرِّيّ  عن ابنِ القَطَّاعِ  ويُقَال  ذَفَّ أَمْرُهُمْ  يَذِفُّ  ذَفِيفاً  أَمْكَنَ  وتَهَيَّأَ  وذَفِّفْ جِهَازَ رَاحِلَتِكَ  أَي خَفِّفْ  نَقَلَهُ ابنُ عُبّادٍ  والزَّمَخْشَرِيُّ  وذَفْذَفَ  وفَذْفَذَ  تَبَخْتَرَ  هكذا في سائرِ النُّسَخِ  وهو غَلَطٌ  وصَوَابُه كما هو نَصُّ ابنِ الأَعْرَابِيِّ  ذَفْذَفَ  إِذا تَبْخَتَرَ  وفَذْفَذَ  علَى القَلْبِ  إِذا تَقَاصَرَ لِيَخْتِلَ وهو يَثِبُ  وقد مَرَّ ذلك في الذَّالِ  ومثلُه في العُبَابِ  فتأَمَّلْ ذلك  واسْتَذَفَّ أَمْرُنَا  تَهَيَّأَ  لُغَةٌ في اسْتَدَفَّ  وهذا قد ذُكِرَ قريباً  فهو تَكْرَارٌ والذَّفُوفُ  كَصَبُورٍ  فَرَسُ النُّعْمَانِ ابنِ الْمُنْذِرِ  نَقَلَه الصّاغَانِيُّ  يُقَال  مَا فيه [ذِفَاف]ٌ  كَكِتَابٍ  أَي ليس به مُتَعَلَّقٌ يُتَعَلَّقُ به  قاله الأَخْفَشُ  في شرح قَوْلِ أَبِي ذُؤَيْبٍ السابقِ  هكذا نَقَلَهُ عنه الصَّاغَانِيُّ  والذي نَقَلَه السُّكَّرِيُّ عنه  ما فيه ذِفافٌ  أَي ليس فيه ما يُعِيشُ  يُقَال  مَا ذاقَ ذِفَافاً  بالكَسْرِ  ويُفْتَحُ  أَي شَيْئاً قَلِيلاً  نَقَلَهُ ابنُ عَبَّادٍ  وصاحبُ اللِّسَانِ  وسَهْمٌ مُ[ذَفَّ]فٌ  كمُعَظَّمٍ  مُقزَّع  عن ابن عَبادٍ  أَي  سَرِيعٌ خَفِيفٌ  وممّا يُسْتَدْرَكُ عليه  ذَفُّ النَّعْلَيْنِ  صَوْتُهُما عند الوَطْءِ  والدّالُ لغةٌ فيها  [وذَفَّ]فَ  تَذْفِيفاً  أَسْرَعَ في السَّيْرِ  والذَّفِيفُ  والذَّفِيفُ  ذَكَرُ القَنافِذِ  ومَاءٌ ذَفَفٌ  مُحرَكَةً  أَي قليلٌ  وجَمْعُ الذُّفافِ بمَعْنَى القليلِ من الماءِ  أَذِفَّةٌ  وشَيْءٌ ذَفِيفٌ  قليلٌ  كما جاءَ في حديثِ عائشةَ رَضِيَ اللهُ عنها  والذَّفِيفُ من السُّيُوفِ  القَاطِعُ الصَّارِمُ  نَقَلَهُ السُّهَيْلِيُّ في الرَّوْضِ  وذَكَرَهُ شَيْخُنا  وذَفِيفٌ  مَوْلَى ابنِ عباسٍ  يَرْوِيْ عن سَيَّدِه رَضِيَ اللهُ عنه  وعنه حُمَيْدُ ابن قَيْسٍ  مات سنة سَبْعٍ ومَائِةٍ  نَقَلَهُ ابنُ حِبَّانَ في كَتَاب الثِّقاتِ  وذُفَافَةُ  كثُمَامَةٍ  اسْمُ رَجُلٍ  نَقلَهُ الجَوْهَرِيُّ 
ذلف,8, ذلف الذَّلَفُ الذَلَفِ ذَلِف ذُلْفٌ ذُلْفٍ ذُلْفَ الذَّلَفُ,3,no vowel, *[ذلف]*	[ذلف] الذَّلَفُ  مُحَرَّكَةً  صِغَرُ الأََنْفِ  واسْتِوَاءُ الأَرْنَبَةِ  كما في الصِّحاحِ  أَو صِغَرُهُ في دِقَّةٍ  كما قال ابنُ دُرَيْدٍ  أَو غِلَظٌ واسْتِوَاءٌ في طَرِفِهِ  كما قَالَهُ الليْثُ  وقيل  هو قِصَرُ القصَبةِ وصِغَرُ الأَرْنَبَةِ  وقيل  هو كالْخَنَسِ  وقيل  هو كالْهَامةِ فيه  لَيْسَ بِحَدٍّ غَلِيظٍ  وهو يَعْتَرِي المَلاحةَ  وقيل  هو قِصَرٌ في الأَرْنَبَةِ  واسْتِواءٌ في القَصَبَةِ مِن غَيْرِ نُتُوءٍ  والفَطسُ  لُصُوقُ القصبَةِ بالأَنْفِ مع ضِخَمِ الأَرنَبَةِ  كما تقدَّم  وأَنْفٌ أَذْلَفُ  ورَجُلٌ أَذْلَفَ  بَيِّنُ الذَلَفِ  وقد [ذَلِف]  كفَرِحَ  وهي ذلْفاءُ  قال أَبو النَّجْمِ    للشُّمِّ عِنْدِي بَهْجَةٌ ومَزِيَّةٌ  وأُحِبُّ بَعْضَ مَلاَحَةِ الذَّلْفَاءِ   ج  ذُلْفٌ  يكون جَمعَ أَذْلَفَ  وذَلْفَاءَ  وإِلى الثاني يُشِيرُ قَوْلُ الجَوْهَرِيُّ  مِن نِسْوَةٍ ذُلْفٍ  ومن الأَوَّل الحديثُ   لاَ تقُومُ السَّاعَةُ حَتَّى تُقَاتِلُوا قَوْماً صِغَارَ الأَعْيُنِ  ذُلْفَ الآنُفِ  كَأَنَّ وُجَوهَهُمُ المَجَانُّ المُطْرَقةُ   وَضَعَ جَمْعَ القِلَّةِ مَوْضِعَ جَمْعِ الكثْرَةِ  ويُرْوَى  العُيُونِ والأُنُوفِ  والذَّلْفَاءُ  مِن أَسْمَائِهِنَّ  ومنه قَوْلُ الشَّاعِرِ    إِنَّمَا الذَّلْفَاءُ يَاقوتةٌ  أُخْرِجَتْ مِنْ كِيسِ دُهْقَانِ   وممّا يُسْتَدرَكُ عليه  الذَّلَفُ  كالدَّكِّ مِن الرِّمَالِ  وهو ما سَهُلَ منه  عن أَبي حَنِيفَةَ  وممّا يُسْتَدْرَكُ عليه 
ذلغف,2, ذلغف اذْلّغَفَّ,4,no vowel, *[ذلغف]*	[ذلغف]  اذْلّغَفَّ الرَّجُلُ  إِذا جاءَ مُسْتَتِراً لِيَسْرِقَ شَيْئاً  نَقَلَهُ اللَّيْثُ  ورَوَاهُ غيرُه بالدَّالِ المُهْمَلَةِ  كما تقدَّمَ  وبالذَّالِ المُعْجَمَةِ أَصَحُّ  هكذا اَوْرَدَهُ صاحِبُ اللِّسَانِ  وأَهْمَلَهُ الصّاغَانِيُّ  والجَوْهَرِيُّ  وغيرُهُمَا 
ذوف,9, ذوف ذَافَ يَذُوفُ ذَوْفاً وذَافُوا يَذُوفونُ الذُّوفَانُ ذَافَهُ يَذُوفُه,3,vowel, *[ذوف]*	[ذوف]  ذَافَ  يَذُوفُ  ذَوْفاً  أَهْمَلَهُ الجَوْهَرِيُّ  وقال ابنُ السِّكِّيتِ  أَي مَشَى في تَقَارُبٍ وتَفَحُّجٍ  وأَنْشَدَ    رَأَيْتُ رِجَالاً حِينَ يَمْشُونَ فَحَّجُوا  [وذَافُوا] كَما كانُوا يَذُوفونُ مِنْ قَبْلُ   وقال ابنُ دُرَيْد  الذُّوفَانُ  بِالضَّمِّ  السّمُّ المُنْقَعُ  وقيل  هو القاتلُ  وممّا يُسْتَدْرَكُ عليه  [ذَافَ]هُ  [يَذُوفُ]ه  خَلَطَهُ  لُغةً في دَافَهُ  وليس بالكَثِيرِ 
ذهف,2, ذهف ذَاهِفَةٌ,3,no vowel, *[ذهف]*	[ذهف] إِبِلٌ ذَاهِفَةٌ  أَهْمَلَهُ الجَوْهَرِيُّ  وصاحِبُ اللِّسَانِ  وقال ابنُ عَبَّادٍ  مُعْيِيَةٌ مِن طُولِ السَّيْرِ  لُغَةٌ في الدَّالِ  وصَوَّبَ الصَّاغَانيُّ في التَّكْمِلَةِ أَنَّهَا بِإِهْمَالِ الدَّالِ لا غَيْرُ 
ذيف,4, ذيف الذَّيْفَانُ الذِّيفانِ ذِيفَانِ,3,vowel,*[ذيف]*	[ذيف] الذَّيْفَانُ  بالفَتْحِ  ويُكْسَرُ  كِلاهُما عن الجَوْهَرِيُّ  ويَحَرَّكُ  وهذه عن ابنِ عَبّادٍ  السّمُّ الْقَاتِلُ  نَقَلَهُ الجَوْهَرِيُّ  ولُغَاتُهَا تَقَدَّمتْ في ذَأْفَ  بالهَمْزِ  وشَاهِدُ الذِّيفانِ قَوْلُ أُمَيَّةَ بنِ أَبي عَائِذٍ الهُذَلِيِّ    فَعَمَّا قليلٍ سَقَاهَا مَعاً  بمُزْعِفِ ذِيفَانِ قِشْبٍ ثُمَالِ   2  فصل الراءِ مع الفاءِ
رأف,22, رأف رَأْفٌ رَأْفَا والرَّأْفُ ورَأْفٍ الرَّأْفُ كالرَّؤُفِ والرَّؤُوفِ رَأْف الرَّؤُفِ رَؤُوفَا الرَّأْفَةُ الرأْفَةُ رَأَفَ رَأْفَةً ورَأْفَةً وَرَأَفاً رَأْفٌ الرَّؤُوفُ وتَراءَفَ يَتَرَاءَفُون واسْتَرْأَفَهُ,3,vowel, *[رأف]*	[رأف] [رَأْف]ٌ  بِالْفَتْحِ  ع  كما في العُبَابِ  أَو رَمْلَةٌ  قال الشَاعرُ    وتَنْظُرُ من عَيْنَىْ لِيَاحٍ تَصَيَّفَتْ  مَخَارِمَ مِنْ أَجْوَازِ أَعْفَرَ أَو [[رَأْف]َا]   والرَّأْفُ أَيْضاً  الْخَمْرُ  عن ابنِ عَبَّادٍ  وأَنْشَدَ غيرهُ للقُطَامِيِّ    ورَأْفٍ سلاَفٍ شَعْشَعَ التَّجْرُ مَزْجَهَا  لنَحْميِ ومَا فِينَا عَنِ الشُّرْبِ صَادِفُ   ويُرْوَى  ورَاحٍ  وهذه الرِّوايةُ أَصَحُّ وأَكْثَرُ  قَالَهُ الصَّاغَانِيُّ  الرَّأْفُ  الرَّجُلُ الرُّحِيمُ  كالرَّؤُفِ  والرَّؤُوفِ  وهما لُغَتَانِ  وقد قُرِيءَ بِهِمَا  وشَاهِدُ الأُولَى  ما أَنْشَدَهُ ابنُ الأَنْبَارِيِّ    فَآمِنُوا بِنَبِيٍّ لاَ أَبَا لَكُمُ  ذِي خَاتَمٍ صَاغَهُ الرَّحْمنُ مَخْتُومَ     [رَأْف] رَحِيمٍ بِأَهْلِ الْبِرِّ يَرْحَمُهُمْ  مُقَرَّبٍ عِنْدَ ذِي الْكُرٍ سِيِّ مَرْحُومِ   وشاهِدُ الثَّانِيَةِ  قَوْلُ جَرِيرٍ يَمْدَحُ هِشَامَ بنَ عبدِ المَلِكِ    تَرَى لِلْمُسْلِمِينَ عَلَيْكَ حَقّاً  كَفِعْلِ الْوَالِدِ الرَّؤُفِ الرَّحِيمِ   وشَاهِدُ الثالثةِ  قَوْلُ كَعْبِ بنِ مالكٍ الأَنْصَارِيِّ    نُطِيعُ نَبِيَّنَا ونُطِيعُ رَبَّاً  هُوَ الرَّحْمنُ كَانَ بِنَا [رَؤُوفَا]   أَو الرَّأْفَةُ  أَشَدُّ الرَّحْمَةِ أَو أَرَقُّهَا كما في الصِّحاحِ  والذي في المُجْمَلِ  أَنَّهَا مُطْلَقُ الرَّحْمَةِ وأَخَصُّ  ولا تكادُ تَقَعُ في الكراهِيَةِ  والرَّحْمَةُ قد تَقَعُ في الكَراهِيَةِ لِلْمَصْلحةِ  وقال الفَخْرُ الرَّازِيُّ  الرأْفَةُ  مُبالَغَةٌ في رَحْمَةٍ مَخْصُوصَةٍ  من دَفْعِ المَكْرُوهِ  وإِزالَةِ الضُّرِّ  وإِنّما ذَكَرَ الرَّحْمَةَ بعدَها ليَكوُنَ أَعَمَّ وأَشْمَلَ  نَقلَهُ الفَنَارِيُّ في حَوَاشِي المُطَوَّلِ  قال  وهو الأَنْسَبُ لِنَظْمِ القُرْآنِ  قال شيخُنَا  وفيه رَدٌّ على النَّاصِرِ البَيْضاوِيِّ  في قَوْلِهِ  إِنَّهُ أُخِّرَ لِمُرَاعَاةِ الفَوَاصلِ  وهذا ليس مِن شَأْنِ الكلامِ البَلِيغِ  فتَأَمَّلْ  و رَأَفَ اللهُ تعالى بِكَ  مُثَلَّثَةً  نَقَلَهُ الجَوْهَرِيُّ  عن أَبي زَيْدٍ  وقال  كُلٌّ مِن كلامٍ العربِ  قال الأَزْهَرِيُّ  ومَن لَيَّنَ الهَمْزةَ قال  رَوُفَ  فجَعلَهَا وَاواً  منهم من يقول  رَافَ  يَرَافُ  رَافاً  وهو قَوْلُ أَبِي زَيد أَيضاً  يُقَال أَيضاً  رَاوَفَ اللهُ بك  [رَأْف]َةً  ورَأْفَةً  وَرَأَفاً مُحَرَّكَةً  أَي  فيهما  كما هو مُقْتَضَى سِياقِةِ  والصَّوَابُ أَنَّ الثانِي بالمَدِّ  كما هو في الصِّحاحِ  واللِّسَانِ  والعُبَابِ  وبه قَرَأَ الخَلِيلُ  وهو [رَأْف]ٌ  بِالْفَتْحِ  وكَنَدُسٍ  وكَتِفٍ  وصَبُورٍ  وصَاحِبٍ  وقد تقدَّمَ شاهدُ الأُولَى الثانِيَةِ  والرَّابِعَةِ  وممّا يستدرك عليه  الرَّؤُوفُ  مِن  الأَسْمَاءِ الحُسْنَى  هو الرَّحِيمُ لِعِبَادهِ  العَطُوفُ عليهم بأَلْطَافِهِ  وتَراءَفَ الوَالِدُ بوَلَدِهِ  ويقال  مالِبَنِى فُلانٍ لا [يَتَرَاءَفُون]  واسْتَرْأَفَهُ  اسْتَعْطَفَهُ 
