Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
عه,0,,2,no vowel, *عه*	 أهمله الخليل وحكى الخارزنجي  عَهْعَهْتُ بالضأن زَجَرْتَها وقيل هو زجر للإبل لتحتبس
هع,1, هَع,2,no vowel, *هع*	 [هَع] الرجلُ قاء
خع,1, وخَعَ,2,no vowel, *خع*	 أهمله الخليل وحكى الخارزنجي الخُعْخُعُ شجرة  وخَعَ الفَهْدُ لصوتٍ من حَلقِه إذا انْبَهَرَ في عدْوه العين والقاف
عق,35, عَق عقيقَتَه عَقيقَة وعَقيقة عَقيقة والعَقيق والعقيقان عَقيق عَقيق والعَقيقة عُق عَق وَعَق عاق والعَقة والعَق عَقة والعَق عُقوق العَقوق والعَقاق والعَقَق وعَقت عَقوق ومُعِق العَقيقةُ العَقيقةُ عِقةً العَقوق العَقوق والعَقّاقة وانعَقَّ وعَقَةُ والمَعَقًة عُقوق,2,no vowel, *عق*	 [[عَق]] الرجلُ عن المولود إذا حلق [عقيقَتَه] - وهي الشعر الذي يولَد عليه - فَذَبَحَ شاةً عنه والشاة - أيضاً - [[[عَقيق]]َة] [وعَقيقة] البرق ما يبقى من شعاعه في السحاب وبه تُشبه السيوف فَتُسمى عَقائق والعَقائق الغُدران والخَرَز والخَرَزَة [عَقيقة] [والعَقيق] موضع [والعقيقان] بَلَدان؛ أحدهما [[عَقيق]] تَمْرة والآخَر [[عَقيق]] البياض والأعِقة الأودية [والعَقيقة] الرملة  وماءٌ [عُق] مِلح مُر وأعقه الله ورجلٌ [[عَق]] مُر بئيس  وَ[[عَق]] - أيضاً - في معنى [عاق] ولا أعاقُّه أي لا أشاقه [والعَقة] البرقة المستطيلة في السماء [[والعَق]] الحَفْر طولاً والحُفرة [عَقة]  [[والعَق]] الشَقّ ومنه [[عُقوق]] الوالدين ونَوى [[[العَقوق]]] نوىً هَشّ [والعَقاق] [[والعَق]]َق الحَمْل [وعَقت] الحامل وأعًقَتْ فهي [عَقوق] [ومُعِق] نبتت العَقيقةُ على ولدها في بطنها وتُسمى العَقيقةُ عِقةً أيضاً أبو زيد [[[العَقوق]]] الحائل والحامل؛ جميعاً وَمَثَلٌ  كَلفَتني الأبْلَقَ [[[العَقوق]]] [[والعَق]]ّاقة السحابة تنشق بالبرق [[والعَق]]ْ[[عَق]] طائر أبلق وانعَقَّ الغُبار سَطَعَ وعَقَةُ قبيلة من النمِر بن قاسِط والمَ[[عَق]]ًة [[عُقوق]] الرجل مَنْ يجبُ بِرُّه
قع,4, القُعاع والقع قُعاعاً وقَعه,2,no vowel, *قع*	 [القُعاع] [والقع] ماءٌ مُر غليظ وأقعغ حفر فصادف قُعاعاً وطريقٌ قَعْقاع ومُتَقَعْقِع بعيدٌ شاق وقَرَبُ قَعْقاع حثيث والقَعْقاع طريق من اليمامة إلى الكوفة والطريق نفسه والقَعْقَعَة صوت الجلود اليابسة والبَكْرَة والقَعْقَاع والقُعْقُعانيُّ  الرجل الذي إذا مشى سُمِعَ لمفاصله تَقَعْقُع وحمار قُعْقُعاني  الذي إذا حَمَلَ على العانة صَك لَحْيَيْه ومنه وصف الحُمى بالقَعْقَاع وقُعَيْقِعان جبلٌ  وموضع والقُعْقُع طائر والقُعْقُعان  ضَرْبٌ من التمر [وقَعه] بالكلام وقَعْقَعَه اجترأ عليه وقَعْقَعْتُ رأسَ القارورة حركته وقَعْقَعْتُ القِدْح أجَلْتَه
عك,19, العُكة والعُكة والعَكة عَكيك عك عُكة والعُكة وعك وعَكَكْتُه وعَك وعَكني وعَكَكْتُه العُكة وعَكتْه عك وعَكى والعَكَوك يُعاكني والعَكوكان,2,no vowel, *[[عك]]*	 [[العُكة]] للسمن أصغر من القِرْبة [[والعُكة]] [والعَكة] شدة الحر ومنه يوم [عَكيك] وقد [[عك]] وأرضُ [عُكة] - مضافةً وغير مضافة -  حارة [[والعُكة]] رَمْلة مًحماة بالشمس [وعك] بن عَدنان - وقيل عُدْثان- قبيلة [[وعَك]َكْتُه] حَبَسْته [وعَك] هو احتبس [وعَكني] بالقول ردده عليَ [[وعَك]َكْتُه] استعدتَه الحديثَ مرتين وأعَكت العُشَراء- والاسم [[العُكة]] - تبدلتْ لوناً غير لونها [وعَكتْه] الحُمى كسرتْه وائْتَزَرَ إزْرَةَ [[عك]] وك [وعَكى] وَكى أسبلَ طرفي ازاره والمِعَك من الخيل المحوج إلى الضرب [والعَكَوك] الرجل القصير والعَكَنكع الخبيث من السعالي وهو [يُعاكني] أي يشارني [والعَكوكان] التّارُّ السمين القصير
كع,7, كَع كع وتَكَعْكَع كَعُّ والكَعْك وكَعِعْتُ وكَعَعْت,2,no vowel, *[كع]*	 رجل [كَع] ضعيف وقد [كع] وتَ[كَع]ْ[كَع] وهو [كَع]ُّ الوجه أي رقيقُه ولا يًقال بغير الوجه [والكَعْك] الخبز اليابس وكَعِعْتُ [وكَعَعْت] أي جَبُنْت 
عج,11, العج والعَجيج والتعْجيج العَجاج عَج ومِعَجْ وعَجاج والعَجَاجة عَجاجتَه وعج مَعاجيج,2,no vowel, *عج*	 [العج] [والعَجيج] رَفْع الصوت وهدير الابل [والتعْجيج] إثارة [العَجاج] والدخان ويومٌ [عَج] ومِ[عَج]ْ [وعَجاج] وعَجْ[عَج]ْتُ بالناقة عَطَفْتها [والعَجَاجة] الكثيرة من الابل ولف [عَجاجتَه] عليه أغار [وعج] الثديُ تَكعب والعَجْعاج النجيب من الخيل؛ المُسِن ورجلٌ [عَج]ْعاج صَياح وأعَجَّت الريحُ اشتد هبوبها ورياح [مَعاجيج] والعَجْ[عَج]َةُ في قضاعة جَعْل الياء - مُشددةً وغير مشددة - أخيرةً جيماً
جع,0,,2,no vowel, *جع*	 جَعْجَعْتُ الإبلَ حركتها للإناخة والنهوض والجَعْجاع محبس سوء ومعركة الأبطال والجعْجعة صوت الرحى والجَعْجاع الأرض الخشنة لا ماء فيها ولا كلأ والجَعْجَع الأرض المتطامنة  وجَعْجَعْت الجزور نحرتها وجَعجَعْتُ الثريدَ سَغْسَغْته
عش,14, العش والعَشة عَشة عَشاً وعَش عَشه وعشه عَشوش وعَشَشْت والعَشَّةُ العَشَش والعَشَاشة والعشُوشة وعَششَ,2,no vowel, *عش*	 [العش] للطير في رؤوس الشجر [والعَشة] من الشجر الدقيقة القُضبان وامرأةٌ [عَشة] دقيقة العظام وسقى سَجْلاً عَشاً أي قليلاً [وعَش] العطيةَ قللها والمَعَش المطلب وأعْشَشْتُ القوم أعجلْتَهم عن أمرهم وإذا تأذوا بك فذهبوا عنك أيضاً وأعَش الظبيَ من كناسه أزعجه وجاء بالمال من [عَشه] وبَشه أي من جَهده [وعشه] بالقضيب ضَرَبَه ضربات وبعير [عَشوش] ضعيف من الضرْب أو السيْر [وعَش]َشْت القميصَ رَقَعته والعَشَّةُ من الابل المنحنية الى القوايم؛ بينة [العَشَش] [والعَشَاشة] [والعشُوشة] وعَششَ الخبزُ تكرج وأعْشاش موضع وفسر عَزَفْتَ بإعشاش  أي بِكِبَرٍ 
