Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
أبب,5, إبانه إبان وأبَّ وأب الأب,3,vowel, اطلب الأمر في [إبانه] وخذه بربانه أي أوله وأنشد ابنُ الأعرابي قد هرمتني قبل [إبان] الهرم  وهي إذا قلت كلي قالت نعم صحيحة المعدة من كل سقم  لو أكلت فيلين لم تخش البشم [وأب]َّ للمسير إذا تهيّأ له وتجهز قال الأعشى صرمت ولم أصرمكم وكصارم  أخ قد طوى كشحاً [وأب] ليذهبا ونقول فلان راع له الحب وطاع له [الأب] أي زكا زرعه واتسع مرعاه
أبد,16, أبد الآباد وأبد الأبيد وأبد الآبدين الآباد وأبدت وتأبدت أوابد ومتأبدات الأوابد تأبد الأوابد وتأبد أوابد بأوابد وبأوابد وأوابدي أوابد بآبدة,3,vowel, لا أفعله [أبد] [[الآباد]] [[وأبد]] [الأبيد] [[وأبد]] [الآبدين] ونقول رزقك الله عمراً طويل [[الآباد]] بعيد الآماد [وأبدت] الدواب [وتأبدت] توحشت وهي [[[أوابد]]] [ومتأبدات] وفرس قيد [[الأوابد]] وهي نفر الوحوش وقد [تأبد] المنزل سكنته [[الأوابد]] [وتأبد] فلان توحش وطيور [[[أوابد]]] خلاف القواطع ومن المجاز فلان مولع [بأوابد] الكلام وهي غرائبه [وبأوابد] الشعر وهي التي لا تشاكل جودة قال الفرزدقلن تدركوا كرمي بلؤم أبيكم  [وأوابدي] بتنحل الأشعار وقال النابغة نبئت زرعة والسفاهة كاسمها  يهدي إليّ [أوابد] الأشعار وجئتنا [بآبدة] ما نعرفها
أبر,18, مأبورة الإبرة المأبورة الإبر وأبر وأبره وتأبر الإبار الأبار إبرة إبرة وإبرة وإبرة إبر أبرته بمئبرها مآبر مآبر المآبرا وأبرني المآبر,3,vowel, شاة [مأبورة] أكلت [الإبرة] في علفها وعن مالك بن دينار مثل المؤمن كمثل الشاة [المأبورة] ويقال أشد من وخز [الإبر] [وأبر] النخل [وأبره] [وتأبر] النخل قبل [الإبار] وتقول إذا رفق [الأبار] سحق الجبار ومن المجاز [[إبرة]] القرن لطرفه قال ابن الرقاع تزجي أغن كأن [إبرة] روقه  قلم أصاب من الدواة مدادها [[وإبرة]] المرفق لطرفه [[وإبرة]] العقرب والنحلة لشوكتها وتقول لا بدّ مع الرطب من سلاء النخل ومع العسل من [إبر] النحل وقد [أبرته] العقرب [بمئبرها] والجمع [[مآبر]] ومنه إنه لذو [[مآبر]]  في الناس كما قالوا دبت بينهم العقارب إذا مشت بينهم النمائم وقال النابغة وذلك من قول أتاك أقوله  ومن دس أعداء إليك [المآبرا] [وأبرني] فلان إذا اغتابك وآذاك وتقول خبئت منهم المخابر فمشت بينهم [المآبر]
أبس,1, أبسوه,3,vowel, تقول [أبسوه] وحبسوه أي قهروه
أبش,1, أباشة,3,vowel, ما عنده إلا [أباشة] وهباشة وأشابة أي أخلاط
أبض,5, الإباض أبضته مأبوض تأبض مأبضه,3,vowel, كأنه في [الإباض] من فرط الانقباض وهو حبل يشد به رسغ البعير أي عضده وقد [أبضته] فهو [مأبوض] وقد تقبض كأنما [تأبض] وهو تشنج في رجلي الفرس ونساه وهو مدح له وطعنه في [مأبضه] وهو باطن الركبة
أبط,8, إبطه وتأبط إبطه وإباطي إبطي إباطي بإبط وبإبط آباط آباط,3,vowel, رفع السوط حتى برقت [[إبطه]] [وتأبط] السيف جعله تحت [[إبطه]] والسيف عطافي [وإباطي] أي ما أجعله على عطفي وتحت [إبطي] قال المتنخل شربت بجمه وصدرت عنه وأبيض صارم ذكر [إباطي] ومن المجاز نزل [بإبط] الرمل وهو مسقطه [وبإبط] الجبل وهو سفحه وضرب [[آباط]] المفازة وتقول ضرب [آباط] الأمور ومغابنها واستشف ضمائرها وبواطنها
أبق,3, آبق أباق آبق الإباق,3,vowel, عبد [[آبق]] وعبيد [أباق] وتقول الحر إلى الخير سابق والعبد من مواطنه [[آبق]] وتقول في رقابهم الرباق ومن شأنهم [الإباق]
أبل,16, وإبل مؤبلة وتأبل إبلاً إبل أبل الإبالة والإبالة الإبل آبل تأبل أبلت الإبل وتأبلت أبيل أبل أبالة أبيل الأبيل,3,vowel, لفلان أثلة مال مؤثلة غنم مغنمة [وإبل] [مؤبلة] [وتأبل] إبلاً وتغنم غنماً اتخذها وهذه [إبل] [[أبل]] أي مهملة وفلان حسن [الإبالة] [والإبالة] أي السياسة والقيام على ماله لأن مال العرب [[الإبل]] ومنها [آبل] من حنيف الحناتم ومن المجاز [تأبل] فلان إذا ترك النكاح ولم يقرب النساء من [أبلت] [الإبل] [وتأبلت] إذا اجترأت بالرطب عن الماء ومنه قيل للراهب [[أبيل]] وقد [أبل] [أبالة] فهو [[أبيل]] كما تقول فقه فقاهة فهو فقيه وتقول فلانة لو أبصرها [الأبيل] لضاق به السبيل
أبن,6, الأبن أبن أبن تؤبن أبنه وأبنه ويؤبن,3,vowel, قضيب كثير [الأبن] وهي العقد ومن المجاز بينهم [[أبن]] أي عداوات وإحن وفي حسبه [[أبن]] أي عيوب ومنه الحديث لا [تؤبن] فيه الحرم يقال [أبنه] إذا عابه [وأبنه] مدحه وعد محاسنه وهو من باب التفزيع وقد غلب في مدح النادب تقول لم يزل يقرظ أحياكم [ويؤبن] موتاكم
أبه,5, يؤبه أبهتُ أبهة يتأبه وتأبّه,3,vowel, لا [يؤبه] له وما أبهتُ له وما عليه [أبهة] الملك أي بهجته وعظمته وفلان [يتأبه] علينا أي يتعظم [وتأبّه] عن كذا تنزه وتعظم
أبو,10, الأبوة وأبوته أبوة آباؤه وأبوت أباً وتأبوهم ليأبو الآباء وتأبيت,3,vowel, تقول البر مع [الأبوة] والعقوق مع البنوة [وأبوته] [أبوة] صدق أي [آباؤه] [وأبوت] فلاناً وأممته كنت له أباً وأماً قالتؤمهم [وتأبوهم] جميعاً  كما قد السيور من الأديم وأنه [ليأبو] يتيماً أي يغذوه ويربيه فعل [الآباء] [وتأبيت] فلاناً وتأممت فلانة كما تقول تبنيته
أبى,17, أبى وأبى وتأبى أبيُّ وآبي أبية أواب يأبين أباء يأبى والإباء والأباء أبا أبا أبا أبا أبيك أبي أبي أبو أبو أبو وأبو,3,vowel, [أبى] الله إلا أن يكون كذا [وأبى] عليَّ [وتأبى] امتنع وهو [[أبي]]ُّ الضيم [وآبي] الضيم له نفس [أبية] وفيه عبية ونوق [أواب] [يأبين] الفحل وأصابه [أباء] بالضم إذا كان [يأبى] الطعام تقول فلانٌ إن شهد الطعان فالحمية [والإباء] وإن حضر الطعام فالحمية [والأباء] ومن المجاز لا [[[[أبا]]]] لك ولا [[[[أبا]]]] لغيرك ولا [[[[أبا]]]] لشانئك يقولونه في الحث حتى أمر بعضهم لجفائه بقوله أمطر علينا الغيث لا [[[[أبا]]]] لكا ويقال لعمر [أبيك] ولعمر [[أبي]] سواك قال الكميتُ إني لعمر [أبي] سوا  ك من الصنائع والذخائر وهو [[[أبو]]] الأضياف ومن [[[أبو]]] مثواك وهو [[[أبو]]] الرؤيس [وأبو] العمامة للكبير الرأس والعمامة
أتب,4, إتب مؤتتب تأتب وتأتب,3,vowel, تزوجها وهي في [إتب] وهو ثوب يشق فتلقيه الجارية في عنقها قال الكميت وقد لقيت ظباء الإنس غادية  من كل أحور بالمكّيّ [مؤتتب] ومن المجاز هذا غلام قد [تأتب] السلاح أي لبسه [وتأتب] القوس إذا أخرج منكبيه من حمالة القوس فصارت على كتفيه
أتم,2, المأتم الأتم,3,vowel, تقول ما حضرت [المأتم] وإنما حضرت المأثم وهو جماعة النساء من [الأتم] وهو القطع والفتق كما قيل فئة وقطيع وقد غلب على جماعتهن في المصائب
أتى,24, أتى مأتي وأتيت مأتاه ومأتاته أتيتها مأتاتها وأتى وأتى واستأتت تؤتى أتيتنا استأتيناك الإتيان أتيٌّ وأتاويَّ أتيُّ وأتاوي أتى وتأتي وتأتيت وتأتيت وأتى فأتّ إتاء إتاء إتاء إتاء إتاوة الإتاوة إتاوة بالإتاوة,3,vowel, [[أتى]] إليه إحساناً إذا فعله ووعد الله [مأتي] [وأتيت] الأمر من [مأتاه] [ومأتاته] أي من وجهه قال وحاجة بت على صماتها  [أتيتها] وحدي من [مأتاتها] [[[وأتى]]] عليهم الدهر أفناهم [[[وأتى]]] امرأته [واستأتت] الناقة اغتلمت وطلبت أن [تؤتى] ويقال ما [أتيتنا] حتى [استأتيناك] إذا استبطئوه وطريق ميتاءٌ مفعالٌ من [الإتيان] كقولهم دارٌ محلال تقول الموت طريق ميتاء وهو لكل حيّ ميداء أي غابة وهو أتيٌّ فينا [وأتاوي]َّ أي غريبٌ وسيلٌ أتيُّ [وأتاوي] [أتى] من حيث لا يدرى وتقول فلان كريم المواتاة جميل المواساه وهذا أمر لا يواتيني [وتأتي] له إمره إذا تسهلت له طريقته قالتأتي له الدهر حتى انجبر [[وتأتيت]] لهذا الأمر ترفقت له وقيل تهيأت [[وتأتيت]] له بسهم حتى أصبته إذا تفصدت له [وأتى] للسيل سهل له سبيله وفتح الماء فأتّ له إلى أرضك وكثر [[[[إتاء]]]] أرضه أي ريعها ونخل ذو [[[[إتاء]]]] ولبن ذو [[[[إتاء]]]] أي ذو زبدٍ كثير قال عمرو ابن الإطنابة وبعض القول ليس له عناج  كمخض الماء ليس له [إتاء] وأدى [[إتاوة]] أرضه أي خراجها وضربت عليهم [الإتاوة] وهي الجباية قال جابر بن حنيّ التغلبي وفي كل أسواق العراق [إتاوة]  وفي كل ما باع امرؤ مكس درهم وشكم فاه [بالإتاوة] أي بالرشوة
