Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
ثلخ,8, ثَلَخَ يَثْلَخُ ثَلْخاً يَثْلَخُ ثَلَّخْتُه تَثْلِيخاً فَثَلَخَ ثَلْخاً,3,no vowel, *ثلخ*	 ثَلَخَ البقرُ يَثْلَخُ ثَلْخاً  خَثَى وهو خُرْو ه أَيام الربيع ؛ إِنما يَثْلَخُ إِذا كان الربيعُ وخالطه الرُّطْبُ  [ثَلَّخْتُه] تَثْلِيخاً إِذا لَطَّخْته بقذر فَثَلَخَ ثَلْخاً 
ثوخ,7, ثاخَ ثَوْخاً وثاخَت تَثُوخُ وثاخَ وثاختِ تَثُوخُ,3,vowel, *ثوخ*	 ثاخَ الشيءُ ثَوْخاً  ساخ  [[وثاخَ]ت] قَدَمُه في الوَحَلِ تَثُوخُ خاضت وغابت فيه ؛ قال المتنخل الهذلي يصف سيفاً  رَسُوبٌ  إِذا في مُحْتَفَلٍ يَخْتَلي السيف  والرَّجْع  الغَدير  شبه السيف به في بياضه  الذي يَرْسُب في اللحم  والمُحْتَفَل  أَعظم موضع في الجسد  يَقْطَعُ  وثاخَ وساخَ  ذهب في الأَرض سُفْلاً  وثاختِ الإِصْبَعُ الوارم  ساخت ؛ قال أَبو ذؤيب  لها  فَشُرِّجَ لَحْمُها فهي تَثُوخُ فيها الإِصْبَعُ البيت بالتاء وقد تقدم  وهذه الكلمة يائية وواوية 
ثيخ,3, ثاخَتْ تَثِيخ ثاخت,3,vowel, *ثيخ*	 ثاخَتْ رجلُه [تَثِيخ] مثل ساخت  والواو فيه لغة  وقد تقدم ؛ وزعم ثاء [ثاخت] بدل من سين ساخت  والله أَعلم 
ثأد,13, الثَّأَدُ والثَّأَدُ والثَّئِيد وثَئِدَ ثَأَداً ثَئِدٌ الثَّأْدُ الثأْدُ ثَأْدٌ ثَئِدٌ لَثَأْدَةُ ثَئِدَةٌ ثَئِدَت,3,vowel, *ثأد*	 الثَّأَدُ  الثرى  والثَّأَدُ  النَّدَى نفسُه  [والثَّئِيد]  المكان وثَئِدَ النبتُ ثَأَداً  فهو ثَئِدٌ  نَدِيَ ؛ قال الأَصمعي  العرب  أَصِبْ لنا موضعاً أَي اطْلُبْ  فقال رائدهم  وجدتُ مَئِداً  وقال زيد بن كُثْوَةَ  بعثوا رائداً فجاء وقال  مَأْدٌ كأَنه أَسْوُقُ نساء بني سَعد ؛ وقال رائد آخر  سَيْلٌ  فوجدوا الأَخير أَعقلهما  ابن الأَعرابي  الثَّأْدُ والأَمر القبيح ؛ الصحاح  الثأْدُ النَّدَى والقُرُّ ؛ قال  ثَأْدٌ  ويُسْهِرُهُ  والوَسْواسُ والهَضَبُ وقد يحرّك  أَي ندٍ  ورجل ثَئِدٌ أَي مَقْرورٌ ؛ وقيل  الأَثْآدُ وأَصله البَلَلُ   يقال للمرأَة إِنها لَثَأْدَةُ الخَلْق أَي كثيرة اللحم  مثل سعادة  وفخذٌ ثَئِدَةٌ  رَيَّاء ممتلئة  بابن ثَأْداءَ ولا ثَأَداء أَي لستُ بعاجز ؛ وقيل  أَي لم أَكن  وهذا المعنى أَراد الذي قال لعمر بن الخطاب  رضي الله  عامَ الرَّمادَة  لقد انكشفتْ وما كنتَ فيها ابنَ ثَأْداءَ أَي فيها كابن الأَمة لئيماً  فقال  ذلك لو كنتُ أُنفق عليهم من مال وقيل في الثأْداء ما قيل في الدَّأْثاءِ من أَنها الأَمة والحمقاء وما لَهُ [ثَئِدَت] أُمُّه كما يقال حَمَِقَتْ  الفراء  الأَمة  على القلب ؛ قال أَبو عبيد  ولم أَسمع أَحداً يقول غيرَ الفراء  والمعروف ثَأْداءُ ودَأْثاءُ ؛ قال الكميت  بني ثَأْدَاءَ  لَمَّا كلَّ وَتْرِ  حتى شفينا  وفي حديث عمر  رضي الله عنه  قال في عام لقد هممتُ أَن أَجعل مع كل أَهل بيت من المسلمين مثلَهُم فإِن يَهْلِكُ على نصف شِبَعِه  فقيل له  لو فعلتَ ذلك ما كنتَ فيها بابن يعني بابن أَمة أَي ما كنت لئيماً ؛ وقيل  ضعيفاً عاجزاً  يقول  دَأَثاءَ وسَحَناء لمكان حروف الحلق ؛ قال ابن السكيت  الكلام فَعَلاءُ  بالتحريك  إِلاَّ حرف واحد وهو الثَّأَدَاءُ  وقد في الصفات ؛ قال  وأَما الأَسماء فقد جاءَ فيه حرفان قَرَماءُ وهما موضعان ؛ قال الشيخ أَبو محمد بن بري  قد جاء على أَمثلة وهي ثَأَداءُ وسَحَناءُ ونَفَساءُ لغة في نُفَساء  وحَسَداءُ  هذه الثلاثة أَسماء مواضعَ ؛ قال الشاعر في من جَنَفاءَ  حتى بَيْتِك بالمَطَالي بنُ السُّلَكَةِ في قَرَماءَ  عالِيَة شواه  غُرَّته خِمارُ في حَسَداءَ  أَمْسَيْنا ثلاثاً  تَنْبَحُنا الكِلابُ
ثرد,40, الثَّرِيدُ والثَّرْدُ ثَريدة ثَرَدَهُ يَثْرُدُهُ ثَرْداً ثريد وثَرَدْتُ ثَريدٌ ومَثْرُود الثُّردة ثُرِدَ اثَّرَدْتُ اثْتَرَدْتُ اثَّرَدْتُ يَثْرُدانٍ يَثْرُدانٍ يثردان المثرود الثريد الثريد والثَّريِد الثريد ثَرَّدَه المُثَرِّدُ المُثَرِّدِ المُثَرِّدُ ثَرَّدْتَ التَّثْريدُ مُثَرِّدٍ مُثَرَّدٍ ثَرَدَ المُثَرِّدُ والمِثْرادُ بالمِثْرادِ ثَرِدَ ثرَدَتْه مَثْرُود وثَرْدٌ والثَّرِيدُ,3,no vowel, *ثرد*	 الثَّرِيدُ معروف  والثَّرْدُ  الهَشْمُ ؛ ومنه قيل لما يُهشم من بماء القِدْرِ وغيره  [ثَريدة]  الفَتُّ  [ثَرَدَ]هُ يَثْرُدُهُ ثَرْداً  فهو [ثريد]  وثَرَدْتُ  كسرته  فهو ثَريدٌ [ومَثْرُود]  والاسم [الثُّردة]  بالضم   ما ثُرِدَ من الخبز  واتَّرَدَه  اتخذه  وهو مُتَّرِد  قلبت الثاء تاء لأَن التاء في الهمس  فلما تجاورتا في المخرج أَرادوا أَن يكون وجه فقلبوها تاء وأَدغموها في التاء بعدها  ليكون الصوت نوعاً كأَنهم لما أَسكنوا تاء وَتِدٍ تخفيفاً أَبدلوها إِلى لفظ الدال وَدٌّ  غيره  اثَّرَدْتُ الخبز أَصله اثْتَرَدْتُ على افتعلت  حرفان مخرجاهما متقاربان في كلمة واحدة وجب الإِدغام  إِلاَّ لما كانت مهموسة والتاء مجهورة « التاء مجهورة » المشهور مهموسة  لم يصح ذلك  فأَبدلوا من الأَول تاء فأَدغموه في وناس من العرب يبدلون من التاء ثاء فيقولون  اثَّرَدْتُ  فيكون الحرف الظاهر ؛ وقوله أَنشده ابن الأَعرابي  خُبْزَ يا ابْنَةَ يَثْرُدانٍ  بَعْدَكِ لا يَنامُ لاحَ وَهْناً  في القِدْرِ السَّناما هذا البيت إقواء  يَثْرُدانٍ غلامان كانا [يثردان] فَنَسَب الخُبزة إِليهما ولكنه نوّن  والوجه في مثل هذا أَن يحكى  ورواه الفراء أُثْرُدانٍ ليس بفعل سمي به إِنما هو اسم كأُسْحُلان وأُلْعُبانٍ ؛ فحكمه أَن النكرة ولا ينصرف في المعرفة ؛ قال ابن سيده  وأَظن أُثْرُدانَ أَو [المثرود] معرفةً  فإِذا كان كذلك فحكمه أَن لا ينصرف لكن  وأَراد أَبى صاحب الحلقوم بعدك لا ينام لأَن الحلقوم ليس هو  وقد يجوز أَن يكون خص الحلقوم ههنا لأَن ممرّ الطعام إِنما  فكأَنه لما فقده حنَّ إِليه فلا يكون فيه على هذا القول حذف  وبرقٍ للعصيدة لاح وهناً  إِنما عنى بذلك شدّة ابيضاض العصيدة برق  وإِن شئت قلت إِنه كان جَوْعانَ متطلعاً إِلى العصيدة كتطلع البرق أَو كتطلع العاشق إِليه إِذا أَتاه من ناحية محبوبه  كما شققت في القِدر السناما  يريد أَن تلك العصيدة بيضاء تلوح كما إِذا شقق  يعني بالسنام الشحم إِذ هو كله شحم  ويقال  أَكلنا  بالهاء  على معنى الاسم أَو القطعة من [[[الثريد]]]  وفي فضل عائشة على النساء كفضل [[[الثريد]]] على سائر الطعام ؛ قيل  لم يرد عين أَراد الطعام المتخذ من اللحم [والثَّريِد] معاً لأَن لا يكون إِلاَّ من لحم  والعرب قلما تتخذ طبيخاً ولا سيما بلحم  [[[الثريد]]] أَحد اللحمين بل اللذة والقوَّة إِذا كان اللحم نضيجاً في ما يكون في نفس اللحم  الذبح  هو الكسر قبل أَن يَبْرُدَ  وهو منهيٌّ عنه   قَتَلها من غير أَن يَفْرِيَ أَوْداجَها ؛ قال ابن وأُرى [ثَرَّدَه] لغة  وقال ابن الأَعرابي  المُثَرِّدُ الذي لا تكون فهو يفسخ اللحم ؛ وفي الحديث ؛ سئل ابن عباس عن الذبيحة  ما أَفْرَى الأَوْداجَ غيرُ المُثَرِّدِ  فكُلْ  المُثَرِّدُ  بغير ذكاة  يقال  ثَرَّدْتَ ذَبيحَتَك  وقيل  التَّثْريدُ أَن بشيء لا يُنْهِرُ الدَّمَ ولا يُسيلُهُ فهذا وما أَفْرَى الأَوداجَ من حديد أَو لِيطَةٍ أَو طَرِيرٍ أَو عود له فهو ذكيٌّ غيرُ مُثَرِّدٍ  ويروى غيرُ مُثَرَّدٍ  بفتح الراء  على والرواية كُلْ  أَمْرٌ بالأَكلِ  وقد ردَّها أَبو عبيد وغيره  إِنما هي كلُّ ما أَفْرَى الأَوْداجَ أَي كلُّ شيءٍ أَفْرَى   وفي حديث سعيد وسئل عن بعير نحروه بعود فقال  إِن كانَ مارَ  وإِن ثَرَدَ فلا  وقيل  المُثَرِّدُ الذي يذبح ذبيحته بحجر أَو ما أَشبه ذلك  وقد نُهِيَ عنه  والمِثْرادُ  اسم ذلك الحجر ؛ الكَلْبَ بالمِثْرادِ  ثَرِدَ الرجلُ إِذا حُمِلَ من المعركة مُرْتَثّاً  أَي مغموس في الصِّبْغ ؛ وفي حديث عائشة  رضي الله عنها  لها قد [ثرَدَتْه] بزعفران أَي صبغته ؛ وثوب [مَثْرُود]  بالتحريك  تشقق في الشفتين  المطر الضعيف ؛ عن ابن الأَعرابي ؛ قال  وقيل لأَعرابي ما  قال  مُرَكَّكَةٌ فيها ضُروس  وثَرْدٌ يَذُرُّ بقلُه ولا ؛ الضروس  سحائب متفرقة وغيوث يفرق بينها رَكاكٌ  وقال مرة   ويَذُرُّ  يطلعُ ويظهر  وذلك أَنه يَذُرُّ من أَدنى مطر  من مطر قدر وضَحِ الكف  ولا يُقَرِّحُ البَقْلُ إِلاَّ الذراع من المطر فما زاد  وتقريحه نبات أَصله  وهو ظهور والثَّرِيدُ القُمُّحانُ ؛ عن أَبي حنيفة  يعني الذي يعلو الخمر كأَنه  كثر لحم صدره 
ثرمد,5, ثَرْمَدَ ثَرْمده الثَّرْمَدُ الثَّرْمَدَةُ فَثَرْمَدٍ,4,no vowel, *ثرمد*	 ثَرْمَدَ اللحمَ  أَساء عمله ؛ وقيل  لم يُنْضِجْه  وأَتانا [ثَرْمده] بالرَّماد ؛ ابن دريد  الثَّرْمَدُ من الحَمْض وكذلك  وقال أَبو حنيفة  الثَّرْمَدَةُ من الحَمْضِ تسمو دون قال  وهي أَغلظ من القُلاَّمِ أَغصانٌ بلا ورق  خضراءُ شديدةُ وإِذا تقادمت سنتين غَلُظَ ساقُها فاتُّخِذَت أَمشاطاً  تصْلُب حتى تكاد تُعْجِز الحديد  ويكونُ طول ساقها إِذا  « وثرمداء » في القاموس وشرحه بالفتح موضع خصيب يضرب به المثل في خصبه وكثرة عشبه  فيقال  نعم مأوى المعزى كذا في مجمع الأمثال  وفي معجم البكري هو موضع في ديار بني نمير ظالم من الوشم بناحية اليمامة  وقال علقمة  وما أنت إلخ أو ماء في سعد وثمرد كجعفر شعب بأجأ أحد جبلي طيء لبني ثعلبة  موضعان ؛ طيء  من أَعلى مَشارٍ فَثَرْمَدٍ  سِنْبِسٍ لابنَة الغَمْرِ  أَمَّا ذِكْرُها رَبَعِيَّةٌ  من ثَرْمَداءَ قَلِيبُ منصور  ورأَيت ماء في ديار بني سعد يقال له ثَرْمَداءُ  ورأَيت وهو من الحمْضِ معروف ؛ وقد ذكره العجاج في شعره  وَحاهُ الواحِي  الفِصاحِ  وحاه  قضاه وكتبه  قال أَبو منصور  ثَرْمَداءُ ماء لبني سعد السِّتاريْن قد وردتُه  يُسْتَقَى منه بالعقال لقرب قعره   أَن النبي  صلى الله عليه وسلم  كتب لحُصَين بن نَضلة إِن له تَرْمُدَ وكَشْفَةَ ؛ هو بفتح التاء المثناة وضم الميم  موضع بني أَسد  وبعضهم يقوله بفتح الثاء المثلثة والميم وبعد الدال  وأَما تِرمِذ  بكسر التاء والميم  فالبلد المعروف
ثرند,1, اثْرَنْدَى,4,no vowel, *ثرند*	 اللحياني  [اثْرَنْدَى] الرجلُ إِذا كثر لحم صدره  وابْلَنْدَى إِذا جنبيه وعظما  وادْلَنْظَى إِذا سمن وغَلُظَ  ومُثْرَنْتٍ  مُخْصِبٌ 
ثعد,12, الثَّعْدُ الثَّعْدِ ثَعْدَةٌ ثَعْدَةٌ ثُعْدٌ الثَّعْد الثَّعد الثَّعْدُ كالثَّعْدِ ثَعْدٌ ثعد ثَعْدٌ,3,no vowel, *[ثعد]*	 [الثَّعْد]ُ  الرُّطَبُ  وقيل  البُسْرُ الذي غلبه الإِرطاب ؛ قال  بيني وبين رُعاتِها  العصفورُ في الرُّطَبِ [الثَّعْد]ِ  ورطبة ثَعْدَةٌ مَعْدَةٌ  طرية ؛ عن ابن الأَعرابي   إِذا دخل البسرةَ الإِرْطابُ وهي صُلبة لم تنهضم بعدُ فهي فإِذا لانت فهي ثَعْدَةٌ  وجمعها ثُعْدٌ  وفي حديث بَكَّار بن داود مر رسول الله  صلى الله عليه وسلم  بقوم ينالون من [الثَّعْد] من لحم وينالون من أَسقية لهم قد علاها الطُّحْلُبُ  فقال  أَلهذا خلقتم أَو بهذا أُمرتم  ثم جاز عنهم فنزل الروح  يا محمد  ربك يقرئك السلام ويقول  إِنما بعثتك مؤلفاً أَبعثك منفراً  ارجع إِلى عبادي فقل لهم  فليعملوا وليسددوا [الثَّعد]  الزُّبْدُ  والحُلْقان  البسرُ الذي قد أَرْطَبَ بعضه  من لحم الخروف المشوي ؛ قال ابن الأَثير  كذا فسره إِسحق ابن إِبراهيم رواته  فأَما [الثَّعْد]ُ في اللغة فهو ما لان من البُسر  مَعْدٌ  غَضٌّ رَطْبٌ رَخْصٌ  والمعد إِتباع لا يفرد وبعضهم وقيل  هو كالثَّعْدِ من غير إِتباع  وحكى بعضهم  اثْمَعَدَّ الشيءُ  فإِما أَن يكون من باب قُمارِص فيكون هذا بابه ؛ قال ابن ولا ينبغي أَن يُهجم على هذا من غير سماع  وإِما أَن تكون الميم أَصلية الرباعي  وما لَهُ ثَعْدٌ ولا مَعْدٌ « وما له [ثعد] ولا » كذا أورده صاحب القاموس بالعين المهملة  قال الشارح وهو تصحيف باعجام الغين فيهما  أَي قليل ولا كثير  وثَرىً ثَعْدٌ كان ليناً 
ثفد,7, الثَّفافِيدُ ثَفَّدَ فَثافِيدُ المَثافِدُ مُثْفَدٌ مِثْفاداً مثافيد,3,no vowel, *ثفد*	 ابن الأَعرابي  الثَّفافِيدُ سحائبُ بيضٌ بعضها فوق بعض  بطائن كل شيء من الثياب وغيرها  وقد ثَفَّدَ درعه بالحديد أَي قال أَبو العباس وغيره  تقول فَثافِيدُ  غيره  المَثافِدُ من الثياب ؛ وقيل  هي أَشياء خفية توضع تحت الشيء ؛ أَنشد يُضِيُّ شَماريخَ قَدْ بُطِّنَتْ  ورَيْطاً سِخانَا هنا بطائن سحاب أَبيض تحت الأَعلى  واحدها مُثْفَدٌ فقط ؛ قال  ولم نسمع مِثْفاداً فأَمَّا [مثافيد]  بالياء  فشاذ 
ثكد,4, ثُكُدٌ ثكد وثكد ثُكُدُ,3,no vowel, *[ثكد]*	 ثُكُدٌ « [ثكد] » في القاموس وشرحه بفتح فسكون ويروى بضم ماء لبني تميم  ونص التكملة لبني نمير  [وثكد]  بضمتين  ماء آخر بين  قال الأخطل إلخ  اسم ماء ؛ قال الأَخطل  أَمْواهَ العِدادِ  وقدْ  وأَدْنَى دارِها ثُكُدُ
ثمد,25, الثَّمْدُ والثَّمَدُ ثَمِدَةٌ والثِّمادُ كالثَّمَدِ ثَمَدٍ الثِّمادُ الثِّمادُ الثَّمْدُ الثِّمادُ اثْتَمَدْتُ ثَمَداً ثَمَداً واثَّمَدَ الثَّمَدَ الثَّمَدُ ثِماد وثَمَدَهُ يَثْمِدُه ثَمْداً واثَّمَدَهُ مَثْمود وثمودُ ثمود ثموداً,3,no vowel, *ثمد*	 الثَّمْدُ والثَّمَدُ  الماء القليل الذي لا مادّ له  وقيل  هو في الجَلَد  وقيل  هو الذي يظهر في الشتاء ويذهب في الصيف  وفي الخطباء  ومادَّةٌ من صحة التَّصَوُّرِ ثَمِدَةٌ بَكِئَةٌ   والثِّمادُ  كالثَّمَدِ ؛ وفي حديث طَهْفَة  وافْجُرْ لهم وهو بالتحريك  الماء القليل أَي افْجُرْهُ لهم حتى يصير كثيراً ؛  حتى نزل بأَقصى الحديبية على ثَمَدٍ ؛ وقيل  الثِّمادُ فيها الماءُ القليل ؛ ولذلك قال أَبو عبيد  سُجِرَتِ الثِّمادُ من المطر  غير أَنه لم يفسرها  قال أَبو مالك  الثَّمْدُ أَن موضع يلزم ماء السماءِ يجعَلُه صَنَعاً  وهو المكان يجتمع فيه وله مسايل من الماءِ  ويحفِرَ في نواحيه ركايا فيملؤُها » كذا في نسخة المؤلف بالرفع والأحسن النصب  من ذلك الماءِ  فيشرب الظاهر حتى يجف إِذا أَصابه بَوارِحُ القَيظ وتبقى تلك الثِّمادُ ؛ وأَنشد  إِنِّني وطِلابَ سَلْمَى الظَّنُونا الذي لا يوثق بمائه   اثْتَمَدْتُ ثَمَداً أَي اتخذت ثَمَداً  واثَّمَدَ ورد الثَّمَدَ ؛ ابن الأَعرابي  الثَّمَدُ قَلْتٌ يجتمع فيه ماءُ به الناس شهرين من الصيف  فإِذا دخل أَول القيظ انقطع فهو وجمعه [ثِماد]  وثَمَدَهُ [يَثْمِدُه] ثَمْداً [واثَّمَدَ]هُ نَبَثَ عنه التراب ليخرج  وماءٌ [مَثْمود]  كثر عليه الناس حتى فني أَقلَّه   أُلِحَّ عليه في السؤَال فأَعطى حتى نَفِدَ ما عنده   نَزَفْنَ ماءه من كثرة الجماع ولم يبق في صلبه والإِثْمِدُ  حجر يتخذ منه الكحْل  وقيل  ضرب من الكحل  وقيل  هو نفس وقيل شبيه به ؛ عن السيرافي ؛ قال أَبو عمرو  يقال للرجل يَسْهَرُ أَو عاملاً فلانٌ يجعل الليل إِثْمِداً أَي يسهر فجعل سواد كالإِثمد لأَنه يسير الليل كله في طلب المعالي ؛ وأَنشد أَبو يَجْعَلُ الليلَ إِثْمِداً  مُشْرِقاً غيرَ واجِمِ البَهْمِ حينَ قَرِمَ أَي أَكل   موضعٌ  قبيلة من العرب الأُول  يصرف ولا يصرف ؛ ويقال  إِنهم من بقية قوم صالح  على نبينا وعليه الصلاة والسلام  بعثه الله إِليهم وهو  واختلف القراءُ في إِعرابه في كتاب الله عز وجل  فمنهم من صرفه لم يصرفه  فمن صرفه ذهب به إِلى الحيّ لأَنه اسم عربي مذكر سمي ومن لم يصرفه ذهب به إِلى القبيلة  وهي مؤنثة  ابن سيده  وثمودُ قال سيبويه  يكون اسماً للقبيلة والحي وكونه لهما سواء  قال وفي  وآتينا [ثمود] الناقة مبصرة ؛ وفيه  أَلا إِن ثموداً كفروا
