Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
قزن,0,,3,no vowel, *قزن*	 ابن الأَعرابي  يقال أَقْزَنَ زيدٌ ساقَ غلامِه إِذا كسرها 
قسن,3, قَسَنٌ والقِسْيَنُّ القِسْيَنّ,3,no vowel, *قسن*	 قَسَنٌ  إِتباعٌ لحَسَن بَسَن  والقِسْيَنُّ  الشَّيْخ القديم  ؛ وأَنشد  البازِلِ القِسْيَنّ منها فعلاً على مثل افْعَالَّ همزوا فقالوا  اقْسَأَنَّ   وقد اقْسأَنَّ  وقيل  المُقْسَئِنّ الذي قد انتهى في سنه  فليس كِبَرٍ ولا قوّةُ شَباب  وقيل  هو الذي في آخر شبابه وأَوّل وقد اقْسَأَنَّ اقْسِئناناً  كَبِرَ وعَسِيَ ؛ وقوله  الخُوصِ  تَعَوَّذْ منِّي  لَدْناً لَيِّناً  فإِنِّي من أَشْمَطَ مُقْسَئِنِّ سيده  يكون على أَحد الوجهين الآخَرَين  واقْسَأَنَّ الشيءُ  وفيه قُسَأْنِينة  والقُسَأْنينة من اقْسَأَنَّ العودُ وغيره واشتدّ وعَسِيَ  ابن الأَعرابي  أَقْسَنَ الرجلُ إِذا صَلُبت يَدُه والسَّقْي  واقْسأَنَّ الليلُ  اشتدّ ظلامه ؛ وأَنشد  يَقْظَانَ واقْسَأَنَّتِ  هذه الهمزة اجتلبت لئلا يجتمع ساكنان  وكان في الأَصل 
قسطن,3, القُسْطانِيَّة القُسْطانة قَسْطان,4,no vowel, *قسطن*	 الليث  [القُسْطانِيَّة] نُدْأَةُ قَوْسِ قُزَحَ أَي عَوَجُه أي عوجه » كذا في الأصل ونسخة من التهذيب  والذي في القاموس وغيره  إن قوس قزح  وأَنشد  الدَّجْنِ مُلْبِد  القُسْطالة قوس قُزَحَ  وهي [القُسْطانة]  أَبو عمرو  الغُبار ؛ وأَنشد  غُبارٍ ذي وهَجْ  جعل أَبو عمرو [قَسْطان] وكسطان بفتح القاف فَعْلاناً لا ولم يُجِزْ قَسْطالاً ولا كَسْطالاً لأَنه ليس في كلام العرب غير المضاعف غير حرف واحد جاء نادراً  وهو قولهم  ناقة بها هكذا قال الفراء 
قسطبن,1, قُسْطَبِينَته,5,no vowel, *قسطبن*	 التهذيب في الخماسي  [قُسْطَبِينَته] وقُسْطَبِيلته يعني الكَمَرة  
قطن,100, القُطُون قَطَنَ يَقْطُنُ قُطُوناً قاطنٌ والقَطِينُ القُطَّان القَطِينُ قُطُنٌ والقَطِينُ قُطَّانُها والقَطِينُ قاطن كالقُطَّان قَطين القاطِنِ قَواطِنُ القاطِناتِ القُطَّنِ والقَطِينُ والقَطِينُ والقَطِينُ والقَطِينُ والقَطِينُ والقاطِنُ والقَطِين القُطَّان قَطِينُ القَطِينُ قَطِنَ قَطِنُ وقَطَنَ يَقْطُنُ قَطَنَ قاطن قاطِنٍ وقَطَنُ القَطَنه والقَطَن القَطَنُ والقَطِينة قَطِينَا والقَطِنَة القَطِنة القَِطِْنة والقَطَنْ قَطِنٌ قطِنة والقُطْنُ والقُطُنُ والقُطُنُّ وقُطُنَّة والقطن قُطْنٌ وقُطُنٌ القُطْنُنِّ القُطُنِّ القُطْنُ القُطْن والمَقْطَنة وقَطَّنَ تَقْطيناً قَطُونا قَطُونا والقِطانُ قُطُنٌ القَطْنُ قَطْني قَطْني قَطْنَ وقَطْنَ القِطْنِيَّة والقِطْنيَّة قُطْنيَّة القُِطْنيَّة القَطانِيُّ القُطْنِيَّة القِطْنِيَّةُ قُِطْنيَّة القِطنيَّة القَطاني القَيْطون قَيْطونِ وقَطَنُ وقَطَنٌ وقُطَانُ وقطان قطان ويَقْطِينُ واليَقْطِينة اليَقطين يَقْطِيناً يَقْطينٌ يَقْطينٌ يَقْطِينٌ قُطْنةَ قُطْنةَ قُطْناً قُطْنة قُطْنَتِه,3,no vowel, *قطن*	 [القُطُون]  الإِقامة  قَطَنَ بالمكان يَقْطُنُ قُطُوناً  أَقام به فهو [[قاطن]]ٌ ؛ وقال العجاج  البلدِ المُحَرَّمِ غير الرُّيَّمِ  من وُرْقِ الحَمِي المقيمون  [والقَطِين]ُ  جماعة [[القُطَّان]]  اسم للجمع  وكذلك وقيل  القَطِينُ الساكن في الدار  والجمع قُطُنٌ ؛ عن كراع  المقيمون في الموضع لا يكادون يَبْرَحُونه  [والقَطِين]ُ  الدار  ومُجاوِرُو مكة [قُطَّانُها]  وفي حديث الإِفاضة  نحن أَي سُكَّانُ حَرَمه  [والقَطِين]ُ  جمع [[قاطن]] [كالقُطَّان]  وفي محذوف تقديره  نحن [قَطين] بيت الله وحَرَمِه  قال  وقد يجيء القاطِنِ للمبالغة ؛ ومنه حديث زيد بن حارثة  البيت عند المَشاعِر يقال لها  قَواطِنُ مكة ؛ قال رؤبة  القاطِناتِ القُطَّنِ كالخَليط لفظ الواحد والجمع فيه سواء  [والقَطِين]ُ  تبَّاع  [والقَطِين]ُ  أَهل الدار  [والقَطِين]ُ  الخَدَمُ ؛ وفي التهذيب  الحَشَمُ الأَحْرَارُ  [والقَطِين]ُ  [والقَطِين]ُ  الإِماءُ  والقاطِنُ  المقيم بالمكان  [والقَطِين]  تُبَّعُ وخَدَمُه  وجمعها [[القُطَّان]]  قال ابن دريد  قَطِينُ وخَدَمه  قال  وإِذا قال الشاعر خَفّ القَطِينُ فهم القوم المقيمون  سلمان أَنه قال  كنت رجلاً من المجوس فاجتهدت حتى كنتُ قَطِنَ يوقدها ؛ قال شمر  قَطِنُ النار خازِنُها وخادِمُها ويجوز أَنه عليها  رواه بكسر الطاء  وقَطَنَ يَقْطُنُ إِذا خَدَم  قال  أَراد أَنه كان لازماً لها لا يفارقها من قَطَنَ في المكان  قال  ويروى بفتح الطاء  جمع [[قاطن]] كخَدَم وخادِمٍ  قال  ويجوز بمعنى قاطِنٍ كفَرَطٍ وفارطٍ  وقَطَنُ الطائر  زِمِكَّاه وأَصلُ وفي الحديث أَن آمنة لما حملت بالنبي  صلى الله عليه وسلم  قالت  ما [القَطَنه] والثُّنَّةِ ولكني كنتُ أَجِدُه في كبدي ؛ أَسفل الظهر  والثُّنَّة  أَسفل البطن  [والقَطَن]  بالتحريك  ما بين عَجْبِ الذَّنَبِ ؛ قال ابن بري  ومنه قوله  أَقْطانِ البَهازِير ما عَرُضَ من الثَّبَجهِ  وقال الليث  القَطَنُ الموضع الثَّبَج والعَجُز  [والقَطِينة] سَكَنُ الدار  ويقال  جاء القومُ قال زهير  الحاجاتِ  حول بُيوتِهم   حتى إِذا أَنبتَ البَقْلُ  عَمِّي في دِمَشْقَ خَلِيفَةً  ساقَكُمُ إِليَّ [قَطِينَا]  مثْلُِ المَعِدَةِ والمِعْدَة  مِثل الرُّمَّانة كرش البعير  وهي ذاتُ الأَطبْاق  والعامة تسميها الرُّمَّانة  فيها أَجود  التهذيب  [والقَطِنَة] هي ذات الأَطبْاق التي تكون  وهي الفَحِثُ أَيضاً ؛ الحَرَّاني عن ابن السكيت  هي [القَطِنة] مع الكرش  وهي ذات الأَطباق  وهي النَّقِمْة « وهي » هذه العبارة كالتي قبلها نظم عبارة التهذيب بالحرف واتى بهذه في الوزن فقط لا في المعنى كما هو ظاهر أي أن هذه سمع فيها فسكون أو بفتح فكسر  والمَعْدة والكَلِْمة والسَِّفِْلة يختضب بها ؛ قال أَبو العباس  هي [القَِطِْنة] وهي الرُّمانة في ؛ وفي حديث سطيح  عارِي الجَآجي [والقَطَن]ْ الصواب قَطِنٌ  بكسر الطاء  جمع [قطِنة] وهي ما بين الفخذين  اللحمة بين الوركين  والقُطْنُ والقُطُنُ والقُطُنُّ  معروف  واحدته [وقُطُنَّة]  وقد يضعف في الشعر « وقد يضعف في قارب إلخ » هكذا نظم عبارة التهذيب بحذف الجملة المعترضة بينهما من الصحاح ووسطها في كلام التهذيب فصار غير منسجم  ولو قال مثل عسر وعسر [والقطن] إلخ وقد يضعف في الشعر قال قارب إلخ مع الاختصار  وكثيراً ما يقع له ذلك فيظن ان في الكلام كذلك  قال  يقال قُطْنٌ وقُطُنٌ مثل عُسْر وعُسُر ؛ قال قارب بن  ويقال دَهلب بن قُرَيع  دَمْعِها المُسْتَنِّ أَجْوَد [[القُطْن]ُ]نِّ  من أَجود القُطُنِّ ؛ قال  شدِّد للضرورة ولا يجوز مثله في وقال أَبو حنيفة  [القُطْن]ُ يَعْظُم عندهم شجرة حتى يكون مثل شجر ويبقى عشرين سنة  وأَجودُه الحديثُ ؛ وقول لبيد  الحيِّ  يوم تحَمَّلوا  تَصِرُّ خِيامُها ثياب [القُطْن]  [والمَقْطَنة]  التي تزرع فيها الأَ[قطان]  وقد وقَطَّنَ الكرمُ تَقْطيناً  بَدَتْ زَمَعاته  وبزْرُ [[قَطُونا]]  بها  والمدُّ فيها أَكثر ؛ التهذيب  وحَبَّة يستشفى أَهل العراق بزْرَ [[قَطُونا]] ؛ قال الأَزهري  وسأَلت عنها  نحن نسميها حَبَّ الذُّرَقة  وهي الأَسْفِيوس  معرب   على وزن جَلولاء وحَرُوراء ودَبوقاء وكَشُوثاء  والقِطانُ   وجمعه قُطُنٌ ؛ وأَنشد بيت لبيد  تصر خيامها كذا أَي حسبي ؛ وقال بعضهم  إِنما هو قَطِي  ودخلت النون على في قَدْني  وقد تقدم  ابن السكيت  القَطْنُ في معنى حَسْبُ  [[قَطْني]] كذا وكذا ؛ وأَنشد  وقال  [[قَطْني]]   قد مَلأْتَ بَطْني الأَنباري  من العرب من يقول قَطْنَ عبدَ الله درهمٌ  وقَطْنَ درهمٌ  فيزيد نوناً على قَطْ وينصب بها ويخفض ويضيف إِلى نفسه  قال  ولم يحك ذلك في قد  والقياس فيهما واحد ؛ قال  وقولهم إِلا كذا وكذا قَطْ ؛ معناه حَسْبُ  فطاؤُها ساكنة لأَنها بمنزلة وأَجَلْ  وكذلك قد يقال قد عبدَ الله درهمٌ  ومعنى قَطْ عبدَ الله يكفي عبدَ الله درهم  بالكسر ؛ حكاه ابن قتيبة بالتخفيف وأَبو حنيفة بالتشديد   وهي الحبوب التي تُدَّخَرُ والباقِلَّى والتُّرْمُس والدُّخْن والأُرْز التهذيب  [القِطْنِيَّة] الثياب  [والقِطْنيَّة] الحبوب التي تخرج من ويقال لها [قُطْنيَّة] مثل لُجِّيٍّ ولِجِّيّ  قال  وإِنما سميت لأَن مخارجها من الأَرض مثل مخارج الثياب [القُِطْنيَّة]  لأَنها تزرع كلها في الصيف وتُدْرِك في آخر وقت الحر  وقال أَبو القَطانِيُّ الخِلَفُ وخُضَر الصيف  شمر  [القُطْن]ِيَّة ما كان سوى والزبيب والتمر  وقال غيره  [القِطْنِيَّة]ُ اسم جامع لهذه تطبخ ؛ قال الأَزهري  هي مثل العَدس والخُلَّر  وهو الماشُ   وهو اللوبياء  والحِمَّص وما شاكلها مما يُقْتات  سماها [قُِطْنيَّة] فيما روى عنه الربيع  وهو قول مالك بن أَنس  وفي  رضي الله عنه  أَنه كان يأْخذ من [القِطنيَّة] العُشْرَ ؛ هي واحدة [القَطاني] كالعدس والحمص واللوبياء  المُخْدَع  أَعجمي  وقيل  بلغة أَهل مصر وبَرْبَر  قال ابن [القَيْطون] بيت في بيت ؛ قال عبد الرحمن بن حسان  مَراجِلٍ ضَرَبَتْها  الشتاءِ  في قَيْطونِ اسم رجل  وقَطَنُ بن نَهْشَل  معروف  وقَطَنٌ  جبل بنجد في أَسد  وفي الصحاح  جبل لبني أَسد  وقُطَانُ  جبل « [وقطان] » كذا بالأصل والمحكم مضبوطاً  والذي في ياقوت  [قطان] ككتاب جبل  ؛  الحُدوجَ يرْفَعْنَ غِزْلا على ظُهورِ الجِمالِ كل شجر لا يقوم على ساق نحو الدُّبَّاء والقَرْع والبطيخ ويَقْطِينُ  اسم رجل منه  [واليَقْطِينة]  القَرْعة الرَّطبة  [اليَقطين] شجر القرْع  قال الله عز وجل  وأَنبَتْنا عليه شجرةً من قال الفراء  قيل عند ابن عباس هو ورق القرْع  فقال  وما جعَلَ بين الشجر يَقْطِيناً  كل ورقة اتسعتْ وسترتْ فهي يَقْطينٌ   وقال مجاهد كل شيء ذهب بَسْطاً في الأَرض يَقْطينٌ  ونحو ذلك  قال  ومنه القَرْع والبطيخ والقِثَّاء والشِّرْيان  وقال سعيد  كل شيء ينبت ثم يموت من عامه فهو يَقْطِينٌ  لقب رجل  وهو ثابتُ [قُطْنة]َ العَتَكيّ  والأَسماء المعارف أَلقابها  وتكون الأَلقاب معارف وتتعرَّف بها الأَسماء كما قيل وزيد بَطَّةَ وسَعيد كُرْز ؛ قال ابن بري  قال أَبو القاسم ابن دريد سمعت أَبا حاتم يقول أُصِيبتْ عَينُ ثابتِ [قُطْنة]َ يحشوها قُطْناً  فسمي ثابتَ [قُطْنة] ؛ وفيه يقول حاجب لا يَعْرفُ الناسُ منه غيرَ [قُطْنَتِه]  من الإِنسان مَجْهولُ
قعن,13, القَعَنُ وقُعَيْنٌ قُعَيْنٌ وقُعَيْنٌ القَعَنُ والقَعَنُ القَعَنُ قُعَيْنٍ قُعَيْنُ والقَيْعُون قَعَنَ قَيْعُونٌ وقَعْوَنُ,3,no vowel, *قعن*	 القَعَنُ  قِصَرٌ في الأَنف فاحش  وقُعَيْنٌ  حيٌّ مشتق منه  وهما قُعَيْنٌ في بني أَسد  وقُعَيْنٌ في قيْس بن عَيْلان  قال  القَعَنُ والقَعَى ارتفاعٌ في الأَرْنَبةِ  قال  والقَعَنُ الرِّجْلِ  قال الأَزهري  والذي صح للثقات في عيوب الأَنف بالميم  وقد تقدم  قال الأَزهري  والعرب تعاقب الميم والنون في حروف مخرجيهما مثل الأَيْمِ والأَيْنِ للحية  والغَيْم والغَيْنِ ولا أُنكِرُ أَن يكون القَعَنُ والقَعَمُ منها  وسئل بعض العلماء  أَفصح  فقال  نَصْرُ قُعَيْنٍ أَو قُعَيْنُ نَصْرٍ  نبت  [والقَيْعُون]  على بناء فَيْعُول  معروف وهو ما طال من قال  واشتقاقه من قَعَنَ  ويجوز أَن يكون قَيْعُونٌ فَعْلُوناً من تقديرِ الزَّيْتُونِ من الزَّيْتِ  والنون زائدة  وقَعْوَنُ 
قفن,35, قَفَّانه قَفَّانه قَفَّانُ القَفّانُ قَفْنٍ والقَفْنُ قَفْنِ يَقْفِنُه قَفْناً وقَفَنَه وقَفَنَ يَقْفِنُها قَفْناً والقَفِينة القَفينة قَفَنَ قَفْناً قَفِينٌ القَفِينة قَفَنَ القَفَنُ والقَفِينة واقتَفَنها القَفَنُّ والقَفَنِّ القفنّ القَفِين قَفَنَ يَقْفِنُ قُفُوناً قَفَنْ وقَفَنَ القَفْنُ القَفِينَة وقِفَّانِ,3,no vowel, *قفن*	 التهذيب  قال عمر بن الخطاب إِني لأَسْتَعْمِلُ الرجلَ القَوِيَّ منه  ثم أَكونُ على [[قَفَّانه]]  وفي طريق آخر  إِني الفاجر لأَسْتَعِينَ بقوَّته ثم أَكونُ على [[قَفَّانه]]  يعني على قال أَبو عبيد  قَفَّانُ كلِّ شيءٍ جِماعُه واسْتِقصاء معرفته ؛ أَكونُ على تتَبُّع أَمره حتى أَستقصِيَ علمه وأَعرفه  والنون زائدة  ولا أَحْسِبُ هذه الكلمة عربية  إِنما أَصلها قَبّانٌ ؛ وقال غيره  قَبَّانَ الذي يوزن به ؛ قال ابن بري  صوابه قَبّانٌ بالصرف  وأَما حِمارُ قَبّانَ لدُوَيْبَّة معروفة فغير مصروفة ؛ ومنه قول فلان قَبّانٌ على فلان إِذا كان بمنزلة الأَمين والرئيس الذي ويُحاسبه  ولهذا سمي الميزان الذي يقال له القَبَّانُ القَبّانَ   القَفّانُ عند العرب الأَمين  وهو فارسي عُرِّبَ   هذا يومُ قَفْنٍ أَي يوم قتال  ويوم غَضْنٍ إذا كان ذا وقَنَّفَه إِذا قطعه وأَبانه  والقَفْنُ  الضرب بالعصا قال بَشِيرٌ الفَرِيريُّ  أَيَّ قَفْنِ  طُول سُوءِ الضَّفْنِ [[يَقْفِنُ]ه] قَفْناً  ضربه على رأْسه بالعصا  [[وقَفَنَ]ه]  ضرب قَفاه  وقَفَنَ الشاةَ [[يَقْفِنُ]ها] قَفْناً  ذبحها من [[والقَفِينة]]  الشاة تذبح من قفاها  وهو مَنْهِيٌّ عنه  وشاة مذبوحة من قَفاها  وقيل  هي التي أَبِينَ رأْسُها من أيِّ جهة ذبحت  النخعي أَنه قال في حديثه فيمن ذَبح فأَبان الرأْسَ قال  تلك بأْس بها  ويقال  النون زائدة لأَنها القَفِيَّة  قال أَبو [القَفينة] كان بعضُ الناس يَرَى أَنها التي تذبح من القَفا  وليست بتلك  التي يُبان رأْسها بالذبح  وإِن كان من الحَلْق  قال  يرجع إلى القَفا لأَنه إِذا أَبان لم يكن له بُدٌّ من قطع قال ابن بري  قول الجوهري النون زائدة لأَنها القَفِيَّة  قال  النون لام الكلمة  يقال  قَفَنَ الشاة قَفْناً  وهي قَفِينٌ  مثل ذبيحة ؛ قال  ولو كانت النون زائدة لبقيت الكلمة بغير وأَما أَبو زيد فلم يعرف فيها إِلاَّ القفِيَّة  بالياء  وقال أَبو [القَفِينة] التي يُبانُ رأْسها عند الذبح  وإِن كان من الحلق  وأَنكر يقول إِنها التي تذبح من قفاها  وحكى غيره  قَفَنَ رأْسه إِذا قطعه ويقال للقَفا  القَفَنُ [[والقَفِينة]]  فعيلة بمعنى مفعولة  يقال  [واقتَفَنها]  وقد قالوا  القَفَنُّ للقَفَا  فزادوا نوناً وأَنشد الراجز في ابنه  مَوضِعَ الوُِشْحَنِّ  والقَفَنِّ « وموضع الإزار إلخ » قال الصاغاني الرواية  في القفنّ منك مفتوحة يخاطب ابنه لا امرأته  الناقة التي تنحر من قفاها ؛ عن ثعلب  وليس شيء شيء إلخ » قال ابن سيده  الذي عندي أن النون أصل وإن كانت الكلمة معناها كما أن القدموس معناه القديم والسبطر معناه السبط وليست الراء زائدة  من ذلك مشتقّاً من لفظ القفا إِذ لو كان ذلك لقيل قَفِيٌّ وقَفِيَّة  أَبو عمرو  [القَفِين] المذبوح من قفاه  والطائر إِذا ذَبحْتَ من قِبَل الوجه فأَبَنْتَ الرأْسَ  الموْتُ  ويقال  قَفَنَ يَقْفِنُ قُفُوناً إِذا مات ؛ قال أَلْقَى رَحَى الزَّوْرِ عليه فطَحَنْ  تَحْتَه حتى قَفَنْ وقَفَنَ الكلبُ إِذا وَلَغَ  ابن الأَعرابي  القَفْنُ الموت   ابن الأَعرابي  [القَفِين]َة والقَنِيفةُ واحدٌ  وهو أَن  أَتيته على إِفَّانِ ذلك وقِفَّانِ ذلك وغِفّان ذلك أَي على 
قفزن,1, القُفَزْنِيَةُ,4,no vowel, *قفزن*	 القُفَزْنِيَةُ  المرأَة الزَّرِيَّة القصيرة 
ققن,2, قِقِنْ قِقِنْ,3,no vowel, *ققن*	 قِقِنْ قِقِنْ  حكاية صوت الضحك 
قلن,4, قالُونْ قالُونُ قالونَ قالُونِ,3,no vowel, *قلن*	 الأَزهري  روي عن علي  عليه السلام  أَنه سأَل شُرَيْحاً عن امرأَة أَنها حاضت ثلاثَ حِيَضٍ في شهر واحد  فقال شريح  ثلاثُ نسوة من بطانَةِ أَهلها أَنها كانت تحيض قبل أَن طلقت في كل فالقول قولها  فقال عليّ  قالُونْ ؛ قال غير واحد من أَهل العلم  معناها أَصَبْتَ  ورأَيت في تاريخ دِمَشْقَ لابن عساكر عبد الله بن عمر قال  اشترى عبد الله بن عمر جارية رومية شديداً  فوقعت يوماً عن بغلة كانت عليها فجعل ابن عمر يمسح ويُفَدِّيها  قال  فكانت تقول له أَنت قالُونُ أَي رجل صالح  ثم ؛ فقال ابن عمر  أَحسِبُني قالونَ  فانطلَقَتْ أَني غير قالُونِ
قلمون,5, القَلَمُونُ قَلَمُونٌ قَلَمُون قَلَمُون القَلَمُونِ,5,vowel, *قلمون*	 القَلَمُونُ  مَطارِفُ كثيرة الأَلوانِ  مثَّلَ به سيبويه وفسره التهذيب في الرباعي  الفراء [[قَلَمُون]]ٌ هو فَعَلُونٌ مثل وهو موضع  قال  وقال غيره أَبو [[قَلَمُون]] ثوب يُتراءَى إِذا أَشْرَقتْ بأَلوانٍ شَتَّى  قال  ولا أَدري لم قيل له ذلك ؛ قال  وقال سكن مصْرَ أَبو [[قَلَمُون]] طائر من طير الماء يُتراءَى بأَلوان الثوبُ به ؛ وقال  ببَقِيعِ حَوْضَى  القَلَمُونِ جُونُ موضعاً 
