Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
هذرب,2, الهَذْرَبَةُ الهذربة,4,no vowel,*هذرب*	 الـهَذْرَبَةُ  1  قوله « [الهذربة] » قال في التكملة  هي لغة في الهذرمة  كثرةُ الكلام في سُرْعة
هرب,24, الهَرَبُ هَرَبَ يَهْرُبُ هَرَباً وهَرَّبَ تَهْريباً مُهْرِباً مُهْرِباً هارِباً مَهْرَبٌ الهَرَبِ هَرَبَ هارِبِ وهَرَبَ هارِبٌ الهارِبُ هارِبٌ يَهْرُبُ هارِبٌ هَرِبَ والهُرْبُ وهَرَّابٌ ومُهْرِبٌ وهارِبةُ,3,no vowel,*هرب*	 الـهَرَبُ  الفِرارُ  هَرَبَ يَهْرُبُ هَرَباً  فَرَّ  يَكونُ ذلك وغيره من أَنواع الحيوان  وأَهْرَبَ  جَدَّ في الذَّهابِ وقيل  هو إِذا جَدَّ في الذهاب مَذْعُوراً  أَو غيرَ مَذْعور ؛ وقال اللحياني  يكون ذلك للفَرَس وغيره مما يَعْدُو ؛ وهَرَّبَ غيرَه تَهْريباً   جاءَ مُهْرِباً أَي جادّاً في الأَمْرِ ؛ وقيل  جاءَ مُهْرِباً إِذا أَتاك هارِباً فَزِعاً ؛ وفلانٌ لنا مَهْرَبٌ  وأَهْرَبَ الرجلُ إِذا أَبْعَدَ في الأَرض ؛ وأَهْرَبَ فلانٌ فلاناً إِذا اضْطَرَّه إِلى الـهَرَبِ  هَرَبَ من الوَتِدِ نِصْفُه في الأَرض أَي غابَ ؛ قال أَبو الـحَوْضِ مُنْثَلِماً   ورُمَّةً نَشِـبَتْ في هارِبِ الوَتِدِ  2  قوله « ومجنأ » أي نؤياً اهـ  تكملة  في الأَرضِ وهَرَبَ فيها  قال  وقال بعضهم  أَهْرَبَ فلانٌ أَي أَغْرَقَ في الأَمْر  في نفي المال  ما لَه هارِبٌ ولا قارِبٌ أَي صادرٌ عن الماءِ ولا وارِد ؛ وقال اللحياني  معناه ما له شيءٌ  وما له قَوْمٌ ؛ قال  ومثله ما له سَعْنةٌ ولا مَعْنَةٌ  وقال ابن الأَعرابي  الهارِبُ الذي صَدَر عن الماءِ ؛ قال  والقارِبُ الذي يَطْلُبُ الماءَ  وقال الأَصمعي في قولهم ما لَه هارِبٌ ولا قارِبٌ  معناه ليس له أَحَدٌ يَهْرُبُ منه  ولا أَحدٌ يَقْرُبُ منه أَي فليس هو بشيءٍ ؛ وقيل  معناه ما لَه بَعِـيرٌ يَصْدُرُ عن الماءِ  ولا بَعِـيرٌ يَقْرُبُ الماءَ  وفي الحديث  قال له رجل  ما لي ولعيالي هارِبٌ ولا قارِبٌ غيرَها أَي ما لي بعيرٌ صادرٌ عن الماء  ولا واردٌ سواها  يعني ناقتَه   هَرِبَ الرجُلُ إِذا هَرِمَ ؛ وأَهْرَبَتِ الريحُ ما على من التُّراب والقَمِـيم وغيره إِذا سَفَتْ به  والـهُرْبُ  يمانية  وهَرَّابٌ ومُهْرِبٌ  اسمان  وهارِبةُ البَقْعاءِ
هرجب,10, الهِرْجابُ هِرجابٍ هِرْجابٍ والهَراجيبُ وهِرْجابٍ الهِرْجابُ الهَراجِيبُ هِرْجابٍ هِرْجابٌ بِهِرجابَ,4,no vowel,*هرجب*	 الـهِرْجابُ من الإِبل  الطويلةُ الضَّخْمَةُ ؛ قال رُؤْبةُ بنُ هِرجابٍ فُنُقْ بري  تَرْتِـيبُ إِنْشادِه في رَجَزِه  مِغْلاةِ الوَهَقْ  قَرْواءَ  هِرْجابٍ  فُنُقْ الناقةُ التي تُبْعِدُ الخَطْوَ  والوَهَقُ   784 >  ومَضْبُورَةٌ  مجتمعةُ الخَلْقِ  والقَرْواءُ  الطويلَةُ القَرَى  وهو الظَّهْر  والفُنُقُ  الفَتِـيَّةُ الضَّخْمة ؛ والهاء في على الخَرْق الذي وُصِفَ قبل هذا في قوله  خاوِي الـمُخْتَرَقْ  قَطَعَتْهُ  وأَسْرَعَتْ قَطْعَه  والـهَراجيبُ الإِبل  الضِّخام ؛ قال رؤْبة  قَرْواءَ وهِرْجابٍ فُنُقْ من كل شيءٍ ؛ وقيل  الـهِرْجابُ التي امْتَدَّتْ مع ؛ وأَنشد  والشَّعْشَعاناتُ الـهَراجِـيبُ  كذلك ؛ قال الأَنْصاري  هِرْجابٍ سَحُوقٍ  كأَنـَّها  تَطَلَّى بقَارٍ  أَوْ بأَسْوَدَ ناتِحِ اسم مَوضِـع ؛ أَنشد أَبو الحسن  ما دامَ الأَراكُ به خُضْرا هِرْجابٌ موضع ؛ قال ابن مُقْبل  مُرْشِقٌ جَـأْبَـةٌ   بِهِرجابَ تَنْتابُ سِدْراً  وَضالا
هردب,7, الهِرْدَبُّ والهِرْدَبَّةُ والهِرْدَبَّةُ الهِرْدَبَّهْ وهِرْدَبَّة والهَرْدَبةُ هَرْدَبَ,4,no vowel, *هردب*	 الـهِرْدَبُّ والـهِرْدَبَّةُ  الجَبانُ الضَّخْمُ  الذي لا فُؤَاد له ؛ وقيل  هو الجَبانُ الضَّخْمُ  القليلُ العَقْلِ  والـهِرْدَبَّةُ  العجوزُ ؛ قال  الدِّلْقِمِ الـهِرْدَبَّهْ   العَنْقَفِـيرِ  الجِلْبِـحِ  الطُّرْطُبَّهْ   الـمُسِنَّةُ  والطُّرْطُبَّة  الكبيرةُ الثَّدْيَيْنِ  الأَزهري  يقال للرجل العَظيمِ الطويلِ الجسمِ هِرْطالٌ [وهِرْدَبَّة] وهَقَوَّر وقَنَوَّرٌ  والـهَرْدَبةُ  عَدْوٌ فيه ثِقَلٌ  وقد هَرْدَبَ 
هرشب,1, وهِرْشَبَّةٌ,4,no vowel, *هرشب*	 التهذيب في الرباعي  عَجُوزٌ هِرْشَفَّة  وهِرْشَبَّةٌ  بالفاءِ  والباءِ  باليةٌ  كبيرة 
هزب,5, الهَوْزَبُ والهَوْزَبُ والهازِبى والهَيْزَبُ وهَزَّابٌ,3,no vowel, *هزب*	 الـهَوْزَبُ  الـمُسِنُّ  الجَرِيءُ من الإِبِل ؛ وقيل  الشَّديدُ  ؛ قال الأَعْشَى  كالقِسِـيِّ من الــ  ـشَوْحَطِ  صَكَّ الـمُسَفَّعِ الـحَجَلا أَمْتَطِـيهِ بها   والعَنْتَريسَ الوَجْناءَ  والجَمَلا قوله بها  تعود على سَراعيف  وأُزْجي  أَسُوقُ  الطِّوالُ من الإِبِل  الضَّوامِرُ  الخِفافُ  واحدُها سُرْعُوفٌ  وجَعَلها تَصُكُّ الأَرضَ بأَخْفافِها  كصَكِّ الصَّقْرِ الـمُسَفَّعِ الـحَجَلَ  والوَجْناءُ  الغَليظةُ  مأْخوذةٌ من الوَجْن  وهو ما غَلُظَ من الأَرض  والـمُسَفَّعُ  الذي في لونه سُفْعة  والـهَوْزَبُ  النَّسْرُ  لِسِنِّهِ  [والهازِبى]  جنسٌ من السَّمَك  والـهَيْزَبُ  الحديدُ  وهَزَّابٌ  اسم رجل 
هضب,46, الهَضْبَةُ هَضْبةٌ الهَضْبةُ والهَضْبُ الهَضْبَةُ هِضابٌ هَضْبٌ وهِضَبٌ وهِضابٌ بهَضْبةٍ الهَضْبةُ الهَضْبِ كالهَضْبِ هِضَبٌ والهِضَبُ والهَضَبُ هاضِبٍ هِضابٌ الهِضابِ هَضْبٌ وهَضَبَتْهم بهَضْبٍ هَضْبةٌ بالهَضْبَة وهَضَبَتِ وهَضَبَتْهُم الهَضْبَةُ هَضَبُ هَضَبُ وهَضَبَ يَهْضِبُونَ واهْتَضَبوا هَضَبَ اهْتَضَبَ ويَهْتَضِبُ هَضَبَ هَضَبَ هاضِبِ هَضَبُوا هَضْبٍ هَضْبةٌ والهَضْبُ هِضَبٌّ والهِضَبُّ والهِضَبُّ وهِضَبَّاتٍ,3,no vowel,*هضب*	 الـهَضْبَةُ  كلُّ جَبَلٍ خُلِقَ من صخرةٍ واحدةٍ ؛ وقيل  كلُّ  صُلْبةٍ  ضَخْمةٍ  هَضْبةٌ ؛ وقيل  الـهَضْبةُ والـهَضْبُ الجَبَل المنْبَسِطُ  يَنْبَسِطُ على الأَرض ؛ وفي التهذيب الـهَضْبَةُ ؛ وقيل  هو الجبلُ الطويلُ  الـمُمْتَنِـع  الـمُنْفَرِدُ  ولا تكون إِلا في حُمْرِ الجبال  والجمع هِضابٌ  والجمع هَضْبٌ  وهِضَبٌ  وهِضابٌ ؛ وفي حديث قُسٍّ  ماذا لنا بهَضْبةٍ  الـهَضْبةُ  الرَّابِـيَةُ  وفي حديث ذِي المِشْعارِ  وأَهلُ جِنابِ الـهَضْبِ ؛ الجِنابُ  بالكسر  اسم موضع  والأُهْضُوبةُ  كالـهَضْبِ  وإِيَّاها كَسَّرَ عَبِـيدٌ في قوله  من أَهاضِـيبِ الـمَلا الْــ  ـخَيْلَ في الأَرْسانِ  أَمْثالَ السَّعالي  785 >  عَمْرو  لقد ساقَه الـمُنى  إِلى جَدَثٍ  يُورَى له بالأَهاضِبِ الأَهاضِـيبَ  فحَذَفَ اضْطراراً  الـمَطْرَةُ الدائمة  العظيمةُ القَطْرِ ؛ وقيل  الدُّفْعةُ والجمع هِضَبٌ  مثل بَدْرَةٍ وبِدَرٍ  نادرٌ ؛ قال ذو الرمة  فَـأْدٌ  ويُسْهِرُه  تَذَؤُّبُ الرِّيحِ  والوَسْواسُ  والـهِضَبُ والـهَضَبُ  وهو جمع هاضِبٍ  مثل تابعٍ وتَبَعٍ  وباعدٍ وبَعَدٍ  وهي الأُهْضُوبةُ  الجوهري  والأَهاضِـيبُ واحدُها هِضابٌ  وواحدُ الـهِضابِ هَضْبٌ  وهي جَلَباتُ القَطْرِ  بَعْدَ القَطْرِ ؛ وتقول  أَصابتهم أُهْضوبةٌ من المطر  والجمع الأَهاضِـيبُ  [[وهَضَبَ]تْهم] السماءُ أَي مَطَرَتْهم  وفي حديث لَقِـيطٍ  فأَرْسِل السماء بهَضْبٍ أَي مَطَرٍ  ويُجْمَع على أَهْضابٍ ثم أَهاضِـيبَ  كقَوْلٍ وأَقْوالٍ وأَقاويلَ ؛ ومنه حديث عليّ  عليه السلام  تَمْريهِ الجَنُوبُ دِرَرَ أَهاضِـيبِه ؛ وفي وصف بني تميم  هَضْبةٌ حَمْراءُ ؛ قال ابن الأَثير  قيل أَراد بالـهَضْبَة الـمَطْرةَ ؛ وقيل  أَراد به الرابيةَ  [وهَضَبَ]تِ السماءُ  دامَ لا يُقْلِـعُ  [[وهَضَبَ]تْهُم]  بلَّتْهم بَلَلاً شديداً  وقال أَبو الهيثم  الـهَضْبَةُ دَفْعةٌ واحدة من مطر  ثم تَسْكُن  وكذلك جَرْية واحدةٌ ؛ وأَنشد للكُمَيْت يصف فَرَساً  بعضُه وَرْدٌ  وسائِرُهُ  جَوْنٌ  أَفانِـينُ إِجْرِيَّاه  لا هَضَبُ جَرْيُه  وعادَةُ جَرْيِهِ  أَفانينُ أَي فُنُونٌ وأَلْوانٌ  لا هَضَبُ  لا لَوْنٌ واحِدٌ  وهَضَبَ فلانٌ في الحديث إِذا انْدَفَعَ فيه  فأَكثر ؛ قال الشاعر  القَوْلَ فيما يَهْضِـبُونَ به   من الكلامِ  قليلٌ منه يَكْفينِـي [واهْتَضَبوا] في الحديث  خاضُوا فيه دُفْعةً بعد دُفْعةٍ  وارْتَفَعَتْ أَصواتُهم ؛ يقال  أَهْضِـبُوا يا قَوْم أَي تَكَلَّموا   أَنَّ أَصحابَ رسول اللّه  صلى اللّه عليه وسلم  كانوا معه في سَفَر  فعَرَّسوا ولم يَنْتبِهوا حتى طَلَعَتِ الشمسُ  والنبـيُّ  صلى اللّه عليه وسلم  نائم  فقالوا  أَهْضِـبُوا ؛ معنى أَهْضِـبُوا  تَكَلَّمُوا  وأَفِـيضُوا في الحديث لكي يَنْتَبِهَ رسولُ اللّه  صلى اللّه عليه وسلم  بكلامهم ؛ يقال  هَضَبَ في الحديث وأَهْضَبَ إِذا انْدَفَعَ فيه ؛ كَرِهُوا أَن يُوقِظُوه  فأَرادوا أَن يَسْتَيْقِظَ بكلامهم  ويقال اهْتَضَبَ إِذا فَعَلَ ذلك ؛ وقال الكُمَيْتُ يصف قَوْساً  نَبْعةٌ مُوَتَّرَةٌ   يَهْزِجُ إِنباضُها  ويَهْتَضِبُ فيُسْمَعُ لرَنِـينِه صَوْتٌ   هَضَبَ وأَهْضَبَ  وضَبَّ وأَضَبَّ  كلُّه كلامٌ فيه وفي النوادر  هَضَبَ القومُ  وضَهَبُوا  وهَلَبُوا  وأَلَبُوا  كلُّه الإِكْثارُ  والإِسراعُ ؛ وقولُ أَبي صخر الهذلي  الليلِ  مِنهنَّ رَغْبَتي   رَوانيَ في يَوْمٍ  من اللَّهْوِ  هاضِبِ كانوا قد [هَضَبُ]وا في اللَّهْوِ ؛ قال  وهذا لا يكون إِلا على ذي هَضْبٍ  ورجلٌ هَضْبةٌ أَي كثير الكلام  والـهَضْبُ  الضِّبابِ وغيرها  وسُرِقَ لأَعْرابيةٍ ضَبٌّ  فحُكِمَ  786 > مثله  فقالت  ليس كَضَبِّـي  ضَبِّـي ضَبٌّ هِضَبٌّ ؛ والـهِضَبُّ  الشديدُ الصُّلْبُ مثلُ الـهِجَفِّ  والـهِضَبُّ من الخَيْل  الكثيرُ العَرَق ؛ قال طرفة  ذُكُورٍ وُقُحٍ   وهِضَبَّاتٍ  إِذا ابْتَلَّ العُذَرْ جمع وَقاحٍ  للحافر الصُّلْب  والعَناجِـيجُ  الجِـيادُ من واحدُها عُنْجُوجٌ
هقب,5, الهَقْبُ هِقَبٌّ والهِقَبُّ الهِقَبُّ هِقَبٌّ,3,no vowel, *هقب*	 الـهَقْبُ  السَّعَة  ورجل هِقَبٌّ  واسعُ الـحَلْقِ  يَلْتَقِمُ  والـهِقَبُّ  الضَّخْمُ في طُولٍ وجِسمٍ  وخصَّ بعضُهم به النَّعام  قال الأَزهري  قال الليث  الـهِقَبُّ الضَّخْمُ النَّعام ؛ وأَنشد  هِقَبٌّ شَوْقَبٌ خَشِبُ من زَجْرِ الخيل 
هكب,1, الهَكْبُ,3,no vowel, *هكب*	 الأَزهري  روى ثعلب عن ابن الأَعرابي  الـهَكْبُ الاسْتِهْزاءُ  أَصلُه هَكْمٌ  بالميم 
هلب,64, الهُلْبُ الهُلْبةُ الهُلْبُ الهُلْبِ والهُلْبُ هُلْبة والهُلَبُ وهَلَبَ هَلْباً وهَلَّبَه هُلْبَه مَهْلُوبٌ ومُهَلَّبٌ والمُهَلَّبُ المُهَلَّبُ المَهالِبة والمُهَلَّبُ وتَهَلَّبَ مَهْلُوبٌ هُلِبَ هَلَباتٌ كهَلَبات لَبِهُلْبه تَهْلُبُوا والهَلَبُ والهُلْبَ الهُلْبِ وهُلْبَتي الهُلْبة وهُلْبَةُ هُلْبة والهَلاَّبةُ والهَلاَّبُ هَلاَّبا وهَلَبَتْهم تَهْلُبُهم هَلْباً تَهْلُبني هَلَبَتْنا هَلَبَتْنا الهَلُوبُ الهَلاَّبِ هَلاَّبٌ هَلاَّبٌ الهَلاَّبُ والهَلْبُ هَلْبا هُلْبة هَلاَّبٌ ومُهَلَّبٌ وهَلِيبٌ هُلْبةِ هالِبُ هُلْبةُ وهُلُبَّتُه الهَلوبَ الهَلُوبَ هَلَبْتُه ليَهْلِبُ هَلاَّبٌ مُهَلَّبٌ الهُلاَّبةُ هُلابَةَ اهْتَلَبَ,3,no vowel,*هلب*	 الـهُلْبُ الشَّعَرُ كُلُّه ؛ وقيل  هو في الذَّنَبِ وحْدَه ؛ وقيل  غَلُظَ من الشعَر ؛ زاد الأَزهري  كشَعَرِ ذَنَبِ الناقةِ  الجوهري  الـهُلْبةُ شَعَرُ الخِنْزيرِ الذي يُخْرَزُ به  والجمع الـهُلْبُ  الفَرَسُ الكثيرُ الـهُلْبِ  ورجل أَهْلَبُ  غليظُ الشَّعَر   رجل أَهْلَبُ إِذا كان شَعَرُ أَخْدَعَيْهِ وجَسَدِه غِلاظاً  الكثيرُ شَعَر الرأْس والجسدِ  والـهُلْبُ أَيضاً  الشَّعَر النابتُ على أَجْفانِ العَيْنَيْن  الشَّعَر تَنْتِفُه من الذَّنَب  واحدَتُه [[[هُلْبة]]]  والـهُلَبُ  الأَذْنابُ والأَعْرافُ الـمَنْتُوفةُ  وهَلَبَ الفَرَسَ [هَلْبا]ً  [وهَلَّبَه]  نَتَفَ [هُلْبَه]  فهو مَهْلُوبٌ ومُهَلَّبٌ  والـمُهَلَّبُ  اسمٌ  وهو منه ؛ ومنه سُمِّي الـمُهَلَّبُ بنُ أَبي صُفْرَة أَبو الـمَهالِـبة  حارثٍ وعباسٍ  والـمُهَلَّبُ على الـحَارث والعَبَّاس   وتَهَلَّبَ  تَنَتَّفَ  وفرسٌ مَهْلُوبٌ  مُسْـتَـأْصَلُ شعر الذَّنَبِ  قد هُلِبَ ذَنَبُه أَي اسْـتُـؤْصِلَ جَزّاً  أَي مُنْقَطِـعٌ ؛ وأَنشد  دَعَوْا دَعْوَةً   سَيَتْبَعُها ذَنَبٌ أَهْلَبُ عنكم  كقوله  الدُّنْيا وَلَّت حَذَّاءً أَي مُنْقَطِعَةً  والأَهْلَبُ  الذي لا شَعَر عليه  وفي الحديث  انَّ صاحبَ رايةِ الدَّجَّالِ  في عَجْبِ ذَنَبه مثلُ أَلْيةِ البَرَقِ  وفيها هَلَباتٌ [كهَلَبات] الفَرَس أَي شَعَراتٌ  أَو خُصَلاتٌ من الشَّعر  وفي حديث مُعاوية  أَفْلَت وانْحَصَّ الذَّنَب  فقال  كَلاَّ إِنه [لَبِهُلْبه] ؛ وفرس أَهْلَبُ  ومنه حديث تَميم الدَّاريِّ  فلَقِـيَهم دابةٌ أَهْلَبُ ؛  لأَنَّ الدابة تَقَعُ على الذكر والأُنثى  وفي حديث ابن الدابةُ الـهَلْباءُ التي كَلَّمت تمِـيماً هي دابةُ الأَرضِ التي  يعني بها الجَسَّاسةَ  وفي حديث الـمُغِـيرة  أَي كثيرةُ الشَّعر  وفي حديث أَنسٍ  لا [تَهْلُبُوا] أَذْنابَ لا تَسْـتَـأْصِلُوها بالجَزِّ والقَطْع  والـهَلَبُ  كثرةُ رجلٌ أَهْلَبُ وامرأَةٌ هَلْباءُ  والـهَلْباءُ  الاسْتُ  اسم وأَصلُه الصفةُ  ورجلٌ أَهْلَبُ العَضْرَطِ  في اسْتِه شَعَرٌ  إِلى اكتِهالِهِ وتَجْرِبَتِه ؛ حكاه ابنُ الأَعرابي  وأَنشد  بَني رُومانَ بعضَ وَعِـيدِكُمْ   وإِيَّاكُمُ والـهُلْبَ مِنَّا عَضارِطا   787 >  نابتُ الـهُلْبِ   لأَنْ يَمْتَلِـئَ ما بَينَ عانَتي [وهُلْبَتي] ؛ الـهُلْبة  ما فوقَ العانةِ إِلى قريب من السُّرَّة  رجلٌ كان أَقْرَع  فمَسَح سيدُنا رسولُ اللّه  صلى اللّه  يدَه على رأْسه فنَبَت شَعَرُه  وهُلْبَةُ الشِّتاءِ  شِدَّتُه  الزمان  مثلُ الكُلْبة  عن أَبي حنيفة  وَوَقَعْنا هَلْباءَ أَي في داهيةٍ دَهْياءَ  مثل [[[هُلْبة]]] الشِّتاءِ  أَي خَصِـيبٌ  مثلُ أَزَبَّ  وهو على التشبيه  والـهَلاَّبةُ  الريح البارِدَةُ مع قَطْرٍ  ابن سيده  والـهَلاَّبُ رِيحٌ باردة مع مَطَرٍ  وهو أَحدُ ما جاءَ من الأَسماءِ على فَعَّالٍ كالجَبَّانِ والقَذَّافِ ؛ قال أَبو زُبَيْدٍ  1  قوله « قال أبو زبيد » أي يصف امرأة اسمها خنساء التكملة    عَجْزاءُ مُدْبرَةً   مَحْطُوطَةٌ  جُدِلَتْ  شَنْباءُ أَنْيابا غَزالٍ  تَحْتَ سِدْرَتِه  أَحَسَّ  يوماً  من الـمَشْتَاتِ  [هَلاَّبا] ههنا بدلٌ من يوم  قال ابن بري  أَتى سيبويه بهذا البيت نصب قوله أَنيابا  على التشبيه بالمفعول به  أَو على التمييز  على الحال  وكذلك مدبرة  أَي هي هيفاء في حال إِقبالها  عجزاء في حال إِدبارها  والـهَيَفُ  ضُمْرُ البَطْن  والـمَحْطوطة  الـمَصْقُولة ؛ يريد أَنها بَرَّاقةُ الجِسْمِ  والـمِحَطُّ  خشبة يُصْقَلُ بها الجُلُود  والـمَجْدُولةُ  التي ليست برَهْلة مُسْتَرْخيةِ اللحم  والشَّنَبُ  بَرْدٌ في الأَسْنان  وعُذُوبةٌ في الريق  الريح الباردةُ  [وهَلَبَ]تْهم السماءُ [تَهْلُبُهم] [هَلْبا]ً  بَلَّتْهم  وفي حديث خالد  2  قوله « وفي حديث خالد إلخ » عبارة التكملة وفي حديث خالد بن الوليد أنه قال لما حضرته الوفاة  لقد طلبت القتل مظانه فلم يقدر لي إلا أن أموت على فراشي وما من عملي إلخ  ما من عملي شيءٌ أَرْجى عِنْدي بعد لا إِله إِلاَّ اللّه  من ليلةٍ بِتُّها  وأَنا مُتَتَرِّسٌ بتُرْسِـي  والسماءُ [تَهْلُبني] أَي تَبُلُّني وتُمْطِرُني  وقد [[هَلَبَتْنا]] السماءُ إِذا مَطَرَتْ بجَودٍ  التهذيب  يقال [[هَلَبَتْنا]] السماءُ إِذا بَلَّتْهم بشيءٍ من نَـدًى  أَو نحو ذلك   الـهَلُوبُ الصِّفَةُ المحمودةُ  أُخِذَتْ من اليوم كان مَطَرُه سَهْلاً لَيِّناً دائِماً غَيرَ مُؤْذٍ ؛ والصِّفةُ الـمَذْمُومة أُخِذَتْ من اليوم الـهَلاَّبِ إِذا كان مَطَرُه ذا رَعْدٍ  وبَرْقٍ  وأَهوالٍ  وهَدْم للمنازل   وعامٌ هَلاَّبٌ  كثير الـمَطَر والريح  الأَزهري في  يوم حَلاَّبٌ  ويوم هَلاَّبٌ  ويوم هَمَّامٌ  وصَفْوانُ  وشِـيبانُ ؛ فأَمَّا الـهَلاَّبُ  فاليابِسُ بَرْداً  وأَما الـحَلاَّبُ  ففيه نَـدًى  وأَما الـهَمَّام  فالذي قد هَمً بالبَرْد  قال  والـهَلْبُ تَتابُع القَطْر ؛ قال رؤبة  حَصْبا  ودُقاقاً [هَلْبا] والـمَرُّ  أَتَيْتُه في [[[هُلْبة]]] الشِّتاءِ أَي في شِدَّة بَرْدِه  الغَنَوِيُّ  في الكانونِ الأَول الصِّنُّ والصِّنَّبْرُ والـمَرْقِـيُّ في القَبْر  وفي الكانون الثاني هَلاَّبٌ ومُهَلَّبٌ وهَلِـيبٌ [[[هُلْبة]]]ِ الشَّهْر أَي في آخره  ومن أَيام الشتاءِ  هالِبُ البَعَرِ  قال غيره  يقال [[[هُلْبة]]]ُ الشتاءِ [وهُلُبَّتُه]  بمعنى واحد  ابن سيده  له أُهْلُوبٌ أَي الْتِهابٌ في  788 >  مقلوبٌ عن أُلْهُوبٍ أَو لغةٌ فيه   تَتَقَرَّبُ من زَوجِها وتُحِـبُّه  وتُقْصِـي غيرَه وتَتَباعَدُ عنه ؛ وقيل  تَتقرَّبُ مِن خِلِّها وتُحِـبُّه  وتُقْصِـي زَوجَها  ضِدُّ  وفي حديث عمر  رضي اللّه تعالى عنه  رَحِمَ اللّه الـهَلوبَ ؛ يَعني الأُولى  ولَعَنَ اللّهُ الـهَلُوبَ ؛ يَعْني الأُخرى ؛ وذلك من [هَلَبْتُه] بلساني إِذا نِلْتَ منه نَيْلاً شديداً  لأَن المرأَة تَنالُ زوجها وإِما من خِدْنِها  فتَرَحَّمَ على الأُولى ولَعَنَ ابن شميل  يقال إِنه ليَهْلِبُ الناسَ بلِسانه إِذا كان يَهْجُوهم يقال  هو هَلاَّبٌ أَي هَجَّاءٌ  وهو مُهَلَّبٌ أَي مَهْجُوٌّ  وقال خليفة الـحُصَيْنِـيُّ  يقال رَكِبَ كلٌّ منهم أُهْلُوباً من الثَّناءِ أَي فَنّاً  وهي الأَهالِـيبُ ؛ وقال أَبو عبيدة  هي الأَسالِـيبُ  واحدها أُسْلُوبٌ   الـهُلاَّبةُ غُسالةُ السَّلى  وهي في الـحُوَلاءِ  والـحُوَلاءُ رأْسُ السَّلى  وهي غِرْسٌ  كقَدْرِ القَارورةِ  تَراها خَضْراء  تُسَمَّى هُلابَةَ السِّقْيِ  أَهْلَبَ في عَدْوِه إِهْلاباً  وأَلْهَبَ إِلهاباً  وعَدْوُه ذو وفي نوادر الأَعراب  اهْتَلَبَ السيفَ من غِمْده وأَعْتَقَه إِذا اسْتَلَّه  فرسُ ربيعة بن عمرو
هلجب,1, الهِلْجابُ,4,no vowel, *هلجب*	 التهذيب  الـهِلْجابُ الضَّخْمَةُ من القُدورِ  وكذلك العَيْلَمُ 
