Term,Normalized Term,Root,Is Sure,Source
الْأَبُّ,الأب,	أب ب,TRUE,mukhtar.bok
الْأَبَدُ,الأبد,	أب د,TRUE,mukhtar.bok
آبَادٌ,أاباد,	أب د,TRUE,mukhtar.bok
أُبُودٌ,أبود,	أب د,TRUE,mukhtar.bok
الْأَبَدُ,الأبد,	أب د,TRUE,mukhtar.bok
أَبَرَ,أبر,	أب ر,TRUE,mukhtar.bok
الْإِبْرَةَ,الأبرة,	أب ر,TRUE,mukhtar.bok
مَأْبُورَةٌ,مأبورة,	أب ر,TRUE,mukhtar.bok
تَأْبِيرُ,تأبير,	أب ر,TRUE,mukhtar.bok
مُؤَبَّرَةٌ,مأبرة,	أب ر,TRUE,mukhtar.bok
الْإِبَارُ,الأبار,	أب ر,TRUE,mukhtar.bok
تَأَبَّرَ,تأبر,	أب ر,TRUE,mukhtar.bok
الْإِبْطُ,الأبط,	أب ط,TRUE,mukhtar.bok
آبَاطٌ,أاباط,	أب ط,TRUE,mukhtar.bok
تَأَبَّطَ,تأبط,	أب ط,TRUE,mukhtar.bok
أَبَقَ,أبق,	أب ق,TRUE,mukhtar.bok
الْإِبِلُ,الأبل,	أب ل,TRUE,mukhtar.bok
آبَالٌ,أابال,	أب ل,TRUE,mukhtar.bok
إِبِلَانِ,أبلان,	أب ل,TRUE,mukhtar.bok
إِبَلِيٌّ,أبلي,	أب ل,TRUE,mukhtar.bok
أَبَابِيلَ,أبابيل,	أب ل,TRUE,mukhtar.bok
أَبَلَ,أبل,	أب ل,TRUE,mukhtar.bok
تَأَبَّلَ,تأبل,	أب ل,TRUE,mukhtar.bok
الْأَبَلَةُ,الأبلة,	أب ل,TRUE,mukhtar.bok
الْأَبِيلُ,الأبيل,	أب ل,TRUE,mukhtar.bok
أُبِنَ,أبن,	أب ن,TRUE,mukhtar.bok
الْأُبَّهَةُ,الأبهة,	أب هـ,TRUE,mukhtar.bok
الْإِبَاءُ,الأباأ,	أب ا,TRUE,mukhtar.bok
آبٍ,أاب,	أب ا,TRUE,mukhtar.bok
أَبِيٌّ,أبي,	أب ا,TRUE,mukhtar.bok
أَبَيَانٌ,أبيان,	أب ا,TRUE,mukhtar.bok
تَأَبَّى,تأبى,	أب ا,TRUE,mukhtar.bok
أَبَيْتَ,أبيت,	أب ا,TRUE,mukhtar.bok
الْأَبُ,الأب,	أب ا,TRUE,mukhtar.bok
أَبَوٌ,أبو,	أب ا,TRUE,mukhtar.bok
آبَاءٌ,أاباأ,	أب ا,TRUE,mukhtar.bok
أَبَوَانِ,أبوان,	أب ا,TRUE,mukhtar.bok
أَبَانِ,أبان,	أب ا,TRUE,mukhtar.bok
أَبِيكَ,أبيك,	أب ا,TRUE,mukhtar.bok
أَبٍ,أب,	أب ا,TRUE,mukhtar.bok
أَبِينَكَ,أبينك,	أب ا,TRUE,mukhtar.bok
الْأَبَوَانِ,الأبوان,	أب ا,TRUE,mukhtar.bok
الْأُبُوَّةُ,الأبوة,	أب ا,TRUE,mukhtar.bok
يَا أَبَتِ,ياأبت,	أب ا,TRUE,mukhtar.bok
يَا أَبَتَ,ياأبت,	أب ا,TRUE,mukhtar.bok
أَبَ,أب,	أب ا,TRUE,mukhtar.bok
أَبَا,أبا,	أب ا,TRUE,mukhtar.bok
أَبَاكَ,أباك,	أب ا,TRUE,mukhtar.bok
الْمَأْتَمُ,المأتم,	أت م,TRUE,mukhtar.bok
الْمَآتِمُ,المأاتم,	أت م,TRUE,mukhtar.bok
الْأَتَانُ,الأتان,	أت ن,TRUE,mukhtar.bok
آتُنٍ,أاتن,	أت ن,TRUE,mukhtar.bok
أُتُنٌ,أتن,	أت ن,TRUE,mukhtar.bok
أُتْنٌ,أتن,	أت ن,TRUE,mukhtar.bok
الْأَتُّونُ,الأتون,	أت ن,TRUE,mukhtar.bok
أَتَاتِينُ,أتاتين,	أت ن,TRUE,mukhtar.bok
الْإِتْيَانُ,الأتيان,	أت ي,TRUE,mukhtar.bok
إِتْيَانًا,أتيانا,	أت ي,TRUE,mukhtar.bok
أَتَاهُ,أتاه,	أت ي,TRUE,mukhtar.bok
آتِيًا,أاتيا,	أت ي,TRUE,mukhtar.bok
أَتَيْتُ,أتيت,	أت ي,TRUE,mukhtar.bok
مَأْتَاتِهِ,مأتاته,	أت ي,TRUE,mukhtar.bok
مَأْتَاهُ,مأتاه,	أت ي,TRUE,mukhtar.bok
مُؤَاتَاةً,مأاتاة,	أت ي,TRUE,mukhtar.bok
وَاتَاهُ,واتاه,	أت ي,TRUE,mukhtar.bok
آتَاهُ إِيتَاءً,أاتاهأيتاأ,	أت ي,TRUE,mukhtar.bok
آتَاهُ,أاتاه,	أت ي,TRUE,mukhtar.bok
الْإِتَاوَةُ,الأتاوة,	أت ي,TRUE,mukhtar.bok
الْأَتَاوَى,الأتاوى,	أت ي,TRUE,mukhtar.bok
تَأَتَّى لَهُ,تأتىله,	أت ي,TRUE,mukhtar.bok
تَأَتَّى لَهُ,تأتىله,	أت ي,TRUE,mukhtar.bok
الْأَثَاثُ,الأثاث,	أث ث,TRUE,mukhtar.bok
أَثَاثَةٌ,أثاثة,	أث ث,TRUE,mukhtar.bok
الْأَثْرُ,الأثر,	أث ر,TRUE,mukhtar.bok
الْمَأْثُورُ,المأثور,	أث ر,TRUE,mukhtar.bok
الْأَثْرِ,الأثر,	أث ر,TRUE,mukhtar.bok
أَثَرَ,أثر,	أث ر,TRUE,mukhtar.bok
آثِرٌ,أاثر,	أث ر,TRUE,mukhtar.bok
مَأْثُورٌ,مأثور,	أث ر,TRUE,mukhtar.bok
آثِرًا,أاثرا,	أث ر,TRUE,mukhtar.bok
إِثْرِهِ,أثره,	أث ر,TRUE,mukhtar.bok
الْأَثَرُ,الأثر,	أث ر,TRUE,mukhtar.bok
آثَارُهُ,أاثاره,	أث ر,TRUE,mukhtar.bok
اسْتَأْثَرَ,استأثر,	أث ر,TRUE,mukhtar.bok
