Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
ءبب,1, وَأَبًّا,3,vowel,[وَأَبًّا] (1)
ءبد,1, أَبَدًا,3,vowel,[أَبَدًا] (28)
ءبق,1, أَبَقَ,3,vowel,أَبَقَ (1)
ءبل,2, أَبَابِيلَ الإِبِلِ,3,vowel,أَبَابِيلَ (1) الإِبِلِ (2)
ءبو,45, ءَابَاءَكُم ءَابَاءَنَا ءَابَاءَهُم ءَابَاءَهُمُ ءَابَاءِ ءَابَاءِي ءَابَاؤُكُم ءَابَاؤُنَا ءَابَاؤُهُم ءَابَائِكَ ءَابَائِكُم ءَابَائِكُمُ ءَابَائِنَا ءَابَائِهِم ءَابَائِهِنَّ أَبًا أَبَا أَبَاكُم أَبَانَا أَبَاهُ أَبَاهُم أَبَوَاهُ أَبَوَيْكَ أَبَوَيْكُم أَبَوَيْهِ أَبُوكِ أَبُوهُم أَبُوهُمَا أَبِي أَبِيكُم أَبِينَا أَبِيهِم بِأَبَائِنَا لأَبَائِهِم لأَبِي لأَبِيهِ وَءَابَاءَهُم وَءَابَاؤُكُم وَءَابَاؤُكُمُ وَءَابَاؤُنَا وَأَبُونَا وَأَبِيهِ وَلأَبَوَيْهِ يَاأَبَانَا يَاأَبَتِ,3,vowel,[ءَابَاءَكُم] (3) [ءَابَاءَنَا] (10) [ءَابَاءَهُم] (3) [ءَابَاءَهُم]ُ (1) ءَابَاءِ (1) [ءَابَاءِ]ي (1) [ءَابَاؤُكُم] (5) [ءَابَاؤُنَا] (9) [ءَابَاؤُهُم] (4) ءَابَائِكَ (1) [ءَابَائِكُم] (1) [ءَابَائِكُم]ُ (3) [ءَابَائِنَا] (2) [ءَابَائِهِم] (3) ءَابَائِهِنَّ (2) [أَبًا] (1) [أَبَا] (1) [أَبَاكُم] (1) [أَبَانَا] (1) أَبَاهُ (1) [أَبَاهُ]م (1) أَبَوَاهُ (2) أَبَوَيْكَ (1) [أَبَوَيْكُم] (1) أَبَوَيْهِ (2) أَبُوكِ (1) [أَبُوهُم] (2) [أَبُوهُم]َا (1) [أَبِي] (4) [أَبِيكُم] (4) [أَبِينَا] (1) [أَبِيهِم] (1) [بِأَبَائِنَا] (2) [لأَبَائِهِم] (2) [لأَبِي] (1) لأَبِيهِ (9) وَ[ءَابَاءَهُم] (3) وَ[ءَابَاؤُكُم] (4) وَ[ءَابَاؤُكُم]ُ (1) وَ[ءَابَاؤُنَا] (3) [وَأَبُونَا] (1) وَأَبِيهِ (1) وَلأَبَوَيْهِ (1) [يَاأَبَانَا] (6) يَاأَبَتِ (8)
ءبي,8, أَبَى فَأَبَوْا فَأَبَى فَأَبَيْنَ وَأَبَى وَتَأْبَى وَيَأْبَى يَأْبَ,3,vowel,[أَبَى] (3) [فَأَبَوْا] (1) فَ[أَبَى] (3) فَأَبَيْنَ (1) وَ[أَبَى] (1) [وَتَأْبَى] (1) [وَ[يَأْبَ]ى] (1) يَأْبَ (2)
ءتل,1, يَأْتَلِ,3,vowel,يَأْتَلِ (1)
ءتي,211, ءَاتَاكَ ءَاتَاكُم ءَاتَاكُمُ ءَاتَانَا ءَاتَانِ ءَاتَاهَا ءَاتَاهُ ءَاتَاهُم ءَاتَاهُمَا ءَاتَاهُمُ ءَاتَت ءَاتَوْا ءَاتَوْهُ ءَاتَيْتَ ءَاتَيْتَنَا ءَاتَيْتَنِي ءَاتَيْتَهُنَّ ءَاتَيْتُكَ ءَاتَيْتُكُم ءَاتَيْتُم ءَاتَيْتُمُوهُنَّ ءَاتَيْنَا ءَاتَيْنَاكَ ءَاتَيْنَاكُم ءَاتَيْنَاهَا ءَاتَيْنَاهُ ءَاتَيْنَاهُم ءَاتَيْنَاهُمُ ءَاتِهِم ءَاتِي ءَاتِيكَ ءَاتِيكُم ءَاتِيهِ ءَاتِيهِم ءَاتِيَةٌ أَتَأْتُونَ أَتَاكَ أَتَاكُم أَتَانَا أَتَاهَا أَتَاهُم أَتَت أَتَتْكَ أَتَتْكُمُ أَتَتْهُم أَتَوْا أَتَوْكَ أَتَوْهُ أَتَى أَتَيَا أَتَيْتَ أَتَيْنَ أَتَيْنَا أَتَيْنَاهُم أُوتَ أُوتُوا أُوتُوهُ أُوتِيتَ أُوتِيتُم أُوتِيتُهُ أُوتِيَ ائْتُوا ائْتِ ائْتِيَا تَأْتُوا تَأْتُونَنَا تَأْتِهِم تَأْتِي تَأْتِيكُم تَأْتِينَا تَأْتِيهِم تَأْتِيَ تَأْتِيَنَا تَأْتِيَهُم تَأْتِيَهُمُ تُؤْتَوْهُ تُؤْتُوا تُؤْتُونَهُنَّ تُؤْتُونِ تُؤْتِي سَأَتِيكُم سَنُؤْتِيهِم سَيُؤْتِينَا فئَاتُوا فَأَتَاهُمُ فَأَتَت فَأَتَوْا فَأَتَى فَأَتَيْنَا فَأَتُوهُم فَأَتُوهُنَّ فَأَتِ فَأَتِهِم فَأْتُوا فَأْتُونَا فَأْتُوهُنَّ فَأْتِ فَأْتِيَا فَأْتِيَاهُ فَئَاتَت فَتَأْتُونَ فَتَأْتِيَهُم فَسَيَأْتِيهِم فَسَيُؤْتِيهِ فَلَنَأْتِيَنَّكَ فَلَنَأْتِيَنَّهُم فَلْيَأْتُوا فَلْيَأْتِ فَلْيَأْتِكُم فَيَأْتِيَهُم لأَتٍ لأَتَوْهَا لأَتَيْنَا لأَتَيْنَاهُم لأَتِيَةٌ لأَتِيَنَّهُم لأُوتَيَنَّ لَتَأْتُونَ لَتَأْتِيَنَّكُم لَيَأْتِيَنِّي مَأْتِيًّا نَأْتِ نَأْتِي نَأْتِيَكُم نُؤْتَى نُؤْتِهِ نُؤْتِيهِ وَءَاتَاكُم وَءَاتَاهُ وَءَاتَاهُم وَءَاتَت وَءَاتَوُا وَءَاتَى وَءَاتَيْتُم وَءَاتَيْتُمُ وَءَاتَيْنَا وَءَاتَيْنَاهُ وَءَاتَيْنَاهُم وَءَاتَيْنَاهُمَا وَءَاتُوا وَءَاتُوهُم وَءَاتُوهُنَّ وَءَاتِ وَءَاتِينَ وَأَتَاهُمُ وَأَتَيْنَاكَ وَأُتُوا وَأُوتِينَا وَأُوتِيَت وَأْتُوا وَإِيتَاءَ وَإِيتَاءِ وَإِيتَاءِي وَالْمُؤْتُونَ وَتَأْتُونَ وَتُؤْتُوهَا وَلَيَأْتِيَنَّهُم وَلْتَأْتِ وَيَأْتُوكُم وَيَأْتِ وَيَأْتِينَا وَيَأْتِيهِ وَيُؤْتُوا وَيُؤْتُونَ وَيُؤْتِ يَأْتُوا يَأْتُوكَ يَأْتُوكُم يَأْتُونَ يَأْتُونَكَ يَأْتُونَنَا يَأْتِ يَأْتِكَ يَأْتِكُم يَأْتِهِ يَأْتِهِم يَأْتِي يَأْتِيكُم يَأْتِيكُمَا يَأْتِينَ يَأْتِينَا يَأْتِينَكَ يَأْتِينِي يَأْتِيهَا يَأْتِيهِ يَأْتِيهِم يَأْتِيهِمُ يَأْتِيَ يَأْتِيَانِهَا يَأْتِيَكَ يَأْتِيَكُمَا يَأْتِيَكُمُ يَأْتِيَنَا يَأْتِيَنِي يَأْتِيَنَّكُم يَأْتِيَهُم يَأْتِيَهُمُ يُؤْتَ يُؤْتَوْنَ يُؤْتَى يُؤْتُوا يُؤْتُونَ يُؤْتِ يُؤْتِكُم يُؤْتِكُمُ يُؤْتِي يُؤْتِيهِ يُؤْتِيهِم يُؤْتِيَنِ يُؤْتِيَهُ يُؤْتِيَهُمُ,3,vowel,(3/1) ءَاتَاكَ (1) [ءَاتَاكُم] (5) [ءَاتَاكُم]ُ (1) [ءَاتَانَا] (1) ءَاتَانِ (1) [ءَاتَانِ]يَ (1) [ءَاتَاهَا] (1) ءَاتَاهُ (2) [ءَاتَاهُ]م (3) [ءَاتَاهُ]مَا (2) [ءَاتَاهُ]مُ (5) [ءَاتَت] (1) [ءَاتَوْا] (1) ءَاتَوْهُ (1) ءَاتَيْتَ (2) [ءَاتَيْتَ]نَا (1) [ءَاتَيْتَ]نِي (1) [ءَاتَيْتَ]هُنَّ (1) ءَاتَيْتُكَ (1) [ءَاتَيْتُكُم] (1) [ءَاتَيْتُم] (3) [ءَاتَيْتُم]ُوهُنَّ (4) [ءَاتَيْنَا] (19) ءَاتَيْنَاكَ (2) [ءَاتَيْنَاكُم] (3) [ءَاتَيْنَاهَا] (1) ءَاتَيْنَاهُ (5) [ءَاتَيْنَاهُ]م (8) [ءَاتَيْنَاهُ]مُ (8) ءَاتُونِي (2) ءَاتِنَا (4) [ءَاتِهِم] (1) [ءَاتِي] (1) ءَاتِيكَ (2) [ءَاتِيكُم] (4) ءَاتِيهِ (1) [ءَاتِيهِ]م (1) [ءَاتِي]َةٌ (2) أَتَأْتُونَ (3) أَتَاكَ (6) [أَتَاكُم] (3) [أَتَانَا] (1) [أَتَاهَا] (3) [أَتَاهُم] (5) [أَتَت] (1) [أَتَت]ْكَ (1) [أَتَت]ْكُمُ (1) [أَتَت]ْهُم (1) [أَتَوْا] (3) أَتَوْكَ (1) أَتَوْهُ (1) [أَتَى] (6) [أَتَيَا] (1) أَتَيْتَ (1) أَتَيْنَ (1) [أَتَيْنَ]ا (2) [أَتَيْنَ]اهُم (2) أَفَتَأْتُونَ (1) أُوتَ (1) [أُوتُوا] (32) أُوتُوهُ (1) أُوتِيتَ (1) [أُوتِيتُم] (5) أُوتِيتُهُ (2) أُوتِيَ (14) [ائْتُوا] (2) ائْتُونِي (5) ائْتِ (2) [ائْتِ]نَا (4) [ائْتِ]يَا (1) [تَأْتُوا] (1) [تَأْتُونَنَا] (1) تَأْتُونِي (1) تَأْتِنَا (1) [تَأْتِهِم] (2) [تَأْتِي] (2) [تَأْتِيكُم] (2) [تَأْتِينَا] (2) [تَأْتِيهِم] (7) [تَأْتِي]َ (1) [تَأْتِي]َنَا (2) [تَأْتِي]َهُم (4) [تَأْتِي]َهُمُ (5) تُؤْتَوْهُ (1) [تُؤْتُوا] (1) تُؤْتُونَهُنَّ (1) تُؤْتُونِ (1) [تُؤْتِي] (2) [سَأَتِيكُم] (1) [سَ[نُؤْتِيهِ]م] (1) [سَ[يُؤْتِ]ينَا] (1) [فئَاتُوا] (1) فَ[أَتَاهُم]ُ (3) فَ[أَتَت] (1) فَ[أَتَوْا] (1) فَ[أَتَى] (1) فَ[أَتَيْنَ]ا (1) [فَأَتُوهُم] (1) فَأَتُوهُنَّ (2) فَأَتِ (1) [فَأَتِ]هِم (1) [فَأْتُوا] (9) [فَأْتُونَا] (1) فَأْتُوهُنَّ (1) فَأْتِ (4) [فَأْتِ]نَا (3) [فَأْتِ]يَا (1) [فَأْتِ]يَاهُ (1) [فَئَاتَت] (1) فَتَأْتُونَ (1) فَ[تَأْتِي]َهُم (1) (3/2) [فَسَ[يَأْتِ]يهِم] (1) فَسَ[يُؤْتِ]يهِ (1) فَلَ[نَأْتِ]يَنَّكَ (1) [فَلَ[نَأْتِ]يَنَّهُم] (1) [فَلْ[يَأْتُوا]] (2) فَلْيَأْتِ (1) [فَلْيَأْتِ]كُم (1) [فَلْيَأْتِ]نَا (1) [فَ[يَأْتِ]يَهُم] (1) لأَتٍ (2) [لأَتَوْهَا] (1) [لأَتَيْنَا] (1) [لأَتَيْنَاهُم] (1) لأَتِيَةٌ (2) [لأَتِيَنَّهُم] (1) لأُوتَيَنَّ (1) لَتَأْتُنَّنِي (1) لَتَأْتُونَ (4) [لَتَأْتِيَنَّكُم] (1) [لَ[يَأْتِ]يَنِّي] (1) [مَأْتِيًّا] (1) نَأْتِ (1) [نَأْتِ]ي (2) [نَأْتِ]يَكُم (1) [نُؤْتَى] (1) نُؤْتِهَا (1) نُؤْتِهِ (3) نُؤْتِيهِ (2) [وَءَاتَاكُم] (2) وَءَاتَانِي (2) وَءَاتَاهُ (1) [وَءَاتَاهُ]م (1) [وَءَاتَت] (1) [وَءَاتَوُا] (4) [وَءَاتَى] (3) [وَءَاتَيْتُم] (1) [وَءَاتَيْتُم]ُ (1) [وَءَاتَيْنَا] (7) وَءَاتَيْنَاهُ (9) [وَءَاتَيْنَاهُ]م (4) [وَءَاتَيْنَاهُ]مَا (1) [وَءَاتُوا] (11) [وَءَاتُوهُم] (2) وَءَاتُوهُنَّ (1) وَءَاتِ (1) [وَءَاتِ]نَا (1) [وَءَاتِ]ينَ (1) وَأَتَاهُمُ (1) وَأَتَيْنَاكَ (1) [وَأُتُوا] (1) [وَأُوتِينَا] (2) [وَأُوتِيَت] (1) [وَأْتُوا] (1) وَأْتُونِي (2) وَإِيتَاءَ (1) وَإِيتَاءِ (1) [وَإِيتَاءِ]ي (1) وَالْمُؤْتُونَ (1) وَتَأْتُونَ (1) [وَتُؤْتُوهَا] (1) [وَلَ[يَأْتِ]يَنَّهُم] (1) وَلْتَأْتِ (1) [وَ[يَأْتُوكُم]] (1) وَيَأْتِ (3) [وَيَأْتِ]ينَا (1) [وَيَأْتِ]يهِ (1) [وَ[يُؤْتُوا]] (1) وَيُؤْتُونَ (5) وَيُؤْتِ (2) [يَأْتُوا] (5) يَأْتُوكَ (4) [يَأْتُوكُم] (1) يَأْتُونَ (4) [يَأْتُونَ]كَ (1) [يَأْتُونَ]نَا (1) يَأْتُونِي (1) يَأْتِ (10) [يَأْتِ]كَ (1) [يَأْتِ]كُم (6) [يَأْتِ]هِ (1) [يَأْتِ]هِم (3) [يَأْتِ]ي (8) [يَأْتِ]يكُم (5) [يَأْتِ]يكُمَا (1) [يَأْتِ]ينَ (5) [يَأْتِ]ينَا (1) [يَأْتِ]ينَكَ (1) [يَأْتِ]ينِي (1) [يَأْتِ]يهَا (1) [يَأْتِ]يهِ (4) [يَأْتِ]يهِم (7) [يَأْتِ]يهِمُ (1) [يَأْتِ]يَ (14) [يَأْتِ]يَانِهَا (1) [يَأْتِ]يَكَ (1) [يَأْتِ]يَكُمَا (1) [يَأْتِ]يَكُمُ (3) [يَأْتِ]يَنَا (1) [يَأْتِ]يَنِي (1) [يَأْتِ]يَنَّكُم (3) [يَأْتِ]يَهُم (4) (3/3) يَأْتِيَهُمُ (3) يُؤْتَ (2) [يُؤْتَ]وْنَ (1) [يُؤْتَ]ى (2) [يُؤْتُوا] (1) يُؤْتُونَ (3) يُؤْتِ (2) [يُؤْتِ]كُم (3) [يُؤْتِ]كُمُ (1) [يُؤْتِ]ي (3) [يُؤْتِ]يهِ (5) [يُؤْتِ]يهِم (1) [يُؤْتِ]يَنِ (1) [يُؤْتِ]يَهُ (1) [يُؤْتِ]يَهُمُ (1)
ءثث,1, أَثَاثًا,3,vowel,[أَثَاثًا] (2)
ءثر,15, ءَاثَارِ ءَاثَارِهِم ءَاثَارِهِمَا ءَاثَرَكَ أَثَارَةٍ أَثَرِ أَثَرِي تُؤْثِرُونَ فَأَثَرْنَ نُؤْثِرَكَ وَءَاثَارًا وَءَاثَارَهُم وَءَاثَرَ وَيُؤْثِرُونَ يُؤْثَرُ,3,vowel,ءَاثَارِ (1) [ءَاثَارِ]هِم (6) [ءَاثَارِ]هِمَا (1) ءَاثَرَكَ (1) أَثَارَةٍ (1) أَثَرِ (2) [أَثَرِ]ي (1) تُؤْثِرُونَ (1) فَأَثَرْنَ (1) نُؤْثِرَكَ (1) [وَءَاثَارًا] (2) [وَءَاثَارَهُم] (1) وَءَاثَرَ (1) وَيُؤْثِرُونَ (1) يُؤْثَرُ (1)
